Date,Open,High,Low,Close,Volume,Change
2022-01-03,4015,4040,3995,4020,84303,0.0
2022-01-04,4000,4105,4000,4095,234097,0.018656716417910557
2022-01-05,4135,4190,4075,4110,229780,0.00366300366300365
2022-01-06,4040,4125,4040,4080,152544,-0.007299270072992692
2022-01-07,4070,4160,4055,4125,162024,0.011029411764705843
2022-01-10,4100,4120,4030,4080,145562,-0.010909090909090868
2022-01-11,4080,4090,3960,4035,203710,-0.011029411764705843
2022-01-12,4010,4160,4010,4080,241635,0.011152416356877248
2022-01-13,4095,4100,4035,4060,121268,-0.004901960784313708
2022-01-14,4040,4050,3945,3965,234903,-0.023399014778325178
2022-01-17,3955,3970,3850,3865,251309,-0.02522068095838592
2022-01-18,3855,3895,3760,3780,186804,-0.021992238033635148
2022-01-19,3710,3795,3710,3750,129544,-0.007936507936507908
2022-01-20,3710,3815,3710,3770,187154,0.005333333333333412
2022-01-21,3755,3805,3740,3780,131082,0.0026525198938991412
2022-01-24,3760,3975,3740,3830,371660,0.013227513227513255
2022-01-25,3860,3870,3635,3660,459571,-0.044386422976501305
2022-01-26,3630,3710,3615,3615,300260,-0.012295081967213073
2022-01-27,3625,3650,3425,3435,346760,-0.049792531120331995
2022-01-28,3415,3565,3390,3560,253212,0.0363901018922852
2022-02-03,3625,3780,3615,3760,218115,0.05617977528089879
2022-02-04,3750,4300,3750,3915,5653982,0.04122340425531923
2022-02-07,3925,3970,3890,3940,323223,0.0063856960408683605
2022-02-08,3930,4020,3930,3965,425593,0.006345177664974555
2022-02-09,3970,4025,3970,3985,201497,0.0050441361916770955
2022-02-10,3995,4095,3950,4080,448622,0.023839397741530766
2022-02-11,4030,4370,4005,4080,3684698,0.0
2022-02-14,4085,4170,3950,3970,648043,-0.026960784313725505
2022-02-15,4145,4215,3840,3840,830753,-0.032745591939546626
2022-02-16,3840,3945,3840,3945,209426,0.02734375
2022-02-17,3945,3965,3905,3965,291339,0.005069708491761693
2022-02-18,3900,3990,3900,3965,189009,0.0
2022-02-21,3990,4070,3975,3995,282135,0.007566204287515754
2022-02-22,4000,4055,3935,4000,566928,0.0012515644555695093
2022-02-23,4060,4060,3975,3980,333045,-0.0050000000000000044
2022-02-24,3985,4140,3985,4035,1142273,0.013819095477386911
2022-02-25,4100,4195,3995,4000,1051208,-0.008674101610904539
2022-02-28,4000,4030,3945,3955,380216,-0.011249999999999982
2022-03-02,3985,4110,3975,4080,497580,0.031605562579013924
2022-03-03,4100,4105,4040,4060,253173,-0.004901960784313708
2022-03-04,4060,4135,4045,4105,441020,0.011083743842364546
2022-03-07,4110,4210,4050,4050,509482,-0.013398294762484775
2022-03-08,4040,4045,3825,3830,693192,-0.05432098765432103
2022-03-10,3875,3935,3860,3905,172595,0.019582245430809442
2022-03-11,3905,3935,3890,3910,130816,0.001280409731113874
2022-03-14,3880,4015,3880,3910,353178,0.0
2022-03-15,3940,3965,3900,3910,186958,0.0
2022-03-16,3920,3950,3910,3950,154555,0.010230179028132946
2022-03-17,3975,4015,3940,4010,226634,0.0151898734177216
2022-03-18,3995,4020,3965,3970,129545,-0.009975062344139696
2022-03-21,3995,4160,3985,4140,807639,0.04282115869017633
2022-03-22,4170,4660,4145,4330,7789844,0.04589371980676327
2022-03-23,4330,4405,4300,4380,1376354,0.011547344110854452
2022-03-24,4450,4455,4330,4335,947348,-0.010273972602739767
2022-03-25,4335,4355,4250,4250,503054,-0.019607843137254943
2022-03-28,4265,4340,4240,4285,310425,0.008235294117647118
2022-03-29,4265,4280,4175,4200,323180,-0.019836639439906656
2022-03-30,4180,4200,4120,4195,299686,-0.0011904761904761862
2022-03-31,4195,4335,4195,4280,531708,0.020262216924910703
2022-04-01,4255,4350,4225,4330,366553,0.011682242990654235
2022-04-04,4330,4330,4270,4280,274364,-0.011547344110854452
2022-04-05,4300,4360,4295,4320,236136,0.009345794392523255
2022-04-06,4320,4390,4300,4325,479624,0.0011574074074074403
2022-04-07,4300,4300,4195,4220,277228,-0.024277456647398887
2022-04-08,4230,4235,4085,4150,258328,-0.016587677725118488
2022-04-11,4150,4230,4105,4230,189436,0.01927710843373487
2022-04-12,4180,4210,4115,4155,197325,-0.01773049645390068
2022-04-13,4155,4260,4130,4245,243128,0.02166064981949467
2022-04-14,4250,4440,4250,4365,962077,0.028268551236749095
2022-04-15,4365,4485,4360,4455,902168,0.020618556701030855
2022-04-18,4455,4575,4420,4525,1652118,0.015712682379348974
2022-04-19,4585,5880,4435,5620,52950934,0.24198895027624312
2022-04-20,6170,6250,5000,5070,34507980,-0.09786476868327398
2022-04-21,5180,5450,5050,5280,21264220,0.041420118343195256
2022-04-22,5120,5630,5100,5240,17226086,-0.007575757575757569
2022-04-25,5240,6460,5230,5980,64994765,0.14122137404580148
2022-04-26,5960,6350,5750,5990,26999141,0.0016722408026756952
2022-04-27,5900,5900,5250,5250,2893380,-0.12353923205342232
2022-04-28,5250,5250,4850,4940,2191374,-0.059047619047619015
2022-04-29,5000,5320,5000,5150,1709167,0.04251012145748989
2022-05-02,5270,6150,5270,5680,26570984,0.1029126213592233
2022-05-03,6010,6090,5460,5590,7662773,-0.015845070422535246
