Date,Open,High,Low,Close,Volume,Change
2022-01-03,7030,7280,6850,7160,5971252,0.01849217638691325
2022-01-04,7250,7390,7130,7170,6462878,0.0013966480446927498
2022-01-05,7170,7200,6460,6760,5762156,-0.057182705718270554
2022-01-06,6590,6790,6220,6230,4793665,-0.07840236686390534
2022-01-07,6230,6430,6210,6270,2777461,0.006420545746388395
2022-01-10,6270,7270,6150,6730,21930306,0.07336523125996819
2022-01-11,6680,6720,6370,6400,3665719,-0.04903417533432397
2022-01-12,6400,6650,6260,6260,2970072,-0.021874999999999978
2022-01-13,6190,6360,6020,6070,2869386,-0.030351437699680517
2022-01-14,6030,6180,5740,5810,3672567,-0.04283360790774304
2022-01-17,5880,5900,5480,5600,3041345,-0.03614457831325302
2022-01-18,5530,5710,5080,5200,5015630,-0.0714285714285714
2022-01-19,5060,5240,5010,5100,2884262,-0.019230769230769273
2022-01-20,5120,5340,5040,5130,3108476,0.00588235294117645
2022-01-21,5060,5220,4890,4920,2963270,-0.040935672514619936
2022-01-24,4950,5920,4625,5180,24372462,0.05284552845528445
2022-01-25,5090,5840,5020,5370,20541444,0.03667953667953672
2022-01-26,5480,5660,5210,5210,5603357,-0.029795158286778367
2022-01-27,5150,5510,4845,4900,11672018,-0.05950095969289826
2022-01-28,5160,5450,5030,5150,9368142,0.05102040816326525
2022-02-03,5330,5780,5210,5630,13857290,0.09320388349514563
2022-02-04,5570,5670,5050,5230,6193529,-0.0710479573712256
2022-02-07,5380,5540,5220,5450,6187281,0.042065009560229516
2022-02-08,5410,5410,5120,5170,2825786,-0.05137614678899083
2022-02-09,5230,5490,5210,5260,4862072,0.01740812379110257
2022-02-10,5530,6070,5380,5450,28307231,0.03612167300380231
2022-02-11,5470,5840,5250,5540,12313625,0.016513761467889854
2022-02-14,5460,5500,5150,5190,3874544,-0.06317689530685922
2022-02-15,5070,5190,4865,4915,3405550,-0.05298651252408482
2022-02-16,4995,5130,4980,5040,2894232,0.025432349949135347
2022-02-17,5200,5380,4900,5080,5943250,0.007936507936507908
2022-02-18,5000,5130,4995,5110,1652971,0.0059055118110236116
2022-02-21,5000,5170,4955,5050,2178325,-0.011741682974559686
2022-02-22,4955,5050,4870,4880,2311287,-0.03366336633663369
2022-02-23,4865,4970,4865,4880,1616877,0.0
