Date,Open,High,Low,Close,Volume,Change
2022-01-03,2010,2040,2005,2030,134534,0.01754385964912286
2022-01-04,2020,2065,2010,2060,170649,0.014778325123152802
2022-01-05,2055,2080,2035,2055,171306,-0.0024271844660194164
2022-01-06,2035,2200,2015,2080,1053869,0.012165450121654597
2022-01-07,2085,2115,2075,2095,225502,0.007211538461538547
2022-01-10,2095,2110,2040,2050,179220,-0.021479713603818618
2022-01-11,2050,2055,1995,2015,195420,-0.017073170731707332
2022-01-12,2015,2050,2015,2045,114901,0.014888337468982549
2022-01-13,2055,2075,2045,2065,161073,0.009779951100244544
2022-01-14,2025,2060,2005,2020,152337,-0.021791767554479424
2022-01-17,2025,2025,1945,1965,166609,-0.027227722772277252
2022-01-18,1965,1975,1890,1920,221169,-0.022900763358778664
2022-01-19,1890,1935,1850,1920,161780,0.0
2022-01-20,1905,1985,1905,1960,198944,0.02083333333333326
2022-01-21,1930,1970,1920,1935,135020,-0.012755102040816313
2022-01-24,1925,1935,1830,1840,226457,-0.04909560723514217
2022-01-25,1835,2045,1745,1755,7103882,-0.04619565217391308
2022-01-26,1720,1870,1715,1790,960017,0.019943019943019946
2022-01-27,1790,1910,1740,1750,2104512,-0.022346368715083775
2022-01-28,1740,1825,1735,1820,493084,0.040000000000000036
2022-02-03,1855,1890,1820,1885,327627,0.03571428571428581
2022-02-04,1865,1915,1860,1910,212663,0.013262599469495928
2022-02-07,1925,1925,1865,1885,141503,-0.01308900523560208
2022-02-08,1890,1905,1845,1870,126152,-0.007957559681697646
2022-02-09,1875,1920,1875,1910,142669,0.021390374331550888
2022-02-10,1915,1925,1885,1890,149954,-0.010471204188481686
2022-02-11,1865,1910,1865,1875,170637,-0.007936507936507908
2022-02-14,1880,1910,1805,1820,494831,-0.029333333333333322
2022-02-15,1805,1835,1770,1780,315230,-0.02197802197802201
2022-02-16,1805,1860,1800,1855,205399,0.042134831460674205
2022-02-17,1855,1900,1805,1850,262472,-0.0026954177897574594
2022-02-18,1960,1990,1875,1880,765650,0.016216216216216273
2022-02-21,1895,1990,1895,1945,1028566,0.034574468085106336
2022-02-22,1945,2005,1925,1940,1333974,-0.0025706940874036244
2022-02-23,1945,1965,1905,1945,630678,0.002577319587628857
2022-02-24,1970,2100,1945,1975,4409539,0.015424164524421524
2022-02-25,1975,1980,1905,1920,1011985,-0.027848101265822822
2022-02-28,1880,1915,1850,1865,552970,-0.02864583333333337
2022-03-02,1885,1940,1875,1920,414224,0.029490616621983934
2022-03-03,1925,1945,1915,1930,285329,0.005208333333333259
2022-03-04,1940,1960,1900,1945,387835,0.007772020725388629
2022-03-07,1955,1970,1915,1925,458241,-0.010282776349614386
2022-03-08,1935,1945,1850,1875,550111,-0.025974025974025983
2022-03-10,1880,1900,1815,1890,259556,0.008000000000000007
2022-03-11,1895,1980,1895,1980,1109699,0.04761904761904767
2022-03-14,1975,1990,1930,1940,356133,-0.02020202020202022
2022-03-15,1965,1970,1930,1940,231009,0.0
2022-03-16,1955,2130,1935,2060,4103883,0.061855670103092786
2022-03-17,2070,2080,2030,2065,584035,0.0024271844660195274
2022-03-18,2060,2065,2020,2040,361070,-0.01210653753026636
2022-03-21,2045,2085,2045,2065,479814,0.01225490196078427
2022-03-22,2080,2135,2065,2080,801739,0.007263922518159882
2022-03-23,2090,2130,2070,2100,642145,0.009615384615384581
2022-03-24,2090,2155,2075,2145,712100,0.021428571428571352
2022-03-25,2165,2170,2105,2125,507813,-0.009324009324009341
2022-03-28,2160,2190,2135,2145,565255,0.009411764705882453
2022-03-29,2140,2160,2115,2120,440180,-0.011655011655011704
2022-03-30,2110,2120,2095,2115,223357,-0.002358490566037763
2022-03-31,2110,2135,2085,2130,246481,0.007092198581560183
2022-04-01,2115,2125,2090,2100,191509,-0.014084507042253502
2022-04-04,2095,2530,2080,2270,22000576,0.08095238095238089
2022-04-05,2245,2295,2240,2255,3022714,-0.0066079295154185536
2022-04-06,2385,2410,2180,2195,5120413,-0.026607538802660757
2022-04-07,2150,2225,2100,2105,1383601,-0.04100227790432798
2022-04-08,2110,2140,2050,2070,708966,-0.016627078384798155
2022-04-11,2045,2085,2025,2050,488123,-0.009661835748792313
2022-04-12,2015,2055,2010,2030,479207,-0.009756097560975618
2022-04-13,2030,2065,2020,2065,267596,0.01724137931034475
2022-04-14,2065,2075,2025,2070,305814,0.002421307506053294
