Date,Open,High,Low,Close,Volume,Change
2022-01-03,2120,2140,2100,2140,124738,0.009433962264151052
2022-01-04,2140,2165,2100,2135,120665,-0.002336448598130869
2022-01-05,2135,2390,2135,2375,3160982,0.11241217798594838
2022-01-06,2440,2465,2250,2365,3247113,-0.004210526315789442
2022-01-07,2540,2580,2365,2415,4760704,0.02114164904862581
2022-01-10,2455,2490,2250,2295,1230168,-0.0496894409937888
2022-01-11,2270,2295,2150,2185,1126293,-0.04793028322440085
2022-01-12,2185,2205,2155,2180,281372,-0.0022883295194507935
2022-01-13,2190,2250,2190,2220,329101,0.0183486238532109
2022-01-14,2215,2240,2100,2225,356057,0.0022522522522523403
2022-01-17,2185,2200,2120,2130,325419,-0.04269662921348316
2022-01-18,2125,2175,2090,2110,216509,-0.009389671361502372
2022-01-19,2110,2150,2085,2105,188081,-0.0023696682464454666
2022-01-20,2095,2135,2080,2120,178030,0.0071258907363420665
2022-01-21,2125,2125,2040,2080,258504,-0.018867924528301883
2022-01-24,2040,2050,1945,1960,413449,-0.05769230769230771
2022-01-25,1960,2130,1945,2015,438330,0.028061224489795977
2022-01-26,1975,2080,1975,2070,131555,0.027295285359801413
2022-01-27,2070,2090,1985,2005,143439,-0.03140096618357491
2022-01-28,1995,2080,1980,2055,106055,0.02493765586034913
2022-02-03,2085,2100,2055,2055,151900,0.0
2022-02-04,2070,2105,2045,2075,125394,0.009732360097323589
2022-02-07,2075,2100,2020,2050,135996,-0.012048192771084376
2022-02-08,2060,2100,2050,2070,87684,0.009756097560975618
2022-02-09,2090,2140,2070,2130,156317,0.02898550724637672
2022-02-10,2130,2165,2125,2135,160007,0.0023474178403755097
2022-02-11,2135,2165,2125,2150,121507,0.007025761124121788
2022-02-14,2110,2320,2050,2080,1463779,-0.032558139534883734
2022-02-15,2080,2170,2080,2150,390628,0.033653846153846256
2022-02-16,2150,2170,2130,2140,135597,-0.0046511627906976605
2022-02-17,2145,2155,2115,2135,200742,-0.002336448598130869
2022-02-18,2115,2165,2115,2140,244986,0.0023419203747072626
2022-02-21,2140,2170,2125,2160,65359,0.009345794392523255
2022-02-22,2150,2155,2100,2110,164958,-0.02314814814814814
2022-02-23,2105,2155,2105,2150,133493,0.018957345971563955
2022-02-24,2150,2160,2100,2110,156226,-0.018604651162790753
2022-02-25,2110,2160,2110,2150,160192,0.018957345971563955
2022-02-28,2150,2170,2140,2140,63590,-0.0046511627906976605
2022-03-02,2140,2200,2125,2180,174250,0.01869158878504673
2022-03-03,2180,2195,2155,2180,75936,0.0
