Date,Open,High,Low,Close,Volume,Change
2022-01-03,5120,5130,5020,5130,39982,0.001953125
2022-01-04,5170,5230,5130,5200,46666,0.013645224171539905
2022-01-05,5200,5200,5050,5130,68326,-0.013461538461538414
2022-01-06,5010,5060,4985,4995,41536,-0.02631578947368418
2022-01-07,4970,5090,4945,5080,59440,0.017017017017016967
2022-01-10,5100,5160,5080,5100,31994,0.003937007874015741
2022-01-11,5050,5070,4845,4900,77256,-0.039215686274509776
2022-01-12,4900,4925,4720,4890,50856,-0.0020408163265306367
2022-01-13,4910,5040,4890,4950,44450,0.012269938650306678
2022-01-14,4950,4995,4915,4950,26977,0.0
2022-01-17,4900,4900,4755,4770,37373,-0.036363636363636376
2022-01-18,4740,4770,4670,4700,45179,-0.014675052410901501
2022-01-19,4700,4700,4570,4620,34441,-0.017021276595744705
2022-01-20,4620,4665,4585,4665,39054,0.009740259740259827
2022-01-21,4710,4785,4665,4675,27345,0.002143622722400762
2022-01-24,4675,4675,4425,4460,47820,-0.04598930481283425
2022-01-25,4415,4455,4230,4305,51517,-0.034753363228699596
2022-01-26,4260,4480,4115,4405,42386,0.023228803716608626
2022-01-27,4405,4450,4225,4390,44837,-0.0034052213393870323
2022-01-28,4345,4490,4270,4450,25878,0.013667425968109326
2022-02-03,4475,4670,4475,4670,37174,0.04943820224719109
2022-02-04,4670,4730,4605,4655,48990,-0.0032119914346895317
2022-02-07,4655,4695,4525,4560,40636,-0.020408163265306145
2022-02-08,4575,4640,4480,4485,36615,-0.016447368421052655
2022-02-09,4530,4580,4505,4550,13094,0.01449275362318847
2022-02-10,4585,4590,4455,4495,25183,-0.012087912087912045
2022-02-11,4495,4515,4365,4365,26730,-0.028921023359288145
2022-02-14,4290,4290,4160,4160,44681,-0.04696449026345939
2022-02-15,4120,4160,4030,4050,47349,-0.02644230769230771
2022-02-16,4060,4200,4060,4190,25471,0.03456790123456788
2022-02-17,4245,4380,4230,4345,53794,0.03699284009546533
2022-02-18,4345,4390,4345,4390,20926,0.010356731875719172
2022-02-21,4390,4440,4230,4425,39097,0.007972665148063829
2022-02-22,4360,4390,4160,4160,30535,-0.059887005649717495
2022-02-23,4160,4195,4110,4185,34580,0.006009615384615419
2022-02-24,4185,4240,3980,4020,75043,-0.03942652329749108
2022-02-25,4020,4140,4010,4080,40400,0.014925373134328401
2022-02-28,4095,4230,4080,4115,49926,0.008578431372548989
2022-03-02,4135,4300,4115,4300,39757,0.044957472660996256
2022-03-03,4300,4360,4275,4350,30580,0.011627906976744207
2022-03-04,4350,4395,4255,4265,26604,-0.019540229885057436
2022-03-07,4265,4265,4110,4110,31130,-0.036342321219226315
2022-03-08,3955,4050,3890,4050,41535,-0.014598540145985384
2022-03-10,4010,4130,3990,4020,36455,-0.007407407407407418
2022-03-11,4065,4130,4060,4095,23273,0.018656716417910557
2022-03-14,4095,4145,4015,4015,46454,-0.019536019536019578
2022-03-15,4015,4035,3975,4020,37494,0.001245330012453305
2022-03-16,4010,4145,4010,4145,24654,0.031094527363184188
2022-03-17,4155,4310,4155,4265,27770,0.02895054282267795
