Date,Open,High,Low,Close,Volume,Change
2022-01-03,74100,79100,73600,76300,21158,0.036684782608695565
2022-01-04,76600,76600,75000,76300,8542,0.0
2022-01-05,76600,76800,75100,75500,8810,-0.010484927916120546
2022-01-06,75000,75400,74900,74900,4366,-0.007947019867549643
2022-01-07,75300,75600,75300,75600,4869,0.009345794392523255
2022-01-10,75500,75500,74500,74800,4902,-0.010582010582010581
2022-01-11,74800,74800,73000,73000,7713,-0.024064171122994638
2022-01-12,73100,73100,72600,72700,4774,-0.004109589041095929
2022-01-13,72300,72500,72100,72100,6684,-0.008253094910591452
2022-01-14,72100,72100,71100,71100,6158,-0.01386962552011095
2022-01-17,71400,71400,69900,69900,6902,-0.016877637130801704
2022-01-18,69900,69900,68500,68500,6822,-0.02002861230329045
2022-01-19,68000,68000,67200,67300,5332,-0.017518248175182438
2022-01-20,67000,68900,67000,68900,3496,0.023774145616641817
2022-01-21,68000,72300,68000,71800,8109,0.04208998548621201
2022-01-24,72100,72100,70000,70500,5793,-0.01810584958217265
2022-01-25,69700,69700,67600,67800,4277,-0.03829787234042559
2022-01-26,67500,69300,67500,68500,3020,0.010324483775811188
2022-01-27,67800,67800,65000,65000,10068,-0.051094890510948954
2022-01-28,65100,70800,64900,66700,6953,0.026153846153846194
2022-02-03,68900,69600,67100,67500,6687,0.011994002998500841
2022-02-04,66700,68600,66700,68600,3378,0.016296296296296253
2022-02-07,69500,69500,68000,68700,2312,0.001457725947521915
2022-02-08,70000,70000,68500,68500,1795,-0.0029112081513827937
2022-02-09,68800,69600,68800,69500,1873,0.014598540145985384
2022-02-10,69300,69900,68500,68500,2415,-0.014388489208633115
2022-02-11,68000,68000,66800,67100,1966,-0.020437956204379604
2022-02-14,66100,66100,65000,65000,3277,-0.03129657228017879
2022-02-15,64200,64700,64100,64300,3214,-0.010769230769230753
2022-02-16,64000,64800,64000,64500,7955,0.0031104199066873672
2022-02-17,64200,65000,64200,64200,5462,-0.0046511627906976605
2022-02-18,64200,65500,64200,65500,4823,0.02024922118380057
2022-02-21,64200,66100,64200,65100,2869,-0.006106870229007688
2022-02-22,64300,64600,64000,64000,6334,-0.016897081413210446
2022-02-23,64100,65000,63500,63800,8759,-0.0031250000000000444
2022-02-24,63800,65000,63300,63300,7189,-0.00783699059561127
2022-02-25,64500,65000,63200,63600,7892,0.004739336492890933
2022-02-28,64200,79700,64200,78400,148962,0.23270440251572322
2022-03-02,75100,79200,74600,76300,41855,-0.0267857142857143
2022-03-03,76400,77600,74300,76600,19402,0.003931847968545288
2022-03-04,75100,75400,73800,73800,9084,-0.036553524804177506
2022-03-07,73100,73100,71700,73100,5355,-0.009485094850948506
2022-03-08,74000,74000,73500,73800,5613,0.009575923392612928
2022-03-10,75600,77000,75400,77000,13114,0.04336043360433606
2022-03-11,78300,87400,78300,84200,51855,0.09350649350649354
2022-03-14,87300,87300,81100,83900,20584,-0.0035629453681710332
2022-03-15,83400,83400,80300,81200,10248,-0.03218116805721094
2022-03-16,80700,83200,80700,82000,9562,0.009852216748768461
2022-03-17,82200,82200,80500,80500,9695,-0.018292682926829285
2022-03-18,80600,80600,77000,77000,9928,-0.04347826086956519
2022-03-21,81000,81000,77700,77700,6426,0.009090909090909038
2022-03-22,77100,78600,77100,78300,4029,0.007722007722007707
2022-03-23,78000,78500,78000,78200,5437,-0.0012771392081737387
2022-03-24,77900,77900,77000,77500,4554,-0.008951406649616356
2022-03-25,77700,77700,76400,76600,4971,-0.011612903225806437
2022-03-28,76600,77800,76600,77500,6401,0.011749347258485532
2022-03-29,77500,79000,77500,78800,8155,0.016774193548387162
2022-03-30,79600,80100,79600,79900,8300,0.013959390862944066
2022-03-31,80000,81700,80000,81300,7505,0.017521902377972465
2022-04-01,81900,83400,81600,81600,6623,0.0036900369003689537
2022-04-04,80500,80900,80100,80100,6621,-0.018382352941176516
2022-04-05,80100,81600,80100,81100,4385,0.012484394506866447
2022-04-06,81300,81300,79000,79000,7487,-0.025893958076448786
2022-04-07,79000,79000,76800,77000,5710,-0.025316455696202556
2022-04-08,77300,80900,77300,80100,7530,0.04025974025974022
