Date,Open,High,Low,Close,Volume,Change
2023-06-30,13000,30950,12900,15750,38796620,
2023-07-03,17020,19870,16380,16980,14475297,0.078095238095238
2023-07-04,17730,20850,16220,20000,20800581,0.17785630153121312
2023-07-05,19480,20200,17560,17560,3658247,-0.122
2023-07-06,17780,18650,15110,15290,2132134,-0.12927107061503418
2023-07-07,14850,17480,14570,14890,3407242,-0.026160889470241977
2023-07-10,14770,15080,13830,13950,642599,-0.06312961719274679
2023-07-11,14030,14100,13160,13380,622082,-0.04086021505376347
2023-07-12,13310,15570,13010,13740,4126174,0.026905829596412634
2023-07-13,13770,14750,13300,13420,1227760,-0.02328966521106257
2023-07-14,13690,14270,13150,13150,1854641,-0.020119225037257826
2023-07-17,12960,12970,11670,11720,590767,-0.10874524714828893
2023-07-18,11670,11670,10900,10950,437931,-0.0656996587030717
2023-07-19,11130,11130,10350,10420,323279,-0.04840182648401825
2023-07-20,10420,10640,10020,10020,241903,-0.03838771593090207
2023-07-21,9880,10700,9490,9600,416605,-0.041916167664670656
2023-07-24,9530,9530,8720,8930,311716,-0.0697916666666667
2023-07-25,8880,9150,8370,8500,255350,-0.04815229563269874
2023-07-26,8500,8530,7010,7230,388710,-0.14941176470588236
2023-07-27,7220,7470,7120,7180,142694,-0.006915629322268302
