Date,Open,High,Low,Close,Volume,Change
2022-12-22,9980,11700,9930,10650,28856231,
2022-12-23,10600,11200,10100,10150,8180753,-0.04694835680751175
2022-12-26,10550,10700,9650,9720,4479667,-0.04236453201970447
2022-12-27,9770,9880,9130,9360,4101930,-0.03703703703703709
2022-12-28,9390,9420,8700,8870,3177379,-0.052350427350427386
2022-12-29,8890,8920,8450,8580,2059794,-0.03269447576099216
2023-01-02,8660,8840,8320,8390,2093172,-0.022144522144522116
2023-01-03,8630,9310,8490,8580,6870980,0.022646007151370773
2023-01-04,8490,8750,8400,8750,1416817,0.019813519813519864
2023-01-05,8790,8900,8700,8710,1497395,-0.00457142857142856
2023-01-06,8550,8730,8460,8710,1244339,0.0
2023-01-09,8810,8960,8710,8780,1866843,0.008036739380022917
2023-01-10,8820,8850,8490,8560,1224358,-0.02505694760820043
2023-01-11,8630,8660,8520,8550,746470,-0.001168224299065379
2023-01-12,8610,8750,8420,8450,1570966,-0.011695906432748537
2023-01-13,8530,8530,8410,8410,652051,-0.004733727810650845
2023-01-16,8520,8850,8450,8670,1779461,0.030915576694411362
2023-01-17,8720,8890,8530,8550,1167014,-0.01384083044982698
2023-01-18,8570,9080,8520,8690,2031311,0.01637426900584793
2023-01-19,8720,9020,8700,8900,1757929,0.024165707710011475
2023-01-20,8900,9140,8820,9000,1583797,0.011235955056179803
2023-01-25,9110,9140,8770,8820,811619,-0.020000000000000018
2023-01-26,8840,9050,8800,8850,864919,0.00340136054421758
2023-01-27,8840,8840,8660,8660,683056,-0.021468926553672274
2023-01-30,8700,8760,8610,8630,397957,-0.0034642032332563577
2023-01-31,8630,8700,8470,8470,548234,-0.018539976825028948
2023-02-01,8540,8670,8430,8660,547447,0.022432113341204207
2023-02-02,8710,8780,8650,8670,473841,0.0011547344110853786
2023-02-03,8700,8740,8600,8600,336007,-0.008073817762399127
2023-02-06,8600,8630,8440,8480,371352,-0.013953488372092981
2023-02-07,8480,8520,8430,8460,308076,-0.002358490566037763
2023-02-08,8520,8610,8480,8500,294109,0.004728132387706863
2023-02-09,8470,8520,8400,8410,372463,-0.010588235294117676
2023-02-10,8430,8650,8320,8450,676678,0.0047562425683709275
2023-02-13,8500,8500,8350,8370,278316,-0.009467455621301801
2023-02-14,8400,8500,8370,8500,267188,0.015531660692950977
2023-02-15,8550,8720,8460,8720,1057769,0.025882352941176467
2023-02-16,8810,8880,8660,8690,640176,-0.0034403669724770714
2023-02-17,8630,8650,8490,8500,425699,-0.021864211737629424
2023-02-20,8520,8700,8420,8640,440992,0.016470588235294015
2023-02-21,8640,8720,8340,8370,989483,-0.03125
2023-02-22,8220,8270,8130,8140,539903,-0.027479091995221028
2023-02-23,8170,8310,8060,8100,407455,-0.004914004914004955
2023-02-24,8130,8180,7970,7980,465891,-0.014814814814814836
2023-02-27,7970,7970,7630,7710,536494,-0.03383458646616544
2023-02-28,7710,7760,7480,7510,539109,-0.025940337224383936
2023-03-02,7440,7500,7330,7400,431701,-0.01464713715046606
2023-03-03,7440,7660,7400,7660,481376,0.03513513513513522
2023-03-06,7660,7690,7410,7440,235743,-0.02872062663185382
2023-03-07,7460,7510,7290,7460,246835,0.0026881720430107503
2023-03-08,7380,7470,7280,7300,241749,-0.02144772117962468
2023-03-09,7280,7300,7000,7010,466673,-0.03972602739726028
2023-03-10,6880,6990,6530,6570,729753,-0.06276747503566338
2023-03-13,6500,6580,6340,6580,602453,0.0015220700152207556
2023-03-14,6500,6530,6100,6140,532962,-0.06686930091185406
2023-03-15,6300,6330,6120,6260,225753,0.019543973941368087
2023-03-16,6260,6350,6080,6300,234177,0.006389776357827559
2023-03-17,6310,6600,6280,6530,376713,0.0365079365079366
2023-03-20,6530,6620,6460,6560,236886,0.004594180704440953
2023-03-21,6600,6900,6560,6680,476441,0.018292682926829285
2023-03-22,6750,6790,6550,6680,315949,0.0
2023-03-23,6620,6820,6440,6470,292418,-0.03143712574850299
2023-03-24,6470,6560,6200,6260,395258,-0.03245749613601234
2023-03-27,6320,6700,6160,6650,774039,0.06230031948881787
2023-03-28,6620,6680,6440,6580,312240,-0.010526315789473717
2023-03-29,6580,6630,6350,6360,335292,-0.033434650455927084
2023-03-30,6320,6600,6210,6380,369381,0.003144654088050425
2023-03-31,6380,6560,6290,6460,304167,0.012539184952978122
2023-04-03,6480,6500,6190,6200,426283,-0.04024767801857587
2023-04-04,6250,6630,6150,6580,599497,0.06129032258064515
2023-04-05,6630,6840,6500,6640,1171702,0.00911854103343468
2023-04-06,6700,7150,6550,6570,1887282,-0.010542168674698815
2023-04-07,6610,6760,6580,6630,484320,0.009132420091324311
2023-04-10,6630,6650,6250,6270,528819,-0.05429864253393668
2023-04-11,6290,6380,6170,6300,427932,0.004784688995215225
2023-04-12,6350,6700,6340,6700,546110,0.06349206349206349
2023-04-13,6690,6870,6550,6800,556308,0.014925373134328401
2023-04-14,6830,7050,6780,6790,849714,-0.0014705882352941124
2023-04-17,6830,6980,6690,6710,527107,-0.01178203240058906
2023-04-18,6750,6750,6530,6540,412281,-0.025335320417287588
2023-04-19,6580,6580,6390,6410,427119,-0.019877675840978548
2023-04-20,6440,6900,6340,6460,973205,0.007800312012480548
2023-04-21,6500,6500,6310,6320,316708,-0.021671826625387025
2023-04-24,6370,6370,6170,6200,278386,-0.01898734177215189
2023-04-25,6300,6500,6170,6180,505476,-0.003225806451612856
2023-04-26,6180,6430,6180,6280,322200,0.016181229773462702
2023-04-27,6280,6360,6180,6250,193944,-0.004777070063694322
2023-04-28,6310,6340,6160,6180,209948,-0.011199999999999988
2023-05-02,6170,6270,6110,6180,133992,0.0
2023-05-03,6150,6230,6120,6130,117446,-0.008090614886731351
2023-05-04,6170,6290,6100,6250,189495,0.019575856443719397
2023-05-08,6260,6330,5960,6000,551728,-0.040000000000000036
2023-05-09,6010,6050,5760,5800,574718,-0.033333333333333326
2023-05-10,5770,5780,5560,5610,443405,-0.03275862068965518
2023-05-11,5620,5750,5580,5580,367768,-0.005347593582887722
2023-05-12,5570,5620,5400,5520,510350,-0.010752688172043001
2023-05-15,5480,5480,5280,5330,527755,-0.034420289855072506
2023-05-16,5280,5400,5270,5340,444500,0.0018761726078799779
2023-05-17,5340,5450,5320,5380,314399,0.0074906367041198685
2023-05-18,5450,5460,5300,5350,220736,-0.005576208178438624
2023-05-19,5380,5390,5040,5150,985374,-0.03738317757009346
2023-05-22,5120,5250,5070,5250,439808,0.01941747572815533
2023-05-23,5270,5700,5210,5490,1055555,0.04571428571428582
2023-05-24,5490,5630,5370,5400,334966,-0.016393442622950838
2023-05-25,5430,5480,5310,5310,228632,-0.01666666666666672
2023-05-26,5330,5350,5210,5220,166222,-0.016949152542372836
2023-05-30,5230,5300,5140,5220,127133,0.0
2023-05-31,5190,5330,5190,5250,126889,0.005747126436781658
2023-06-01,5220,5370,5210,5290,180884,0.007619047619047636
2023-06-02,5340,5350,5240,5250,116167,-0.007561436672967825
2023-06-05,5260,5290,5130,5160,202670,-0.017142857142857126
2023-06-07,5190,5210,5050,5080,204712,-0.015503875968992276
2023-06-08,5080,5500,5060,5180,726154,0.019685039370078705
2023-06-09,5190,5450,5160,5450,365659,0.05212355212355213
2023-06-12,5410,5440,5190,5200,295463,-0.04587155963302747
2023-06-13,5250,5270,5070,5080,368105,-0.023076923076923106
2023-06-14,5080,5090,4895,4895,485359,-0.036417322834645716
2023-06-15,4895,4900,4670,4675,546472,-0.0449438202247191
2023-06-16,4675,4770,4650,4660,172252,-0.0032085561497325887
2023-06-19,4660,4950,4650,4830,284807,0.03648068669527893
2023-06-20,4865,4885,4725,4760,149451,-0.01449275362318836
2023-06-21,4775,4785,4635,4650,174349,-0.02310924369747902
2023-06-22,4650,4680,4560,4570,143723,-0.017204301075268824
2023-06-23,4570,4610,4500,4545,95540,-0.005470459518599591
2023-06-26,4620,4765,4510,4720,206087,0.03850385038503856
2023-06-27,4690,4750,4660,4695,104736,-0.005296610169491567
2023-06-28,4730,4800,4650,4650,115992,-0.009584664536741228
2023-06-29,4720,4720,4540,4540,125371,-0.023655913978494647
2023-06-30,4605,4610,4525,4550,93649,0.0022026431718060735
2023-07-03,4600,4865,4600,4780,332367,0.05054945054945059
2023-07-04,4785,4825,4655,4725,100022,-0.011506276150627603
2023-07-05,4730,4790,4655,4690,102307,-0.007407407407407418
2023-07-06,4700,4910,4695,4840,576635,0.031982942430703654
2023-07-07,4815,4940,4770,4940,218488,0.02066115702479343
2023-07-10,4970,5050,4840,4995,317161,0.011133603238866474
2023-07-11,4945,5360,4905,5310,743453,0.06306306306306309
2023-07-12,5310,5490,5150,5370,615202,0.011299435028248483
2023-07-13,5370,5510,5270,5480,357678,0.020484171322160183
2023-07-14,5480,5560,5370,5490,482916,0.0018248175182482562
2023-07-17,5490,5510,5370,5490,223355,0.0
2023-07-18,5470,5590,5420,5510,329824,0.0036429872495447047
2023-07-19,5510,5610,5440,5570,296140,0.010889292196007316
2023-07-20,5590,5740,5540,5620,272854,0.008976660682226134
2023-07-21,5590,5740,5510,5690,314641,0.01245551601423478
2023-07-24,5700,5710,5440,5690,385679,0.0
2023-07-25,5630,5700,5360,5680,444378,-0.0017574692442882123
2023-07-26,5630,5700,5400,5420,354856,-0.045774647887323994
2023-07-27,5410,5780,5400,5670,422556,0.046125461254612476
2023-07-28,5610,5690,5520,5660,178165,-0.0017636684303351524
2023-07-31,5690,5830,5620,5800,318751,0.02473498233215543
2023-08-01,5800,5860,5680,5700,192708,-0.017241379310344862
2023-08-02,5730,5870,5640,5850,315901,0.026315789473684292
2023-08-03,5790,6460,5790,5970,2562613,0.02051282051282044
2023-08-04,6020,6070,5590,5710,605105,-0.04355108877721947
2023-08-07,5790,6100,5750,5790,837096,0.014010507880910739
2023-08-08,5800,5840,5360,5440,534114,-0.060449050086355816
2023-08-09,5430,5680,5360,5670,211582,0.04227941176470584
