Date,Open,High,Low,Close,Volume,Change
2022-01-03,8620,8750,8550,8750,190326,0.0186263096623982
2022-01-04,8740,9190,8730,9170,511986,0.04800000000000004
2022-01-05,9160,9650,9000,9490,756086,0.034896401308615044
2022-01-06,9350,9500,9010,9070,435438,-0.04425711275026345
2022-01-07,9050,9070,8820,8900,284063,-0.018743109151047377
2022-01-10,8870,9040,8740,8760,185863,-0.01573033707865168
2022-01-11,8760,8930,8690,8790,198840,0.003424657534246478
2022-01-12,8800,9090,8790,9070,172175,0.03185437997724683
2022-01-13,9100,9100,8750,8830,188789,-0.026460859977949336
2022-01-14,8750,8880,8600,8720,166173,-0.01245753114382786
2022-01-17,8710,8870,8620,8730,123387,0.0011467889908256534
2022-01-18,8830,8830,8530,8660,123015,-0.008018327605956443
2022-01-19,8510,8800,8420,8660,191552,0.0
2022-01-20,8660,8720,8570,8690,164352,0.0034642032332563577
2022-01-21,8490,8740,8460,8600,202361,-0.010356731875719172
2022-01-24,8600,8880,8480,8710,226010,0.012790697674418539
2022-01-25,8700,8810,8600,8630,185335,-0.009184845005740572
2022-01-26,8570,8930,8570,8780,195684,0.017381228273464666
2022-01-27,8900,8900,8600,8660,325033,-0.013667425968109326
2022-01-28,8750,9130,8700,9120,417615,0.053117782909930744
2022-02-03,9300,9650,9200,9250,505145,0.014254385964912242
2022-02-04,9140,9380,8560,8890,385473,-0.038918918918918965
2022-02-07,8950,9290,8740,9150,387033,0.02924634420697414
2022-02-08,9160,9250,8950,9050,258351,-0.010928961748633892
2022-02-09,9060,9250,8940,9250,152197,0.022099447513812098
2022-02-10,9320,9320,8940,8960,218719,-0.031351351351351364
2022-02-11,8940,8970,8770,8770,214002,-0.021205357142857095
2022-02-14,8580,8760,8480,8600,222197,-0.019384264538198415
2022-02-15,8600,8670,8250,8310,278902,-0.03372093023255818
2022-02-16,8490,8620,8340,8620,172950,0.03730445246690728
2022-02-17,8620,8660,8400,8460,148256,-0.018561484918793503
2022-02-18,8280,8580,8250,8500,179755,0.004728132387706863
2022-02-21,8480,8480,8310,8410,86541,-0.010588235294117676
2022-02-22,8300,8350,8100,8130,221447,-0.03329369797859694
2022-02-23,8200,8370,8160,8280,146437,0.01845018450184499
2022-02-24,8230,8230,7950,8020,296232,-0.03140096618357491
2022-02-25,8060,8210,8060,8200,137699,0.02244389027431426
2022-02-28,8110,8300,8080,8290,110160,0.01097560975609757
2022-03-02,8210,8430,8210,8390,128973,0.012062726176115701
2022-03-03,8320,8640,8320,8640,185025,0.029797377830750982
2022-03-04,8620,8620,8460,8550,117112,-0.01041666666666663
2022-03-07,8500,8690,8390,8520,133244,-0.0035087719298245723
2022-03-08,8370,8710,8360,8600,169684,0.009389671361502261
2022-03-10,8610,8940,8600,8880,265161,0.032558139534883734
2022-03-11,8850,9070,8830,9040,258767,0.018018018018018056
2022-03-14,9050,9210,8860,8880,196855,-0.017699115044247815
2022-03-15,8870,9130,8780,9020,153533,0.015765765765765716
2022-03-16,9120,9260,9100,9250,190792,0.02549889135254979
2022-03-17,9310,9390,9200,9350,202242,0.0108108108108107
2022-03-18,9300,9510,9130,9430,218253,0.00855614973262031
2022-03-21,9400,9520,9330,9380,135711,-0.005302226935312793
2022-03-22,9390,9540,9340,9480,166463,0.010660980810234477
2022-03-23,9490,9590,9430,9490,128770,0.001054852320675037
2022-03-24,9410,9620,9370,9540,185426,0.005268703898840821
2022-03-25,9590,9680,9390,9390,200653,-0.01572327044025157
2022-03-28,9390,9410,9010,9010,234436,-0.04046858359957406
2022-03-29,9050,9250,8980,9230,153475,0.02441731409544956
2022-03-30,9320,9650,9170,9580,253408,0.037919826652220934
2022-03-31,9580,9630,9340,9430,118704,-0.01565762004175364
2022-04-01,9310,9410,9240,9260,77263,-0.018027571580063628
2022-04-04,9140,9480,9120,9450,141074,0.02051835853131756
2022-04-05,9450,9450,9180,9300,129577,-0.015873015873015928
2022-04-06,9180,9270,8990,9060,159674,-0.02580645161290318
2022-04-07,8970,9060,8900,9020,106451,-0.004415011037527616
2022-04-08,9110,9130,8980,9110,77577,0.009977827050997812
2022-04-11,9090,9190,8960,9110,104921,0.0
2022-04-12,9060,9110,8970,9000,82510,-0.01207464324917673
2022-04-13,9000,9330,8970,9300,141890,0.03333333333333344
2022-04-14,9210,9350,9080,9130,83008,-0.018279569892473146
2022-04-15,9040,9070,8900,8960,103966,-0.018619934282584905
2022-04-18,8940,9230,8880,9030,172406,0.0078125
2022-04-19,9040,9400,9040,9320,203510,0.032115171650055396
2022-04-20,9170,9360,9170,9240,107401,-0.008583690987124415
2022-04-21,9270,9370,9140,9140,80148,-0.010822510822510845
2022-04-22,9090,9160,8890,9000,175238,-0.015317286652078765
2022-04-25,8750,8980,8720,8870,106917,-0.014444444444444482
2022-04-26,8900,9010,8810,9000,109174,0.014656144306651742
2022-04-27,8940,8950,8760,8820,99612,-0.020000000000000018
2022-04-28,8830,8950,8780,8790,76909,-0.003401360544217691
2022-04-29,8760,8950,8720,8950,98765,0.018202502844141044
2022-05-02,8860,8950,8700,8800,103383,-0.016759776536312887
2022-05-03,8610,8790,8350,8430,288820,-0.0420454545454545
2022-05-04,8450,8460,8250,8280,134844,-0.017793594306049876
2022-05-06,8220,8220,8050,8070,154978,-0.025362318840579712
2022-05-09,8080,8160,8000,8140,122869,0.00867410161090465
2022-05-10,8050,8160,7960,8080,196060,-0.0073710073710073765
2022-05-11,8010,8200,7980,8200,100399,0.014851485148514865
2022-05-12,8030,8190,7920,7920,199719,-0.034146341463414664
2022-05-13,7920,8080,7910,8040,140483,0.015151515151515138
2022-05-16,8080,8250,8010,8030,109531,-0.0012437810945273853
2022-05-17,8030,8130,7960,8010,62539,-0.00249066002490661
2022-05-18,8140,8140,7970,8000,88460,-0.0012484394506866447
2022-05-19,7900,7900,7720,7720,180708,-0.03500000000000003
2022-05-20,7720,7900,7720,7900,119692,0.023316062176165886
2022-05-23,7900,7990,7850,7920,91472,0.0025316455696202667
2022-05-24,7910,7970,7800,7800,104738,-0.015151515151515138
2022-05-25,7890,8220,7850,8000,166870,0.02564102564102555
2022-05-26,8000,8080,7860,7890,124081,-0.01375000000000004
2022-05-27,8200,8210,7930,8000,108151,0.013941698352344822
2022-05-30,8090,8190,8050,8180,102256,0.022499999999999964
2022-05-31,8110,8200,8040,8190,114186,0.0012224938875304847
2022-06-02,8180,8210,8110,8120,48368,-0.008547008547008517
2022-06-03,8200,8280,8100,8140,80909,0.0024630541871921707
2022-06-07,8120,8120,7930,7950,99492,-0.023341523341523396
2022-06-08,7990,8100,7950,8070,82623,0.015094339622641506
2022-06-09,8060,8060,7940,8050,113754,-0.0024783147459727095
2022-06-10,7910,8060,7910,8000,50319,-0.006211180124223614
2022-06-13,7800,8150,7660,7710,258184,-0.036250000000000004
2022-06-14,7650,7780,7560,7760,127265,0.006485084306095956
2022-06-15,7620,7760,7530,7580,96030,-0.023195876288659822
2022-06-16,7760,7760,7570,7670,82517,0.01187335092348274
2022-06-17,7540,7620,7430,7620,115585,-0.006518904823989535
2022-06-20,7600,7650,7300,7320,161483,-0.03937007874015752
2022-06-21,7330,7400,7220,7300,76560,-0.002732240437158473
2022-06-22,7310,7400,6900,7010,201899,-0.03972602739726028
2022-06-23,7110,7240,6750,6790,213884,-0.031383737517831634
2022-06-24,6850,7140,6850,7130,204340,0.050073637702503726
2022-06-27,7100,7220,6950,7170,140332,0.005610098176718203
2022-06-28,7110,7180,6990,7030,84401,-0.019525801952580246
2022-06-29,6870,6960,6810,6830,153844,-0.028449502133712667
2022-06-30,6750,7350,6730,7130,274749,0.04392386530014636
2022-07-01,7090,7200,6760,6990,171805,-0.01963534361851338
2022-07-04,6990,7100,6760,6960,88490,-0.0042918454935622075
2022-07-05,6950,7340,6950,7290,153846,0.047413793103448176
2022-07-06,7140,7350,7100,7140,109459,-0.020576131687242816
2022-07-07,7170,7250,7100,7170,49653,0.004201680672268893
2022-07-08,7290,7730,7170,7190,297669,0.002789400278939924
2022-07-11,7160,7310,7120,7120,92733,-0.009735744089012566
2022-07-12,7110,7120,6910,6910,124582,-0.0294943820224719
2022-07-13,6990,7120,6940,7120,103798,0.03039073806078152
2022-07-14,7050,7120,6940,6980,87542,-0.0196629213483146
2022-07-15,7050,7090,6890,7010,74349,0.004297994269341077
2022-07-18,7020,7190,7020,7170,104561,0.022824536376604865
2022-07-19,7190,7270,7120,7250,77709,0.01115760111576014
2022-07-20,7300,7400,7170,7240,82042,-0.0013793103448276334
2022-07-21,7240,7260,7110,7190,52518,-0.006906077348066253
2022-07-22,7190,7280,7010,7010,72898,-0.025034770514603566
2022-07-25,7050,7100,6970,7010,93409,0.0
2022-07-26,6970,7090,6970,7030,68209,0.0028530670470756636
2022-07-27,7050,7280,7010,7190,71275,0.022759601706970223
2022-07-28,7240,7340,7100,7200,63380,0.0013908205841446364
2022-07-29,7250,7300,7200,7230,59563,0.004166666666666652
2022-08-01,7180,7240,7110,7180,52970,-0.006915629322268302
2022-08-02,7120,7190,7090,7190,56236,0.0013927576601671099
2022-08-03,7190,7220,7140,7160,36720,-0.004172461752433909
2022-08-04,7140,7260,7110,7230,59302,0.009776536312849249
2022-08-05,7170,7590,7160,7560,182961,0.045643153526971014
2022-08-08,7500,7610,7480,7570,75374,0.001322751322751392
2022-08-09,7590,7720,7500,7700,96723,0.017173051519154603
2022-08-10,7670,7720,7570,7590,72063,-0.014285714285714235
2022-08-11,7710,8000,7710,7930,201834,0.044795783926218746
2022-08-12,7850,7990,7770,7800,89528,-0.016393442622950838
2022-08-16,7810,7930,7680,7690,84051,-0.014102564102564052
2022-08-17,7690,7730,7490,7500,101787,-0.024707412223667125
2022-08-18,7480,7620,7410,7540,87856,0.005333333333333412
2022-08-19,7690,7900,7510,7520,82496,-0.0026525198938992522
2022-08-22,7450,7500,7320,7320,117890,-0.02659574468085102
2022-08-23,7250,7430,7230,7300,65704,-0.002732240437158473
2022-08-24,7190,7420,7190,7420,110872,0.016438356164383494
2022-08-25,7390,7450,7320,7450,71341,0.0040431266846361336
2022-08-26,7360,7440,7190,7190,96483,-0.03489932885906044
2022-08-29,7060,7160,6940,6980,118336,-0.029207232267037586
2022-08-30,6990,7170,6950,7110,72084,0.018624641833810962
2022-08-31,6990,7150,6990,7090,53977,-0.002812939521800284
2022-09-01,6970,7030,6860,6960,118091,-0.01833568406205921
2022-09-02,7040,7100,6840,7090,82112,0.018678160919540332
2022-09-05,7150,7150,6980,7090,60222,0.0
2022-09-06,7100,7220,6970,7070,88121,-0.0028208744710860323
2022-09-07,6950,6990,6840,6910,102746,-0.022630834512022635
2022-09-08,6950,7190,6950,7140,163697,0.0332850940665701
2022-09-13,7250,7390,7240,7390,103197,0.035014005602240994
2022-09-14,7120,7190,7030,7080,128850,-0.041948579161028454
2022-09-15,7160,7160,7020,7030,54401,-0.007062146892655385
2022-09-16,6950,7020,6930,6960,67125,-0.009957325746799417
2022-09-19,7020,7050,6930,6990,101849,0.004310344827586299
2022-09-20,7110,7200,7020,7100,73030,0.01573676680972813
2022-09-21,7090,7090,6950,6950,67898,-0.021126760563380254
2022-09-22,6820,7000,6740,6810,103150,-0.020143884892086295
2022-09-23,6720,6920,6580,6920,194233,0.01615271659324513
2022-09-26,6980,7040,6700,6830,183856,-0.013005780346820761
2022-09-27,6680,6980,6680,6900,161292,0.01024890190336758
2022-09-28,6830,6980,6710,6910,133213,0.0014492753623187582
2022-09-29,6940,7230,6850,7140,131327,0.0332850940665701
2022-09-30,7140,7220,7010,7100,75580,-0.0056022408963585235
2022-10-04,7230,7490,7200,7490,136828,0.05492957746478866
2022-10-05,7440,7490,6980,6980,136516,-0.06809078771695598
2022-10-06,6990,7140,6970,7140,54233,0.022922636103151817
2022-10-07,7010,7080,6910,6910,94048,-0.03221288515406162
2022-10-11,6850,6850,6580,6620,134263,-0.04196816208393628
2022-10-12,6650,6740,6540,6730,93203,0.0166163141993958
2022-10-13,6790,6790,6470,6580,100994,-0.022288261515601815
2022-10-14,6660,6810,6630,6790,110282,0.03191489361702127
2022-10-17,6700,6700,6500,6650,109049,-0.020618556701030966
2022-10-18,6670,6820,6650,6800,71569,0.022556390977443552
2022-10-19,6680,6830,6650,6700,100744,-0.014705882352941124
2022-10-20,6660,6700,6550,6620,104308,-0.011940298507462699
2022-10-21,6560,6670,6480,6650,76895,0.004531722054380571
2022-10-24,6840,6970,6730,6940,118119,0.043609022556390986
