Date,Open,High,Low,Close,Volume,Change
2022-01-03,4145,4145,4050,4070,88929,-0.020457280385078214
2022-01-04,4065,4090,4025,4055,80987,-0.0036855036855036882
2022-01-05,4055,4055,3875,3890,210700,-0.04069050554870535
2022-01-06,3880,3950,3825,3890,121115,0.0
2022-01-07,3955,4500,3945,4065,1631270,0.04498714652956304
2022-01-10,4080,4115,3985,4105,184971,0.009840098400984099
2022-01-11,4070,4100,3820,3905,172214,-0.04872107186358099
2022-01-12,3945,4670,3925,4395,8498884,0.12548015364916765
2022-01-13,4430,4465,4350,4350,913987,-0.010238907849829393
2022-01-14,4310,4375,4235,4270,323607,-0.01839080459770115
2022-01-17,4315,4710,4175,4235,2946209,-0.008196721311475419
2022-01-18,4195,4230,3875,3905,711730,-0.07792207792207795
2022-01-19,3905,4005,3875,3930,288694,0.006402048655569814
2022-01-20,3930,4240,3930,4140,779127,0.05343511450381677
2022-01-21,4140,4225,4060,4180,288353,0.009661835748792313
2022-01-24,4080,4115,3960,4010,262787,-0.04066985645933019
2022-01-25,3990,4010,3720,3795,339915,-0.05361596009975067
2022-01-26,3775,3975,3775,3830,186743,0.00922266139657446
2022-01-27,3880,3880,3625,3665,236598,-0.04308093994778073
2022-01-28,3625,3785,3550,3760,143560,0.02592087312414737
2022-02-03,3850,3945,3795,3930,167579,0.04521276595744683
2022-02-04,3930,4065,3895,4065,218707,0.03435114503816794
2022-02-07,4080,4080,3940,4065,93413,0.0
2022-02-08,4065,4165,3910,3950,169904,-0.028290282902828978
2022-02-09,3970,4060,3970,4060,76747,0.02784810126582271
2022-02-10,4070,4075,3975,3980,113198,-0.019704433497536922
2022-02-11,3980,3990,3790,3795,150566,-0.04648241206030146
2022-02-14,3775,3775,3585,3650,165940,-0.03820816864295129
2022-02-15,3650,3995,3555,3570,301305,-0.021917808219178103
2022-02-16,3640,3735,3640,3735,66065,0.04621848739495804
2022-02-17,3770,3840,3560,3725,128967,-0.0026773761713521083
2022-02-18,3770,3890,3670,3870,157684,0.03892617449664426
2022-02-21,3860,3860,3765,3825,51753,-0.011627906976744207
2022-02-22,3790,3790,3635,3665,119602,-0.04183006535947709
2022-02-23,3665,3700,3620,3655,75656,-0.0027285129604365244
2022-02-24,3625,3655,3505,3550,156021,-0.028727770177838563
2022-02-25,3570,3625,3565,3600,82481,0.014084507042253502
2022-02-28,3610,3645,3550,3620,66123,0.005555555555555536
2022-03-02,3620,3650,3585,3625,99341,0.0013812154696133394
2022-03-03,3770,4140,3685,3700,1849623,0.020689655172413834
2022-03-04,3705,3710,3630,3640,171387,-0.01621621621621616
2022-03-07,3635,3635,3525,3525,112942,-0.03159340659340659
2022-03-08,3475,3495,3420,3425,197072,-0.028368794326241176
2022-03-10,3360,3595,3360,3470,293313,0.013138686131386912
2022-03-11,3465,3490,3420,3490,110845,0.0057636887608070175
2022-03-14,3490,3490,3385,3420,110721,-0.02005730659025784
2022-03-15,3420,3510,3390,3415,146565,-0.0014619883040936088
2022-03-16,3450,3540,3440,3535,91849,0.03513909224011713
2022-03-17,3570,3600,3550,3565,85091,0.008486562942008558
2022-03-18,3610,3610,3535,3575,83743,0.0028050490883591017
2022-03-21,3605,3640,3575,3620,77234,0.012587412587412583
2022-03-22,3610,3640,3580,3625,69766,0.0013812154696133394
2022-03-23,3640,3670,3600,3660,161985,0.009655172413793212
2022-03-24,3615,3670,3610,3655,61303,-0.001366120218579181
2022-03-25,3670,3685,3625,3670,67146,0.004103967168262557
2022-03-28,3675,3735,3645,3720,116763,0.013623978201634968
2022-03-29,3700,3765,3695,3720,72804,0.0
2022-03-30,3740,3740,3685,3705,51230,-0.0040322580645161255
2022-03-31,3705,3770,3695,3765,90792,0.0161943319838056
2022-04-01,3790,3820,3730,3780,102169,0.003984063745019917
2022-04-04,3780,3780,3705,3750,78091,-0.007936507936507908
2022-04-05,3745,3790,3725,3725,55341,-0.00666666666666671
2022-04-06,3710,3725,3630,3655,91496,-0.018791946308724827
2022-04-07,3600,3650,3530,3540,95064,-0.03146374829001364
