Date,Open,High,Low,Close,Volume,Change
2022-01-03,3600,3605,3540,3550,42053,-0.01388888888888884
2022-01-04,3550,3630,3535,3620,42455,0.019718309859154903
2022-01-05,3630,3690,3580,3690,166518,0.01933701657458564
2022-01-06,3660,3785,3650,3740,76045,0.013550135501354976
2022-01-07,3750,3800,3720,3795,74843,0.014705882352941124
2022-01-10,3800,3900,3800,3900,222721,0.027667984189723382
2022-01-11,3925,3940,3800,3920,97440,0.00512820512820511
2022-01-12,3915,3920,3850,3895,53544,-0.0063775510204081565
2022-01-13,3900,3930,3855,3930,76915,0.00898587933247752
2022-01-14,4000,4005,3790,3880,67118,-0.012722646310432517
2022-01-17,3840,3855,3755,3815,45618,-0.01675257731958768
2022-01-18,3735,3845,3735,3840,54216,0.006553079947575258
2022-01-19,3750,3850,3680,3850,38245,0.0026041666666667407
2022-01-20,3800,3890,3770,3885,24342,0.009090909090909038
2022-01-21,3885,3885,3815,3870,24856,-0.0038610038610038533
2022-01-24,3850,3850,3700,3845,20567,-0.006459948320413411
2022-01-25,3800,3815,3655,3675,44257,-0.044213263979193784
2022-01-26,3610,3730,3610,3620,31538,-0.014965986394557818
2022-01-27,3680,3680,3480,3610,56487,-0.002762430939226568
2022-01-28,3605,3615,3515,3600,45466,-0.0027700831024930483
2022-02-03,3670,3800,3600,3775,68165,0.04861111111111116
2022-02-04,3775,3845,3750,3820,17704,0.01192052980132452
2022-02-07,3805,3860,3785,3835,41603,0.003926701570680535
2022-02-08,3835,3855,3780,3835,49851,0.0
2022-02-09,3835,3850,3810,3815,36020,-0.0052151238591916504
2022-02-10,3825,3850,3795,3805,32564,-0.002621231979030192
2022-02-11,3775,4005,3775,3880,212655,0.019710906701708275
2022-02-14,3865,3865,3765,3810,47102,-0.01804123711340211
2022-02-15,3815,3865,3695,3790,58864,-0.005249343832021025
2022-02-16,3800,3840,3775,3810,23256,0.005277044854881341
2022-02-17,3805,3855,3740,3760,32948,-0.013123359580052507
2022-02-18,3715,3770,3685,3755,17818,-0.0013297872340425343
2022-02-21,3750,3750,3700,3725,14636,-0.007989347536617841
2022-02-22,3675,3765,3640,3670,27833,-0.014765100671140896
2022-02-23,3645,3715,3585,3690,27407,0.005449591280654031
2022-02-24,3690,3700,3580,3585,25600,-0.028455284552845517
2022-02-25,3585,3720,3585,3680,46607,0.02649930264993028
2022-02-28,3675,3690,3650,3675,4418,-0.0013586956521739468
2022-03-02,3700,3740,3660,3715,35571,0.010884353741496655
2022-03-03,3735,3780,3695,3755,36241,0.010767160161507361
2022-03-04,3760,3840,3725,3840,16088,0.022636484687083902
2022-03-07,3780,3800,3700,3730,52226,-0.02864583333333337
2022-03-08,3700,3745,3620,3720,20207,-0.002680965147453085
2022-03-10,3720,3805,3720,3755,21525,0.009408602150537737
2022-03-11,3795,3800,3750,3770,12851,0.003994673768308976
2022-03-14,3780,3805,3755,3775,22973,0.0013262599469496816
2022-03-15,3795,3795,3700,3780,39686,0.0013245033112583293
2022-03-16,3780,3840,3730,3805,35708,0.006613756613756516
2022-03-17,3860,3865,3765,3865,49848,0.01576872536136653
2022-03-18,3850,3970,3810,3970,155839,0.027166882276843385
2022-03-21,3965,3965,3920,3925,41382,-0.01133501259445846
2022-03-22,3910,4080,3910,4025,304806,0.02547770700636942
2022-03-23,4080,4080,3980,4025,198905,0.0
2022-03-24,4025,4025,3980,3995,48614,-0.007453416149068359
2022-03-25,3995,4045,3940,3945,44501,-0.01251564455569465
