Date,Open,High,Low,Close,Volume,Change
2022-01-03,2180,2200,2155,2200,7812,0.0185185185185186
2022-01-04,2180,2220,2180,2205,8368,0.002272727272727204
2022-01-05,2220,2220,2175,2215,10486,0.0045351473922903285
2022-01-06,2215,2215,2160,2180,10926,-0.015801354401805856
2022-01-07,2200,2210,2145,2170,16341,-0.004587155963302725
2022-01-10,2200,2200,2160,2180,6788,0.004608294930875667
2022-01-11,2195,2200,2155,2180,14364,0.0
2022-01-12,2180,2180,2155,2175,9034,-0.002293577981651418
2022-01-13,2150,2195,2140,2195,32059,0.009195402298850519
2022-01-14,2195,2195,2165,2185,2491,-0.004555808656036442
2022-01-17,2175,2185,2145,2145,14830,-0.01830663615560646
2022-01-18,2170,2170,2135,2150,17511,0.002331002331002363
2022-01-19,2150,2160,2120,2150,11842,0.0
2022-01-20,2125,2160,2125,2150,1752,0.0
2022-01-21,2145,2160,2135,2145,12271,-0.0023255813953488857
2022-01-24,2170,2170,2145,2160,63904,0.006993006993007089
2022-01-25,2170,2170,2115,2140,144124,-0.0092592592592593
2022-01-26,2150,2150,2120,2120,16986,-0.009345794392523366
2022-01-27,2135,2135,2115,2130,54352,0.004716981132075526
2022-01-28,2140,2145,2115,2120,29477,-0.0046948356807511304
2022-02-03,2135,2140,2120,2140,8107,0.009433962264151052
2022-02-04,2150,2150,2120,2140,2377,0.0
2022-02-07,2150,2150,2130,2140,9174,0.0
2022-02-08,2140,2180,2140,2180,31114,0.01869158878504673
2022-02-09,2200,2200,2155,2185,10397,0.002293577981651307
2022-02-10,2195,2195,2145,2185,17066,0.0
2022-02-11,2170,2170,2145,2165,2781,-0.009153318077803174
2022-02-14,2170,2180,2130,2155,14583,-0.004618937644341847
2022-02-15,2170,2170,2135,2150,10742,-0.002320185614849146
2022-02-16,2175,2185,2130,2185,17716,0.016279069767441756
2022-02-17,2145,2175,2130,2140,32230,-0.020594965675057253
2022-02-18,2150,2150,2130,2145,3860,0.002336448598130758
2022-02-21,2120,2160,2120,2145,11964,0.0
2022-02-22,2145,2145,2125,2145,11907,0.0
2022-02-23,2165,2165,2135,2135,8190,-0.004662004662004615
2022-02-24,2130,2340,2130,2140,232189,0.0023419203747072626
2022-02-25,2140,2180,2140,2165,14909,0.011682242990654235
2022-02-28,2165,2180,2145,2145,14772,-0.009237875288683584
2022-03-02,2160,2165,2140,2155,7873,0.004662004662004726
2022-03-03,2165,2165,2145,2165,2770,0.004640371229698292
2022-03-04,2165,2165,2135,2155,22071,-0.004618937644341847
2022-03-07,2155,2155,2130,2140,19733,-0.00696055684454755
2022-03-08,2140,2165,2125,2135,5192,-0.002336448598130869
2022-03-10,2140,2160,2130,2140,3268,0.0023419203747072626
2022-03-11,2160,2160,2130,2145,4808,0.002336448598130758
2022-03-14,2145,2160,2125,2145,11065,0.0
2022-03-15,2125,2155,2125,2145,5449,0.0
2022-03-16,2160,2160,2130,2155,373,0.004662004662004726
2022-03-17,2160,2160,2135,2150,12190,-0.002320185614849146
2022-03-18,2165,2175,2140,2175,26407,0.011627906976744207
2022-03-21,2150,2295,2150,2240,475819,0.029885057471264354
2022-03-22,2310,2315,2150,2155,276198,-0.0379464285714286
2022-03-23,2155,2175,2150,2175,45629,0.009280742459396807
2022-03-24,2175,2180,2155,2155,24473,-0.00919540229885063
2022-03-25,2175,2175,2145,2165,55775,0.004640371229698292
2022-03-28,2170,2170,2145,2150,21482,-0.006928406466512715
2022-03-29,2150,2170,2145,2160,19612,0.0046511627906977715
2022-03-30,2170,2170,2145,2170,21319,0.004629629629629539
2022-03-31,2170,2170,2150,2160,5871,-0.004608294930875556
2022-04-01,2165,2165,2140,2160,34028,0.0
2022-04-04,2160,2175,2160,2175,32369,0.00694444444444442
2022-04-05,2175,2175,2155,2175,15857,0.0
2022-04-06,2155,2185,2155,2185,9757,0.0045977011494253706
2022-04-07,2190,2205,2175,2180,45975,-0.0022883295194507935
2022-04-08,2165,2230,2165,2210,31338,0.013761467889908285
2022-04-11,2230,2250,2195,2230,26223,0.009049773755656076
2022-04-12,2240,2300,2225,2230,124090,0.0
2022-04-13,2255,2255,2215,2225,12894,-0.0022421524663677195
2022-04-14,2220,2280,2195,2200,50950,-0.011235955056179803
2022-04-15,2200,2230,2200,2230,7162,0.013636363636363669
2022-04-18,2270,2270,2200,2230,9896,0.0
2022-04-19,2250,2250,2205,2210,2126,-0.008968609865470878
2022-04-20,2265,2265,2200,2205,9669,-0.002262443438914019
2022-04-21,2235,2235,2200,2230,7096,0.01133786848072571
2022-04-22,2230,2235,2200,2235,14304,0.0022421524663676085
2022-04-25,2235,2245,2210,2215,12833,-0.008948545861297563
2022-04-26,2215,2235,2210,2210,14377,-0.0022573363431150906
2022-04-27,2210,2225,2210,2220,27038,0.004524886877828038
2022-04-28,2230,2230,2210,2225,6474,0.0022522522522523403
2022-04-29,2225,2240,2210,2240,19193,0.006741573033707926
2022-05-02,2240,2240,2220,2235,2828,-0.0022321428571429047
2022-05-03,2220,2230,2210,2225,7306,-0.004474272930648726
2022-05-04,2225,2240,2210,2215,12087,-0.004494382022471877
2022-05-06,2210,2235,2200,2225,8913,0.004514672686230181
2022-05-09,2250,2250,2185,2195,29677,-0.013483146067415741
2022-05-10,2195,2225,2190,2205,7459,0.004555808656036442
