Date,Open,High,Low,Close,Volume,Change
2022-02-18,2660,2770,2310,2315,5395318,
2022-02-21,2260,2350,2250,2330,849782,0.00647948164146861
2022-02-22,2380,2440,2275,2275,1172637,-0.023605150214592308
2022-02-23,2295,2365,2245,2270,561991,-0.00219780219780219
2022-02-24,2230,2265,2185,2200,492116,-0.03083700440528636
2022-02-25,2230,2310,2220,2265,302941,0.02954545454545454
2022-02-28,2230,2250,2215,2220,126860,-0.019867549668874163
2022-03-02,2195,2220,2195,2205,57543,-0.006756756756756799
2022-03-03,2205,2270,2205,2240,89523,0.015873015873015817
2022-03-04,2240,2250,2215,2240,82741,0.0
2022-03-07,2225,2235,2215,2235,44752,-0.0022321428571429047
2022-03-08,2215,2245,2215,2245,19714,0.004474272930648837
2022-03-10,2245,2260,2240,2250,26819,0.00222717149220486
2022-03-11,2235,2260,2230,2245,18229,-0.0022222222222222365
2022-03-14,2250,2250,2215,2225,34621,-0.008908685968819552
2022-03-15,2220,2225,2205,2215,27478,-0.004494382022471877
2022-03-16,2225,2225,2210,2220,20831,0.0022573363431150906
2022-03-17,2230,2350,2220,2285,310222,0.029279279279279313
2022-03-18,2270,2300,2245,2275,81398,-0.004376367614879695
2022-03-21,2300,2845,2260,2380,9120231,0.04615384615384621
2022-03-22,2365,2390,2280,2305,760956,-0.031512605042016806
2022-03-23,2295,2310,2260,2280,319618,-0.010845986984815648
2022-03-24,2255,2310,2255,2285,118918,0.002192982456140413
2022-03-25,2275,2295,2265,2280,92370,-0.002188183807439792
2022-03-28,2280,2290,2260,2270,63171,-0.004385964912280715
2022-03-29,2290,2295,2265,2285,67061,0.0066079295154184425
2022-03-30,2290,2290,2260,2270,81677,-0.006564551422319487
2022-03-31,2280,2280,2260,2275,39934,0.0022026431718060735
2022-04-01,2280,2280,2260,2260,55926,-0.00659340659340657
2022-04-04,2275,2305,2265,2300,83189,0.017699115044247815
2022-04-05,2300,2300,2285,2300,26396,0.0
2022-04-06,2300,2315,2280,2310,71224,0.004347826086956497
2022-04-07,2310,2365,2290,2340,158586,0.01298701298701288
2022-04-08,2335,2350,2315,2330,59346,-0.004273504273504258
2022-04-11,2345,2575,2310,2435,1643652,0.045064377682403345
2022-04-12,2475,2630,2320,2390,1512234,-0.01848049281314168
2022-04-13,2380,2385,2340,2355,152770,-0.014644351464435101
2022-04-14,2365,2400,2330,2370,83778,0.006369426751592355
2022-04-15,2370,2380,2340,2375,61435,0.0021097046413502962
2022-04-18,2375,2375,2335,2340,67508,-0.01473684210526316
2022-04-19,2340,2340,2310,2330,76713,-0.004273504273504258
2022-04-20,2320,2335,2320,2325,56864,-0.0021459227467811592
2022-04-21,2325,2370,2325,2355,47539,0.012903225806451646
2022-04-22,2355,2360,2325,2350,48906,-0.002123142250530785
2022-04-25,2345,2390,2325,2375,40156,0.010638297872340496
2022-04-26,2355,2375,2350,2355,57805,-0.008421052631578996
2022-04-27,2355,2355,2325,2350,44661,-0.002123142250530785
2022-04-28,2365,2365,2330,2350,21117,0.0
2022-04-29,2370,2370,2335,2350,12175,0.0
2022-05-02,2360,2360,2325,2355,18212,0.0021276595744681437
2022-05-03,2360,2365,2340,2355,24559,0.0
2022-05-04,2345,2355,2335,2355,5559,0.0
2022-05-06,2355,2355,2330,2340,19858,-0.006369426751592355
2022-05-09,2330,2380,2300,2360,136735,0.008547008547008517
2022-05-10,2350,2420,2325,2385,97364,0.010593220338983134
