Date,Open,High,Low,Close,Volume,Change
2023-03-29,6500,8450,6110,8450,23387178,
2023-03-30,9200,10400,8900,8900,20381120,0.053254437869822535
2023-03-31,8520,8730,7630,7920,3222285,-0.11011235955056176
2023-04-03,7820,8350,7410,7850,3837664,-0.008838383838383868
2023-04-04,8390,8780,7900,7910,5215966,0.007643312101910826
2023-04-05,7790,7820,7500,7540,1049481,-0.04677623261694053
2023-04-06,7430,7460,6900,7050,841227,-0.06498673740053051
2023-04-07,7050,7570,7030,7110,1111273,0.008510638297872353
2023-04-10,6910,6990,6550,6630,764537,-0.0675105485232067
2023-04-11,6580,6760,6310,6760,682881,0.019607843137254832
2023-04-12,6630,7140,6560,6770,1090662,0.0014792899408284654
2023-04-13,6670,7250,6620,6910,1074533,0.02067946824224509
2023-04-14,7010,7080,6740,6770,295189,-0.02026049204052094
2023-04-17,6810,6890,6550,6570,284708,-0.02954209748892167
2023-04-18,6610,6800,6380,6400,422578,-0.025875190258751957
2023-04-19,6390,6480,6150,6200,335199,-0.03125
2023-04-20,6210,6410,6070,6090,388362,-0.01774193548387093
2023-04-21,6100,6110,5700,5710,305312,-0.06239737274220036
2023-04-24,5790,5920,5600,5640,172499,-0.012259194395796813
2023-04-25,5610,5740,5500,5540,161154,-0.01773049645390068
2023-04-26,5420,5880,5400,5530,418583,-0.0018050541516245744
2023-04-27,5530,5820,5400,5570,395391,0.00723327305605781
2023-04-28,5580,5900,5580,5620,436687,0.008976660682226134
2023-05-02,5620,5740,5560,5640,132044,0.003558718861210064
2023-05-03,5840,6150,5730,5990,591503,0.06205673758865249
2023-05-04,6010,6070,5800,5900,185658,-0.015025041736227096
2023-05-08,5820,6100,5810,5810,195579,-0.015254237288135575
2023-05-09,5810,5810,5610,5620,95367,-0.03270223752151458
2023-05-10,5740,5760,5630,5660,81332,0.007117437722419906
2023-05-11,5670,5870,5640,5730,187468,0.012367491166077826
2023-05-12,5730,5780,5560,5580,106879,-0.02617801047120416
2023-05-15,5580,5650,5410,5470,58702,-0.01971326164874554
2023-05-16,5560,5570,5350,5350,63463,-0.021937842778793404
2023-05-17,5380,5460,5180,5410,95945,0.01121495327102795
2023-05-18,5460,5550,5340,5540,63074,0.02402957486136792
2023-05-19,5580,5680,5480,5530,61323,-0.0018050541516245744
2023-05-22,5530,5780,5500,5650,61971,0.02169981916817365
2023-05-23,5690,5850,5610,5730,143689,0.014159292035398341
2023-05-24,5700,5760,5650,5670,55615,-0.010471204188481686
2023-05-25,5630,5880,5620,5640,58613,-0.005291005291005346
2023-05-26,5640,5640,5420,5510,79422,-0.023049645390070927
2023-05-30,5520,5560,5410,5450,30001,-0.010889292196007205
2023-05-31,5380,5490,5330,5410,53370,-0.007339449541284404
2023-06-01,5470,5470,5300,5350,74845,-0.011090573012939031
2023-06-02,5350,5380,5250,5300,57094,-0.009345794392523366
2023-06-05,5270,5440,5270,5430,49485,0.02452830188679256
2023-06-07,5550,5620,5450,5600,103361,0.03130755064456725
2023-06-08,5600,5670,5460,5600,70132,0.0
2023-06-09,5660,5660,5470,5520,59715,-0.014285714285714235
2023-06-12,5440,5580,5380,5450,47364,-0.0126811594202898
2023-06-13,5450,5600,5350,5560,121311,0.020183486238532167
2023-06-14,5800,6090,5510,5600,520117,0.007194244604316502
2023-06-15,5670,5680,5450,5480,67193,-0.021428571428571463
2023-06-16,5470,5540,5400,5420,53268,-0.010948905109489093
2023-06-19,5450,5450,5250,5270,77476,-0.027675276752767486
2023-06-20,5200,5340,5200,5260,53943,-0.00189753320683117
2023-06-21,5210,5280,5200,5210,64687,-0.009505703422053258
2023-06-22,5170,5210,5110,5110,58390,-0.019193857965451033
2023-06-23,5110,5110,5010,5020,54643,-0.017612524461839585
2023-06-26,4990,5120,4985,5120,28122,0.019920318725099584
2023-06-27,5130,5140,5000,5080,31643,-0.0078125
2023-06-28,5060,5140,5050,5050,27819,-0.0059055118110236116
2023-06-29,4950,5030,4790,4800,149173,-0.04950495049504955
2023-06-30,4865,4880,4640,4710,116009,-0.018750000000000044
2023-07-03,4730,4770,4675,4715,30120,0.0010615711252655036
2023-07-04,4740,4740,4585,4620,74139,-0.020148462354188768
2023-07-05,4605,4625,4500,4530,48724,-0.01948051948051943
2023-07-06,4455,4550,4350,4355,99058,-0.03863134657836642
2023-07-07,4355,5500,4300,4715,1936935,0.0826636050516647
2023-07-10,4710,5550,4530,4975,4268605,0.0551431601272534
2023-07-11,4900,5060,4865,4940,514277,-0.007035175879396949
2023-07-12,5010,5240,4975,5180,683256,0.04858299595141702
2023-07-13,5100,5230,5100,5120,164098,-0.01158301158301156
2023-07-14,5160,5330,4935,5210,416236,0.017578125
2023-07-17,5210,5780,5140,5660,1492195,0.0863723608445297
2023-07-18,5750,5760,5200,5410,730979,-0.044169611307420475
2023-07-19,5410,5500,4875,4965,668955,-0.08225508317929764
2023-07-20,4965,5050,4600,4705,414499,-0.05236656596173217
2023-07-21,4625,4665,4490,4535,190387,-0.03613177470775775
2023-07-24,4500,4520,4390,4395,158952,-0.030871003307607503
2023-07-25,4335,4380,4200,4220,144668,-0.03981797497155859
2023-07-26,4160,4220,3875,4005,210363,-0.05094786729857825
2023-07-27,3880,4185,3880,4060,65791,0.013732833957553092
2023-07-28,4000,4160,3995,4085,67554,0.006157635467980205
2023-07-31,4045,4240,4045,4170,39107,0.02080783353733162
2023-08-01,4110,4295,4100,4275,64477,0.02517985611510798
2023-08-02,4210,4275,4080,4135,57295,-0.03274853801169586
2023-08-03,4015,4075,3950,4040,57477,-0.022974607013301118
2023-08-04,4040,4240,4000,4195,69988,0.03836633663366329
2023-08-07,4195,4210,4110,4175,23239,-0.004767580452920139
2023-08-08,4115,4175,4045,4055,30555,-0.028742514970059863
2023-08-09,4050,4090,4005,4085,12651,0.007398273736128225
2023-08-10,4110,4155,4015,4135,22271,0.012239902080783294
2023-08-11,4100,4215,4050,4170,28335,0.00846432889963733
2023-08-14,4130,4200,4120,4145,34608,-0.005995203836930418
2023-08-16,4145,4155,4010,4010,34675,-0.03256936067551264
2023-08-17,4050,4090,3955,3965,51709,-0.01122194513715713
2023-08-18,3930,3960,3895,3910,42669,-0.013871374527112179
2023-08-21,3910,4000,3875,3900,40377,-0.002557544757033292
2023-08-22,3900,3920,3770,3785,77240,-0.029487179487179493
2023-08-23,3855,3855,3750,3780,22983,-0.0013210039630119352
2023-08-24,3780,3840,3750,3775,28267,-0.001322751322751281
2023-08-25,3755,3905,3715,3855,45694,0.02119205298013238
2023-08-28,3860,3920,3780,3805,81856,-0.012970168612191912
2023-08-29,3815,3965,3810,3930,45549,0.03285151116951379
2023-08-30,3950,3980,3915,3920,38934,-0.0025445292620864812
2023-08-31,3950,3950,3860,3930,30790,0.0025510204081633514
2023-09-01,3930,3980,3875,3930,43251,0.0
2023-09-04,3905,3910,3860,3905,18639,-0.006361323155216314
2023-09-05,3860,3935,3860,3915,25370,0.00256081946222797
2023-09-06,3905,4125,3905,3975,100558,0.015325670498084198
2023-09-07,3975,3990,3845,3890,33075,-0.021383647798742134
2023-09-08,3905,4005,3885,3905,23095,0.003856041131105492
2023-09-11,3875,3935,3870,3910,17200,0.001280409731113874
2023-09-12,3880,4030,3880,3910,60385,0.0
2023-09-13,3915,3930,3820,3820,25067,-0.023017902813299185
2023-09-14,3800,3910,3800,3825,22991,0.0013089005235602524
2023-09-15,3845,3970,3760,3895,51493,0.018300653594771177
2023-09-18,3900,3900,3850,3875,18215,-0.005134788189987138
2023-09-19,3825,3870,3780,3845,31974,-0.007741935483870921
2023-09-20,3810,3985,3800,3845,67567,0.0
2023-09-21,3930,4880,3895,4330,2767739,0.1261378413524057
2023-09-22,4450,4800,4190,4230,1042868,-0.023094688221709014
2023-09-25,4350,4440,4135,4240,229016,0.0023640661938533203
2023-09-26,4300,4425,4110,4410,336752,0.04009433962264142
2023-09-27,4360,4480,4260,4395,231991,-0.003401360544217691
2023-10-04,4340,4410,4125,4130,119387,-0.060295790671217264
2023-10-05,4200,4550,4090,4190,310581,0.014527845036319542
2023-10-06,4190,4395,4165,4370,85246,0.042959427207637235
2023-10-10,4400,4620,4250,4395,308061,0.005720823798627039
2023-10-11,4440,4555,4405,4495,164336,0.022753128555176305
2023-10-12,4500,4525,4425,4470,134540,-0.005561735261401579
2023-10-13,4525,4525,4270,4340,89666,-0.029082774049216997
2023-10-16,4335,4335,4185,4295,53544,-0.010368663594470084
2023-10-17,4295,4410,4235,4345,81221,0.011641443538998875
2023-10-18,4320,4390,4220,4260,52798,-0.019562715765247374
2023-10-19,4260,4285,4120,4185,71843,-0.017605633802816878
2023-10-20,4175,4175,3940,4090,120181,-0.022700119474313052
2023-10-23,4000,4120,4000,4080,40086,-0.0024449877750610804
2023-10-24,4060,4175,3915,4175,61234,0.023284313725490113
2023-10-25,4175,4250,4110,4200,49313,0.0059880239520957446
2023-10-26,4040,4185,4015,4080,49285,-0.02857142857142858
2023-10-27,4085,4125,3930,4080,44455,0.0
2023-10-30,4000,4160,4000,4150,28815,0.017156862745097978
2023-10-31,4115,4185,3970,4060,46847,-0.02168674698795181
2023-11-01,4015,4210,4015,4185,59895,0.030788177339901468
2023-11-02,4185,4600,4135,4195,524588,0.002389486260454099
2023-11-03,4170,4340,4110,4265,89437,0.016686531585220488
2023-11-06,4380,4380,4230,4340,71929,0.017584994138335253
2023-11-07,4345,4380,4255,4355,63329,0.003456221198156584
2023-11-08,4355,4400,4290,4305,34294,-0.01148105625717566
2023-11-09,4320,4320,4250,4270,28813,-0.008130081300813052
2023-11-10,4240,4330,4215,4305,39671,0.008196721311475308
