Date,Open,High,Low,Close,Volume,Change
2022-01-20,2075,2175,2075,2115,3165879,
2022-01-21,2130,2530,2110,2280,3700948,0.07801418439716312
2022-01-24,2210,2230,2125,2125,1369386,-0.06798245614035092
2022-01-25,2200,2285,2120,2135,1399721,0.004705882352941115
2022-01-26,2135,2145,2110,2125,398444,-0.004683840749414525
2022-01-27,2135,2135,2095,2100,492583,-0.0117647058823529
2022-01-28,2110,2115,2095,2110,140411,0.004761904761904745
2022-02-03,2120,2120,2100,2115,204794,0.0023696682464455776
2022-02-04,2115,2115,2100,2100,109247,-0.007092198581560294
2022-02-07,2100,2115,2095,2105,74621,0.0023809523809523725
2022-02-08,2105,2110,2100,2110,76107,0.002375296912114022
2022-02-09,2105,2110,2100,2105,59802,-0.0023696682464454666
2022-02-10,2105,2110,2100,2105,48653,0.0
2022-02-11,2105,2115,2100,2110,60240,0.002375296912114022
2022-02-14,2110,2110,2100,2110,106453,0.0
2022-02-15,2105,2110,2100,2110,36630,0.0
2022-02-16,2100,2115,2100,2110,74683,0.0
2022-02-17,2110,2115,2105,2110,51843,0.0
2022-02-18,2110,2120,2100,2110,106665,0.0
2022-02-21,2110,2110,2095,2105,171873,-0.0023696682464454666
2022-02-22,2100,2115,2100,2110,71610,0.002375296912114022
2022-02-23,2100,2110,2100,2105,21257,-0.0023696682464454666
2022-02-24,2100,2105,2095,2095,120391,-0.004750593824228044
2022-02-25,2095,2105,2090,2100,39673,0.0023866348448686736
2022-02-28,2095,2105,2095,2095,20594,-0.0023809523809523725
2022-03-02,2095,2110,2095,2110,29226,0.007159904534606243
2022-03-03,2100,2110,2095,2110,33113,0.0
2022-03-04,2110,2110,2095,2100,29554,-0.004739336492891044
2022-03-07,2100,2100,2095,2095,18763,-0.0023809523809523725
2022-03-08,2095,2100,2090,2090,57791,-0.0023866348448687846
2022-03-10,2095,2105,2095,2095,12617,0.0023923444976077235
2022-03-11,2100,2105,2090,2105,15167,0.004773269689737569
2022-03-14,2100,2105,2100,2105,16777,0.0
2022-03-15,2100,2105,2100,2105,22535,0.0
2022-03-16,2100,2105,2095,2100,9607,-0.002375296912114022
2022-03-17,2105,2105,2095,2100,20952,0.0
2022-03-18,2100,2105,2100,2105,10978,0.0023809523809523725
2022-03-21,2105,2130,2100,2110,191888,0.002375296912114022
2022-03-22,2120,2120,2105,2110,35529,0.0
2022-03-23,2105,2120,2105,2115,38109,0.0023696682464455776
2022-03-24,2110,2115,2105,2115,6953,0.0
2022-03-25,2120,2120,2105,2105,11390,-0.004728132387706863
2022-03-28,2115,2125,2105,2115,78601,0.004750593824228044
2022-03-29,2120,2120,2110,2115,10551,0.0
2022-03-30,2115,2120,2105,2115,7554,0.0
2022-03-31,2105,2120,2105,2115,7110,0.0
2022-04-01,2115,2115,2110,2115,11934,0.0
2022-04-04,2115,2125,2110,2120,30505,0.0023640661938533203
2022-04-05,2125,2130,2120,2125,79996,0.002358490566037652
2022-04-06,2130,2145,2120,2145,50123,0.009411764705882453
2022-04-07,2145,2145,2135,2145,12290,0.0
2022-04-08,2150,2150,2135,2150,16438,0.002331002331002363
2022-04-11,2155,2185,2155,2185,82427,0.016279069767441756
2022-04-12,2200,2205,2165,2185,73664,0.0
2022-04-13,2190,2190,2170,2190,22974,0.0022883295194509046
2022-04-14,2195,2195,2175,2185,17101,-0.0022831050228310223
2022-04-15,2180,2180,2170,2180,9463,-0.0022883295194507935
2022-04-18,2190,2190,2175,2180,28396,0.0
2022-04-19,2185,2185,2170,2180,19854,0.0
2022-04-20,2180,2180,2160,2165,52955,-0.006880733944954143
2022-04-21,2160,2170,2155,2160,38988,-0.002309468822170868
2022-04-22,2170,2175,2160,2175,30573,0.00694444444444442
2022-04-25,2155,2180,2155,2180,34835,0.0022988505747125743
2022-04-26,2180,2185,2175,2180,145817,0.0
