Date,Open,High,Low,Close,Volume,Change
2023-10-13,2000,5480,1991,2375,87575540,
2023-10-16,2200,2955,2145,2380,31815595,0.002105263157894832
2023-10-17,2510,2750,2420,2460,14820459,0.03361344537815136
2023-10-18,2385,2475,2100,2160,3862662,-0.12195121951219512
2023-10-19,2060,2130,2010,2010,1700749,-0.06944444444444442
2023-10-20,2005,2050,1992,1992,967272,-0.008955223880596996
2023-10-23,1991,2005,1990,1990,399628,-0.0010040160642570406
2023-10-24,1981,1995,1963,1976,456232,-0.007035175879396949
2023-10-25,1975,1988,1968,1984,234953,0.004048582995951344
2023-10-26,1984,1990,1956,1977,264792,-0.0035282258064516236
2023-10-27,1977,1979,1962,1963,124192,-0.0070814365199797225
2023-10-30,1962,1979,1957,1959,199591,-0.002037697401935823
2023-10-31,1961,1970,1955,1959,69483,0.0
2023-11-01,1959,1964,1951,1957,94441,-0.0010209290454313846
2023-11-02,2000,2000,1951,1977,191251,0.010219724067450198
2023-11-03,1959,1990,1958,1988,92259,0.005563985837127028
2023-11-06,1988,1988,1972,1980,84401,-0.004024144869215318
2023-11-07,1978,1980,1961,1961,68200,-0.009595959595959602
2023-11-08,1960,1969,1954,1959,38502,-0.0010198878123406363
2023-11-09,1954,1966,1952,1953,47996,-0.003062787136294043
2023-11-10,1950,1960,1944,1949,68377,-0.0020481310803891484
