Date,Open,High,Low,Close,Volume,Change
2022-01-03,3000,3185,3000,3025,2219,-0.022617124394184174
2022-01-04,3200,3200,2930,2930,2094,-0.031404958677686
2022-01-05,3060,3060,2880,2880,3481,-0.017064846416382284
2022-01-06,3040,3040,2950,2985,902,0.03645833333333326
2022-01-07,2995,3035,2980,2995,5376,0.003350083752093891
2022-01-10,2915,3075,2915,3000,1455,0.0016694490818029983
2022-01-11,2855,3080,2855,2995,134,-0.0016666666666667052
2022-01-12,3100,3100,2840,2960,2011,-0.011686143572620988
2022-01-13,3035,3035,2855,2975,1938,0.0050675675675675436
2022-01-14,3025,3025,2945,2945,507,-0.010084033613445342
2022-01-17,3080,3080,3080,3080,1,0.045840407470288724
2022-01-18,2900,3050,2805,2945,1917,-0.043831168831168776
2022-01-19,3090,3090,2790,2875,4789,-0.02376910016977929
2022-01-20,2850,2990,2810,2880,2035,0.0017391304347826875
2022-01-21,3000,3000,2630,2650,1097,-0.07986111111111116
2022-01-24,2800,2800,2775,2790,96,0.05283018867924527
2022-01-25,2770,2895,2680,2895,1812,0.037634408602150504
2022-01-26,2900,2995,2900,2955,25,0.020725388601036343
2022-01-27,3095,3095,3095,3095,1,0.04737732656514382
2022-01-28,3300,3300,2995,2995,101,-0.03231017770597733
2022-02-03,3295,3295,3295,3295,1,0.10016694490818034
2022-02-04,2915,3095,2805,2865,5033,-0.1305007587253414
2022-02-07,2900,3000,2610,2630,1105,-0.08202443280977312
2022-02-08,2800,2895,2795,2895,1807,0.10076045627376429
2022-02-09,2900,3000,2800,2950,423,0.01899827288428324
2022-02-10,2895,2895,2800,2870,443,-0.027118644067796627
2022-02-11,2900,3000,2900,3000,11,0.04529616724738683
2022-02-14,3100,3100,2650,2885,991,-0.03833333333333333
2022-02-15,2900,2990,2800,2940,1183,0.01906412478336228
2022-02-16,3000,3000,2515,2845,5753,-0.03231292517006801
2022-02-17,2900,2900,2700,2900,11120,0.019332161687170446
2022-02-18,2900,2995,2710,2890,362,-0.0034482758620689724
2022-02-21,2895,3000,2710,2890,664,0.0
2022-02-22,3240,3240,3240,3240,1,0.12110726643598624
2022-02-23,2895,2900,2765,2780,3193,-0.14197530864197527
2022-02-24,2750,2750,2630,2680,2135,-0.03597122302158273
2022-02-25,2800,2890,2400,2400,1921,-0.10447761194029848
2022-02-28,2600,2640,2490,2585,33256,0.07708333333333339
2022-03-02,2600,2960,2480,2800,5770,0.0831721470019342
2022-03-03,2895,2895,2600,2795,1009,-0.0017857142857142794
2022-03-04,2600,2900,2525,2900,736,0.0375670840787119
2022-03-07,2895,2895,2895,2895,3,-0.0017241379310344307
2022-03-08,2900,2900,2900,2900,1,0.0017271157167531026
2022-03-10,2900,2900,2700,2890,1915,-0.0034482758620689724
2022-03-11,2900,2900,2800,2875,52,-0.00519031141868509
2022-03-14,2900,2900,2700,2800,345,-0.02608695652173909
2022-03-15,2615,2615,2380,2380,13674,-0.15000000000000002
2022-03-16,2200,2350,2025,2025,103707,-0.14915966386554624
