Date,Open,High,Low,Close,Volume,Change
2022-01-03,6300,7000,6300,6990,13047,0.09218750000000009
2022-01-04,6990,7300,6990,7190,7501,0.028612303290414864
2022-01-05,7190,7200,6800,6930,4172,-0.03616133518776077
2022-01-06,7000,7000,6550,6790,10099,-0.02020202020202022
2022-01-07,6800,7000,6720,6900,2122,0.016200294550809957
2022-01-10,7000,7200,6610,7090,14231,0.02753623188405796
2022-01-11,6900,7200,6850,7190,6701,0.014104372355430161
2022-01-12,7070,7450,7070,7290,6310,0.013908205841446364
2022-01-13,7500,7500,7150,7200,8199,-0.012345679012345734
2022-01-14,7130,7330,7130,7130,5305,-0.009722222222222188
2022-01-17,7400,7500,7090,7220,12801,0.012622720897615736
2022-01-18,7400,7400,7010,7150,3627,-0.00969529085872578
2022-01-19,7230,7600,7150,7550,11582,0.05594405594405605
2022-01-20,7600,7800,7500,7800,18711,0.0331125827814569
2022-01-21,7850,7990,7550,7930,12603,0.016666666666666607
2022-01-24,7930,8600,7930,8550,21470,0.0781841109709962
2022-01-25,8560,8800,8390,8780,12825,0.026900584795321647
2022-01-26,8790,9690,8790,9690,50025,0.10364464692482911
2022-01-27,9700,10500,9700,10150,69310,0.047471620227038214
2022-01-28,10000,10500,9700,9700,25173,-0.044334975369458074
2022-02-03,9700,9800,8350,9100,24509,-0.061855670103092786
2022-02-04,8610,9090,8610,9050,8331,-0.005494505494505475
2022-02-07,9020,9020,8730,8900,6308,-0.016574585635359074
2022-02-08,9000,9000,8260,8490,14590,-0.046067415730337125
2022-02-09,8690,8790,8000,8690,22096,0.02355712603062421
2022-02-10,8790,8790,7810,8000,23444,-0.07940161104718069
2022-02-11,8020,8550,7980,8200,19170,0.02499999999999991
2022-02-14,8400,8490,8000,8140,7544,-0.007317073170731714
2022-02-15,8200,8200,7690,7890,6844,-0.03071253071253066
2022-02-16,7890,7990,7140,7290,25621,-0.07604562737642584
2022-02-17,7290,7690,7220,7220,7864,-0.009602194787380003
2022-02-18,7600,7600,7120,7380,12298,0.02216066481994461
2022-02-21,7600,7700,7400,7690,2401,0.042005420054200604
2022-02-22,7720,8000,7520,7890,5113,0.026007802340702213
2022-02-23,8000,8200,8000,8130,4322,0.03041825095057038
2022-02-24,8130,8390,7900,8000,17025,-0.01599015990159902
2022-02-25,8200,8400,7990,8170,4050,0.02124999999999999
2022-02-28,8180,8180,8140,8170,2069,0.0
2022-03-02,7900,8100,7890,8030,8354,-0.017135862913096656
2022-03-03,8100,8200,7800,7890,7059,-0.01743462017434616
2022-03-04,7890,7950,7770,7940,3948,0.006337135614702172
2022-03-07,7940,7950,7800,7900,2054,-0.005037783375314908
2022-03-08,8000,8100,7890,8100,1202,0.025316455696202445
2022-03-10,8100,8350,8000,8100,6285,0.0
2022-03-11,7800,8180,7800,8170,6491,0.00864197530864197
2022-03-14,8200,8300,8000,8150,9112,-0.002447980416156681
2022-03-15,8170,8200,7950,8180,5581,0.0036809815950920033
2022-03-16,8180,8300,8000,8290,14569,0.01344743276283622
2022-03-17,8290,8300,8050,8290,10125,0.0
2022-03-18,8290,8350,8100,8290,18735,0.0
2022-03-21,8400,8800,8150,8490,12477,0.024125452352231624
2022-03-22,8400,8600,8310,8500,6800,0.0011778563015312216
2022-03-23,8690,8750,8400,8600,8985,0.0117647058823529
2022-03-24,8600,8690,8250,8610,6832,0.0011627906976743319
2022-03-25,8400,8670,8400,8430,6143,-0.020905923344947785
2022-03-28,9690,9690,8800,8990,30760,0.06642941874258601
2022-03-29,9050,9200,8710,8960,21235,-0.0033370411568409697
2022-03-30,8090,8250,7620,7620,59010,-0.1495535714285714
2022-03-31,0,0,0,7620,0,0.0
2022-04-01,0,0,0,7620,0,0.0
2022-04-04,0,0,0,7620,0,0.0
2022-04-05,0,0,0,7620,0,0.0
2022-04-06,0,0,0,7620,0,0.0
2022-04-07,0,0,0,7620,0,0.0
2022-04-08,0,0,0,7620,0,0.0
2022-04-11,0,0,0,7620,0,0.0
2022-04-12,0,0,0,7620,0,0.0
2022-04-13,0,0,0,7620,0,0.0
2022-04-14,0,0,0,7620,0,0.0
2022-04-15,0,0,0,7620,0,0.0
2022-04-18,0,0,0,7620,0,0.0
2022-04-19,0,0,0,7620,0,0.0
2022-04-20,0,0,0,7620,0,0.0
2022-04-21,0,0,0,7620,0,0.0
2022-04-22,0,0,0,7620,0,0.0
2022-04-25,0,0,0,7620,0,0.0
2022-04-26,0,0,0,7620,0,0.0
2022-04-27,0,0,0,7620,0,0.0
2022-04-28,0,0,0,7620,0,0.0
2022-04-29,0,0,0,7620,0,0.0
2022-05-02,0,0,0,7620,0,0.0
2022-05-03,0,0,0,7620,0,0.0
2022-05-04,0,0,0,7620,0,0.0
2022-05-06,0,0,0,7620,0,0.0
2022-05-09,0,0,0,7620,0,0.0
2022-05-10,0,0,0,7620,0,0.0
2022-05-11,0,0,0,7620,0,0.0
2022-05-12,0,0,0,7620,0,0.0
2022-05-13,0,0,0,7620,0,0.0
2022-05-16,0,0,0,7620,0,0.0
2022-05-17,0,0,0,7620,0,0.0
2022-05-18,0,0,0,7620,0,0.0
2022-05-19,0,0,0,7620,0,0.0
