Date,Open,High,Low,Close,Volume,Change
2023-11-20,18890,20400,17800,19060,23858510,
2023-11-21,18150,18230,16140,16340,8617726,-0.142707240293809
2023-11-22,16460,16800,14860,14920,3386701,-0.08690330477356178
2023-11-23,14770,19300,14180,17980,25443109,0.20509383378016088
2023-11-24,17010,19620,15400,16730,19795923,-0.06952169076751946
2023-11-27,16850,17940,15950,15950,6319831,-0.04662283323371186
2023-11-28,15570,16330,14630,14830,1589570,-0.0702194357366771
2023-11-29,14960,15600,13900,13900,1827120,-0.06271072151045176
2023-11-30,13520,14060,13480,13660,824868,-0.01726618705035976
2023-12-01,13580,13790,12480,12510,822647,-0.08418740849194728
2023-12-04,12380,12510,11890,11930,467758,-0.0463629096722622
2023-12-05,11840,12210,10960,10990,549900,-0.07879295892707461
2023-12-06,11040,11250,10790,11030,388800,0.0036396724294813776
2023-12-07,11030,11740,11030,11250,571768,0.01994560290117864
2023-12-08,11250,11250,10970,11020,215319,-0.020444444444444487
2023-12-11,11110,11180,10850,10850,185438,-0.015426497277676976
2023-12-12,10800,10850,10400,10430,235917,-0.03870967741935483
2023-12-13,10430,10480,9950,9990,265685,-0.04218600191754551
2023-12-14,10070,10110,9340,9410,375647,-0.05805805805805808
2023-12-15,9410,9470,9150,9310,200441,-0.01062699256110522
2023-12-18,9370,9750,9300,9570,164967,0.027926960257787403
2023-12-19,9710,9890,9480,9550,166921,-0.002089864158829724
2023-12-20,9600,9990,9500,9910,180507,0.03769633507853398
