Date,Open,High,Low,Close,Volume,Change
2022-01-03,1915,1980,1865,1865,79716,-0.013227513227513255
2022-01-04,1885,1925,1840,1925,69250,0.03217158176943702
2022-01-05,1925,1980,1900,1980,153061,0.02857142857142847
2022-01-06,1915,1980,1900,1920,85990,-0.030303030303030276
2022-01-07,1920,1970,1915,1930,67732,0.005208333333333259
2022-01-10,1950,1980,1910,1935,111513,0.002590673575129543
2022-01-11,1930,1945,1870,1930,61686,-0.0025839793281653423
2022-01-12,1885,1925,1885,1920,65723,-0.005181347150259086
2022-01-13,1920,1950,1880,1885,56905,-0.01822916666666663
2022-01-14,1885,1945,1825,1935,119835,0.02652519893899208
2022-01-17,1905,1915,1845,1870,79909,-0.03359173126614989
2022-01-18,1860,1870,1780,1830,109145,-0.021390374331550777
2022-01-19,1825,1855,1780,1800,95752,-0.016393442622950838
2022-01-20,1800,1890,1795,1890,110735,0.050000000000000044
2022-01-21,1890,1900,1840,1865,55119,-0.013227513227513255
2022-01-24,1825,1840,1765,1780,67351,-0.04557640750670244
2022-01-25,1770,1775,1705,1705,85618,-0.042134831460674205
2022-01-26,1700,1785,1700,1755,41932,0.029325513196480912
2022-01-27,1735,1850,1665,1665,152736,-0.05128205128205132
2022-01-28,1665,1750,1635,1735,66925,0.04204204204204198
2022-02-03,1760,1830,1735,1750,65444,0.008645533141210304
2022-02-04,1755,1815,1745,1805,80087,0.03142857142857136
2022-02-07,1825,1840,1755,1760,76150,-0.024930747922437657
2022-02-08,1760,1800,1745,1755,118543,-0.0028409090909090606
2022-02-09,1760,1845,1760,1820,20499,0.03703703703703698
2022-02-10,1820,1845,1800,1800,32903,-0.01098901098901095
2022-02-11,1780,1800,1750,1780,62207,-0.011111111111111072
2022-02-14,1755,1755,1665,1670,102471,-0.061797752808988804
2022-02-15,1660,1690,1635,1635,100114,-0.020958083832335328
2022-02-16,1655,1750,1650,1715,47250,0.04892966360856277
2022-02-17,1750,1760,1660,1720,85685,0.00291545189504383
2022-02-18,1720,1760,1680,1730,22849,0.005813953488372103
2022-02-21,1750,1750,1680,1750,14213,0.011560693641618602
2022-02-22,1730,1750,1690,1690,44640,-0.03428571428571425
2022-02-23,1855,1945,1755,1770,806756,0.047337278106508895
2022-02-24,1780,1790,1710,1720,144204,-0.02824858757062143
2022-02-25,1740,1830,1730,1790,125253,0.04069767441860472
2022-02-28,1795,1805,1770,1805,56231,0.008379888268156499
2022-03-02,1805,1845,1785,1840,74173,0.01939058171745156
2022-03-03,1860,1860,1750,1830,88711,-0.005434782608695676
2022-03-04,1830,1840,1795,1825,79624,-0.002732240437158473
2022-03-07,1820,1845,1790,1820,41953,-0.002739726027397249
2022-03-08,1785,1805,1775,1805,23876,-0.008241758241758212
2022-03-10,1795,1835,1775,1795,37199,-0.005540166204986097
2022-03-11,1800,1825,1785,1805,49546,0.0055710306406684396
2022-03-14,1805,1835,1720,1820,84837,0.008310249307479145
2022-03-15,1780,1820,1780,1805,54001,-0.008241758241758212
2022-03-16,1805,1830,1785,1810,38571,0.0027700831024930483
2022-03-17,1830,1860,1805,1835,61363,0.013812154696132506
2022-03-18,1830,1855,1790,1835,57165,0.0
2022-03-21,1835,1835,1805,1825,27864,-0.00544959128065392
2022-03-22,1805,1840,1805,1820,40718,-0.002739726027397249
2022-03-23,1820,1915,1820,1890,208073,0.03846153846153855
2022-03-24,1900,1905,1845,1875,49309,-0.007936507936507908
2022-03-25,1875,1910,1865,1880,49500,0.002666666666666595
2022-03-28,1880,1890,1855,1885,35109,0.0026595744680850686
2022-03-29,1850,1885,1850,1885,63183,0.0
2022-03-30,1885,1905,1850,1890,29585,0.0026525198938991412
2022-03-31,1890,1940,1885,1930,107513,0.021164021164021163
2022-04-01,1925,1960,1900,1925,74782,-0.002590673575129543
2022-04-04,1895,1955,1880,1935,91383,0.0051948051948051965
2022-04-05,1925,1970,1915,1940,52223,0.0025839793281654533
2022-04-06,1935,1940,1895,1940,80791,0.0
2022-04-07,1920,1925,1840,1910,75015,-0.015463917525773141
2022-04-08,1890,1895,1855,1870,66678,-0.020942408376963373
2022-04-11,1860,1870,1830,1830,78460,-0.021390374331550777
2022-04-12,1810,1845,1805,1845,64635,0.008196721311475308
2022-04-13,1845,1905,1835,1895,119408,0.027100271002709952
2022-04-14,1895,2080,1870,1915,1393654,0.01055408970976246
2022-04-15,1915,1995,1900,1995,300549,0.04177545691906004
2022-04-18,2010,2015,1980,1985,161103,-0.005012531328320802
2022-04-19,1975,2110,1975,2055,539873,0.035264483627204024
2022-04-20,2065,2080,2025,2045,119073,-0.0048661800486617945
2022-04-21,2065,2090,2025,2070,146549,0.012224938875305513
2022-04-22,2035,2145,2025,2125,225516,0.02657004830917864
2022-04-25,2065,2150,2040,2060,353668,-0.030588235294117694
2022-04-26,2060,2140,2040,2125,139026,0.031553398058252524
