Date,Open,High,Low,Close,Volume,Change
2022-01-03,14700,14700,14500,14500,246,-0.006849315068493178
2022-01-04,14500,14800,14400,14800,316,0.020689655172413834
2022-01-05,14800,14850,14600,14750,611,-0.0033783783783783994
2022-01-06,15000,15000,14700,14700,197,-0.003389830508474523
2022-01-07,14900,14900,14600,14700,166,0.0
2022-01-10,14800,14800,14400,14600,216,-0.006802721088435382
2022-01-11,14900,14900,14300,14700,314,0.006849315068493178
2022-01-12,14950,14950,14550,14600,114,-0.006802721088435382
2022-01-13,14400,14600,14400,14600,749,0.0
2022-01-14,14350,14650,14350,14600,347,0.0
2022-01-17,14600,14700,14600,14600,261,0.0
2022-01-18,14850,14850,14200,14450,501,-0.010273972602739767
2022-01-19,14700,14700,14450,14450,49,0.0
2022-01-20,14450,14450,14200,14450,307,0.0
2022-01-21,14900,14900,14550,14800,3584,0.02422145328719716
2022-01-24,14800,14800,14450,14650,177,-0.010135135135135087
2022-01-25,14900,14900,14100,14150,1136,-0.03412969283276446
2022-01-26,14700,14700,13800,13850,2001,-0.021201413427561877
2022-01-27,13850,14450,13500,14150,1439,0.02166064981949467
2022-01-28,14700,14700,14050,14300,183,0.010600706713780994
2022-02-03,14250,14650,14250,14300,461,0.0
2022-02-04,14500,14500,14200,14300,203,0.0
2022-02-07,14250,14250,13850,14250,2145,-0.0034965034965035446
2022-02-08,13900,14000,13750,13950,2003,-0.021052631578947323
2022-02-09,13700,13850,13600,13700,2341,-0.017921146953404965
2022-02-10,13700,13850,13700,13750,183,0.0036496350364962904
2022-02-11,13800,14200,13550,14150,813,0.029090909090909056
2022-02-14,14250,14250,13700,14050,313,-0.007067137809187329
2022-02-15,14000,14100,13650,13900,536,-0.010676156583629859
2022-02-16,13950,14000,13700,13850,1520,-0.003597122302158251
2022-02-17,14000,14000,13550,13550,2285,-0.02166064981949456
2022-02-18,13650,13700,13550,13700,259,0.011070110701107083
2022-02-21,13700,13950,13700,13900,393,0.014598540145985384
2022-02-22,14150,14150,13700,13700,119,-0.014388489208633115
2022-02-23,14200,14200,13950,13950,62,0.018248175182481674
2022-02-24,14100,14100,13800,13900,8,-0.0035842293906810374
2022-02-25,14100,14100,14100,14100,135,0.014388489208633004
2022-02-28,14300,14300,13950,14250,660,0.010638297872340496
2022-03-02,14200,14250,14000,14250,220,0.0
2022-03-03,14350,14350,14200,14350,587,0.007017543859649145
2022-03-04,14850,14900,14400,14550,1601,0.013937282229965264
2022-03-07,14600,14600,14400,14400,823,-0.010309278350515427
2022-03-08,14550,14950,14100,14550,732,0.01041666666666674
2022-03-10,14700,14700,14250,14450,146,-0.0068728522336769515
2022-03-11,14600,14600,14350,14450,89,0.0
2022-03-14,14400,14450,14350,14450,186,0.0
2022-03-15,14850,14850,14450,14550,16,0.006920415224913601
2022-03-16,14700,14700,14150,14550,483,0.0
2022-03-17,14600,14600,14300,14500,265,-0.0034364261168384758
2022-03-18,14500,14600,14450,14500,381,0.0
2022-03-21,14500,14650,14450,14650,311,0.010344827586206806
2022-03-22,14650,14650,14400,14600,524,-0.0034129692832765013
2022-03-23,14900,15000,14600,14900,6156,0.020547945205479534
2022-03-24,14700,14750,14550,14600,455,-0.020134228187919434
2022-03-25,14750,14750,14500,14700,214,0.006849315068493178
2022-03-28,14500,14700,14500,14600,626,-0.006802721088435382
2022-03-29,14550,14700,14550,14700,816,0.006849315068493178
2022-03-30,14700,14850,14650,14750,182,0.00340136054421758
2022-03-31,14750,14750,14600,14700,734,-0.003389830508474523
2022-04-01,14800,14800,14700,14700,959,0.0
2022-04-04,14800,14800,14700,14800,296,0.006802721088435382
2022-04-05,14900,14900,14650,14700,259,-0.006756756756756799
2022-04-06,14700,15200,14700,14850,445,0.010204081632652962
2022-04-07,14750,15000,14700,14800,917,-0.0033670033670033517
2022-04-08,14800,14850,14700,14700,611,-0.006756756756756799
2022-04-11,14950,14950,14650,14850,157,0.010204081632652962
2022-04-12,15200,15200,14750,14750,406,-0.006734006734006703
2022-04-13,15100,15100,14750,14850,1601,0.006779661016949046
2022-04-14,14900,14950,14850,14900,368,0.0033670033670034627
2022-04-15,14900,14900,14700,14900,631,0.0
2022-04-18,14900,14900,14750,14750,974,-0.010067114093959773
2022-04-19,14750,14900,14750,14850,356,0.006779661016949046
2022-04-20,14900,14900,14750,14850,1213,0.0
2022-04-21,14900,15000,14850,14950,3770,0.006734006734006703
2022-04-22,15100,15100,14900,15100,3367,0.010033444816053505
2022-04-25,15050,15200,14900,15100,1621,0.0
2022-04-26,15000,15000,14750,15000,1054,-0.0066225165562914245
2022-04-27,14700,14900,14700,14900,553,-0.00666666666666671
2022-04-28,14900,14900,14650,14900,829,0.0
2022-04-29,15000,15000,14700,14800,930,-0.006711409395973145
2022-05-02,14800,14900,14600,14900,518,0.006756756756756799
2022-05-03,14850,15000,14800,15000,1089,0.006711409395973256
2022-05-04,14950,15000,14800,14900,184,-0.00666666666666671
2022-05-06,14850,14950,14700,14700,478,-0.01342281879194629
2022-05-09,14700,14800,14400,14500,508,-0.013605442176870763
2022-05-10,14800,14800,14500,14500,656,0.0
2022-05-11,14350,14600,14350,14600,205,0.006896551724137945
2022-05-12,14500,14950,14500,14550,191,-0.003424657534246589
2022-05-13,14650,14950,14500,14850,139,0.020618556701030855
2022-05-16,14850,14850,14500,14650,949,-0.013468013468013518
2022-05-17,14900,14900,14600,14700,107,0.0034129692832765013
2022-05-18,14750,14750,14450,14650,264,-0.003401360544217691
2022-05-19,14950,14950,14400,14500,223,-0.010238907849829393
2022-05-20,14400,14700,14400,14600,115,0.006896551724137945
2022-05-23,14500,14700,14350,14700,737,0.006849315068493178
2022-05-24,14600,14600,14000,14200,568,-0.03401360544217691
2022-05-25,14200,14200,13650,13700,3059,-0.035211267605633756
2022-05-26,13800,13800,13550,13700,629,0.0
2022-05-27,14000,14000,13700,13900,89,0.014598540145985384
2022-05-30,14200,14800,14200,14750,4005,0.06115107913669071
2022-05-31,14600,14750,14600,14750,1065,0.0
2022-06-02,14850,14850,14750,14750,466,0.0
2022-06-03,14750,14750,14600,14700,259,-0.003389830508474523
2022-06-07,14650,14650,14200,14200,1099,-0.03401360544217691
2022-06-08,14250,14450,13500,13500,3069,-0.04929577464788737
2022-06-09,13750,13750,13450,13700,1611,0.014814814814814836
2022-06-10,13450,14300,13450,14200,1132,0.03649635036496357
2022-06-13,14100,14100,13500,13550,1620,-0.045774647887323994
2022-06-14,13000,13550,12850,13400,660,-0.011070110701106972
2022-06-15,13100,13450,13050,13450,440,0.003731343283582156
2022-06-16,14150,14150,13300,13300,179,-0.01115241635687736
2022-06-17,13400,13650,13350,13600,87,0.022556390977443552
2022-06-20,13500,13750,12350,13600,388,0.0
2022-06-21,12950,13150,12950,13150,211,-0.03308823529411764
2022-06-22,13100,13250,12950,13050,163,-0.0076045627376425395
2022-06-23,12450,13100,12450,12900,67,-0.011494252873563204
2022-06-24,12250,12950,12250,12950,669,0.003875968992248069
2022-06-27,13300,13300,12800,13100,279,0.01158301158301156
2022-06-28,13000,13100,12800,13100,136,0.0
2022-06-29,12650,13100,12650,13100,156,0.0
2022-06-30,12850,13000,12850,12850,67,-0.01908396946564883
2022-07-01,12700,12850,12650,12850,271,0.0
2022-07-04,12850,13000,12850,13000,564,0.011673151750972721
2022-07-05,13300,13300,13000,13100,283,0.007692307692307665
2022-07-06,13000,13150,12900,13150,202,0.003816793893129722
2022-07-07,13150,13200,13000,13200,89,0.0038022813688212143
2022-07-08,13400,13400,13000,13200,453,0.0
2022-07-11,13200,13200,13000,13200,819,0.0
2022-07-12,13200,13200,13000,13050,172,-0.011363636363636354
2022-07-13,13100,13100,13000,13100,187,0.003831417624521105
2022-07-14,13100,13100,12950,13050,265,-0.003816793893129722
2022-07-15,13100,13100,12700,13100,458,0.003831417624521105
2022-07-18,13000,13200,12900,13000,224,-0.007633587786259555
2022-07-19,13100,13100,12900,13000,41,0.0
2022-07-20,13050,13050,12850,12950,175,-0.0038461538461538325
2022-07-21,12950,12950,12700,12800,556,-0.01158301158301156
2022-07-22,12950,13000,12750,13000,47,0.015625
2022-07-25,12950,13000,12900,12950,52,-0.0038461538461538325
2022-07-26,12900,13000,12750,13000,173,0.0038610038610038533
2022-07-27,13000,13000,12900,13000,69,0.0
2022-07-28,13050,13050,12850,12900,330,-0.007692307692307665
2022-07-29,13500,13500,13300,13350,2246,0.03488372093023262
2022-08-01,13350,13350,12800,13050,1134,-0.022471910112359605
2022-08-02,13050,13050,13000,13000,27,-0.003831417624521105
2022-08-03,12900,13150,12800,13150,352,0.011538461538461497
2022-08-04,14500,14500,13250,13300,5515,0.011406844106463865
2022-08-05,13150,13150,12950,13000,3973,-0.022556390977443663
2022-08-08,13100,13200,13000,13200,266,0.01538461538461533
