Date,Open,High,Low,Close,Volume,Change
2022-01-03,8680,8850,8550,8570,538152,-0.0034883720930232176
2022-01-04,8600,8640,8090,8160,723863,-0.04784130688448074
2022-01-05,8150,8150,7840,7840,434807,-0.039215686274509776
2022-01-06,7630,7830,7220,7300,807570,-0.06887755102040816
2022-01-07,7310,7710,7310,7600,446956,0.041095890410958846
2022-01-10,7500,7820,7360,7770,549297,0.022368421052631593
2022-01-11,7780,7820,7200,7440,495605,-0.0424710424710425
2022-01-12,7680,7700,7420,7610,384885,0.02284946236559149
2022-01-13,7650,8410,7370,8050,2648632,0.05781865965834432
2022-01-14,7850,8060,7690,7690,478047,-0.044720496894409933
2022-01-17,7670,8070,7610,7900,419525,0.027308192457737412
2022-01-18,7900,8230,7730,7770,605845,-0.016455696202531622
2022-01-19,7770,7900,7580,7690,305456,-0.01029601029601035
2022-01-20,7650,7880,7550,7770,262695,0.01040312093628093
2022-01-21,7670,7920,7650,7750,274571,-0.002574002574002532
2022-01-24,7710,7740,7400,7530,281570,-0.0283870967741936
2022-01-25,7580,7580,7060,7060,413591,-0.062416998671978696
2022-01-26,7050,7360,7050,7150,312962,0.012747875354107707
2022-01-27,7070,7550,7070,7240,423897,0.012587412587412583
2022-01-28,7240,7360,6580,7000,689043,-0.03314917127071826
2022-02-03,7120,7650,7040,7320,432781,0.04571428571428582
2022-02-04,7310,7960,7270,7860,692220,0.07377049180327866
2022-02-07,7880,8140,7810,8010,569904,0.01908396946564883
2022-02-08,7910,8310,7910,8050,651060,0.004993757802746579
2022-02-09,8170,8170,7850,7940,361029,-0.013664596273291973
2022-02-10,7480,7570,6690,6950,1280071,-0.12468513853904284
2022-02-11,6800,7040,6730,6820,403249,-0.018705035971222972
2022-02-14,6540,6710,6040,6040,788214,-0.11436950146627567
2022-02-15,6060,6220,5900,5980,343287,-0.009933774834437137
2022-02-16,6150,7000,6110,6520,1142908,0.09030100334448155
2022-02-17,6520,6690,6200,6360,558284,-0.024539877300613466
2022-02-18,6190,6510,6150,6450,195511,0.014150943396226356
2022-02-21,6360,6520,6250,6410,203237,-0.006201550387596955
2022-02-22,6210,6330,5760,5760,680349,-0.10140405616224646
2022-02-23,5860,6350,5850,6210,568342,0.078125
2022-02-24,6050,6200,5860,5930,288424,-0.04508856682769724
2022-02-25,6180,6290,6040,6180,280739,0.042158516020236014
2022-02-28,6090,6610,6090,6500,392837,0.05177993527508096
2022-03-02,6430,6800,6430,6760,392251,0.040000000000000036
2022-03-03,6840,6840,6620,6650,316736,-0.016272189349112454
2022-03-04,6310,6840,6310,6680,497423,0.004511278195488799
2022-03-07,6550,6830,6270,6450,663768,-0.034431137724550864
2022-03-08,6340,6610,6090,6110,480421,-0.05271317829457367
2022-03-10,6260,6480,6180,6200,326195,0.014729950900163713
2022-03-11,6220,6400,6220,6390,181628,0.030645161290322687
2022-03-14,6360,6360,4480,4910,10021183,-0.23161189358372458
2022-03-15,4850,5290,4645,4735,4625682,-0.035641547861507084
2022-03-16,4735,4835,4575,4755,1618131,0.004223864836325308
2022-03-17,4830,4960,4830,4895,1231529,0.029442691903259766
2022-03-18,4950,4950,4785,4895,732442,0.0
2022-03-21,4920,5150,4885,5070,1099219,0.035750766087844665
2022-03-22,5020,5100,4965,5040,486651,-0.00591715976331364
2022-03-23,5110,5140,5000,5070,601092,0.005952380952380931
2022-03-24,5050,5700,4980,5360,3425677,0.05719921104536496
2022-03-25,5410,5510,5320,5370,600591,0.001865671641791078
2022-03-28,5370,5370,5050,5160,648239,-0.03910614525139666
2022-03-29,5170,6700,5060,6700,9058484,0.29844961240310086
2022-03-30,6670,8130,6630,7630,15976485,0.13880597014925367
2022-03-31,7800,8460,7600,8030,10051352,0.05242463958060295
2022-04-01,8220,8370,6700,7110,10042770,-0.11457036114570363
2022-04-04,9190,9240,8520,9240,6114093,0.29957805907172985
2022-04-05,10000,10650,9000,9610,10017033,0.0400432900432901
2022-04-06,9360,12450,9200,12100,20414313,0.25910509885535893
2022-04-07,11200,11800,8500,8760,10218328,-0.27603305785123966
2022-04-08,9560,10800,9200,10500,14437829,0.19863013698630128
2022-04-11,9560,9640,7940,8760,12908705,-0.1657142857142857
2022-04-12,8570,8900,7880,8370,6853306,-0.044520547945205435
2022-04-13,8200,8370,7210,7850,5615757,-0.06212664277180402
2022-04-14,7810,8180,7700,7930,2631607,0.010191082802547768
2022-04-15,7980,8300,7820,7990,2214365,0.007566204287515754
2022-04-18,7900,7990,7290,7430,1990791,-0.07008760951188986
2022-04-19,7510,7980,7080,7930,3117790,0.06729475100942128
2022-04-20,7900,8330,7740,8070,3584358,0.017654476670870167
2022-04-21,8370,9890,8340,9030,18775828,0.11895910780669139
2022-04-22,9100,9440,8420,8680,5771694,-0.03875968992248058
2022-04-25,8250,8270,7530,7550,3433320,-0.130184331797235
2022-04-26,7560,7700,7250,7320,2389191,-0.030463576158940353
2022-04-27,7010,7090,6750,6950,2167574,-0.050546448087431695
2022-04-28,6980,7010,6560,6600,1481613,-0.05035971223021585
2022-04-29,6700,6720,6480,6590,1260803,-0.0015151515151514694
2022-05-02,6380,6760,6330,6600,1214978,0.0015174506828528056
2022-05-03,6600,6640,6370,6380,906936,-0.033333333333333326
2022-05-04,6400,7330,6390,6770,5394230,0.061128526645767955
2022-05-06,6610,6680,6400,6450,750849,-0.04726735598227472
2022-05-09,6420,6560,6260,6300,564377,-0.023255813953488413
2022-05-10,6110,6250,5850,6210,952830,-0.014285714285714235
2022-05-11,6150,6580,6140,6230,959155,0.0032206119162641045
2022-05-12,6070,6110,5740,5740,1068872,-0.0786516853932584
2022-05-13,5800,5900,5680,5720,700559,-0.0034843205574912606
2022-05-16,5740,5960,5670,5750,602357,0.005244755244755206
2022-05-17,5780,5810,5490,5720,635300,-0.00521739130434784
2022-05-18,5730,5850,5490,5700,689003,-0.0034965034965035446
2022-05-19,5500,5550,5260,5270,1293855,-0.07543859649122808
2022-05-20,5350,5530,5200,5460,897773,0.036053130929791344
2022-05-23,5510,5820,5330,5510,1348667,0.009157509157509125
2022-05-24,5480,5740,5340,5380,1087904,-0.023593466424682408
2022-05-25,5440,5630,5340,5580,704548,0.037174721189590976
2022-05-26,5610,6360,5530,5840,6840586,0.04659498207885315
2022-05-27,5870,6010,5740,5740,953378,-0.017123287671232834
2022-05-30,5740,5930,5710,5770,605775,0.005226480836237002
2022-05-31,5800,5800,5580,5700,531204,-0.012131715771230511
2022-06-02,5650,5660,5540,5560,477741,-0.024561403508771895
2022-06-03,5610,5720,5490,5500,460383,-0.010791366906474864
2022-06-07,5540,5620,5460,5510,331191,0.0018181818181817189
2022-06-08,5530,5730,5450,5480,572106,-0.005444646098003658
2022-06-09,5500,5580,5380,5440,470597,-0.007299270072992692
2022-06-10,5360,5670,5230,5460,559075,0.003676470588235281
2022-06-13,5210,5300,5030,5060,575988,-0.07326007326007322
2022-06-14,4795,5040,4795,4990,567836,-0.013833992094861691
2022-06-15,5000,5050,4735,4765,509848,-0.04509018036072143
2022-06-16,4810,5030,4810,4850,358050,0.01783840503672618
2022-06-17,4635,4945,4630,4925,348381,0.015463917525773141
