Date,Open,High,Low,Close,Volume,Change
2022-01-03,60100,60800,60100,60500,637,0.006655574043261225
2022-01-04,60400,61000,60400,60900,571,0.006611570247933907
2022-01-05,60900,62100,60900,61000,1051,0.0016420361247948545
2022-01-06,61100,61800,61000,61000,786,0.0
2022-01-07,61000,61700,61000,61400,542,0.006557377049180246
2022-01-10,61500,61500,60000,61100,1249,-0.004885993485342022
2022-01-11,61400,61400,61200,61400,483,0.004909983633387904
2022-01-12,61700,62700,61300,61300,1318,-0.0016286644951140072
2022-01-13,61300,61600,61300,61500,391,0.0032626427406199365
2022-01-14,61500,61500,61100,61300,533,-0.003252032520325243
2022-01-17,61400,61500,61000,61200,644,-0.0016313213703099683
2022-01-18,61300,61500,61000,61200,566,0.0
2022-01-19,61200,61400,60800,61300,1121,0.0016339869281045694
2022-01-20,61400,61500,61200,61400,268,0.0016313213703098572
2022-01-21,61400,61400,60400,60700,3833,-0.01140065146579805
2022-01-24,60600,60700,60400,60500,905,-0.0032948929159802853
2022-01-25,60700,60700,60000,60100,2995,-0.006611570247933907
2022-01-26,60100,60700,60100,60300,400,0.0033277870216306127
2022-01-27,60700,60700,60100,60100,771,-0.0033167495854062867
2022-01-28,60000,60500,60000,60500,1230,0.006655574043261225
2022-02-03,60600,61100,60500,60800,591,0.0049586776859504855
2022-02-04,60800,60800,60300,60800,2015,0.0
2022-02-07,60800,61000,60700,60700,354,-0.00164473684210531
2022-02-08,60800,60900,60700,60900,376,0.0032948929159801743
2022-02-09,60900,61500,60900,61200,316,0.0049261083743843415
2022-02-10,61200,61500,61200,61500,573,0.004901960784313708
2022-02-11,61300,62200,61300,62200,1322,0.011382113821138296
2022-02-14,62100,62200,60900,61000,1736,-0.019292604501607746
2022-02-15,61100,62200,61000,62200,2124,0.01967213114754096
2022-02-16,62300,63200,61300,63000,3456,0.012861736334405238
2022-02-17,63300,63300,62600,63000,1041,0.0
2022-02-18,62900,63100,62800,63000,197,0.0
2022-02-21,62400,63300,62400,63300,501,0.004761904761904745
2022-02-22,63200,63200,62900,63000,927,-0.004739336492891044
2022-02-23,63000,63400,62800,63300,227,0.004761904761904745
2022-02-24,63200,63400,62800,63400,1019,0.0015797788309637184
2022-02-25,63200,63600,62600,63200,1818,-0.003154574132492094
2022-02-28,62700,63600,59400,63500,936,0.004746835443038
2022-03-02,63500,63700,63000,63500,450,0.0
2022-03-03,63500,63700,62800,63500,647,0.0
2022-03-04,63600,63600,62800,63000,726,-0.007874015748031482
2022-03-07,63000,63100,62700,62900,1811,-0.0015873015873015817
2022-03-08,62300,63100,62300,62900,409,0.0
2022-03-10,63500,63500,62900,63000,325,0.0015898251192367763
2022-03-11,62500,63100,62500,62900,513,-0.0015873015873015817
2022-03-14,62900,63300,62600,62700,759,-0.0031796502384737746
2022-03-15,62700,63000,62600,62800,541,0.0015948963317384823
2022-03-16,62800,62900,62700,62800,1161,0.0
2022-03-17,63000,63100,62800,63000,1180,0.0031847133757962887
2022-03-18,63100,63200,62600,63100,1266,0.0015873015873015817
2022-03-21,63200,63300,62700,63100,949,0.0
2022-03-22,63200,63200,62900,62900,769,-0.0031695721077654726
2022-03-23,62900,63200,62800,63000,2265,0.0015898251192367763
2022-03-24,62700,63200,62700,62900,266,-0.0015873015873015817
2022-03-25,62700,63100,62700,63000,954,0.0015898251192367763
2022-03-28,63000,63100,62800,63100,3335,0.0015873015873015817
2022-03-29,63100,63300,63100,63300,3565,0.0031695721077653616
2022-03-30,60000,60300,60000,60200,5796,-0.048973143759873605
2022-03-31,60200,60300,59200,59800,2254,-0.006644518272425293
2022-04-01,59000,59900,59000,59800,1079,0.0
2022-04-04,59800,60200,59500,59900,567,0.0016722408026756952
2022-04-05,59900,60000,59100,59700,519,-0.0033388981636059967
2022-04-06,59700,59800,59500,59700,717,0.0
2022-04-07,59800,59800,59300,59400,488,-0.005025125628140725
2022-04-08,59400,59400,58500,59000,903,-0.006734006734006703
2022-04-11,59800,59800,58800,58900,792,-0.0016949152542372614
2022-04-12,58900,58900,58400,58500,773,-0.006791171477079749
2022-04-13,58500,58600,58100,58400,1527,-0.0017094017094017033
2022-04-14,59300,59300,58200,58400,331,0.0
2022-04-15,58400,58400,58000,58200,782,-0.003424657534246589
2022-04-18,58300,58300,57800,58100,431,-0.0017182130584192379
2022-04-19,58100,59400,57100,57900,3209,-0.0034423407917383297
2022-04-20,58000,58000,57800,57900,257,0.0
2022-04-21,58000,58100,57800,57900,323,0.0
2022-04-22,57700,57900,57500,57800,673,-0.0017271157167529916
2022-04-25,57700,57900,57400,57500,467,-0.00519031141868509
2022-04-26,57600,57700,57400,57600,238,0.0017391304347826875
2022-04-27,57500,57500,56500,57000,1061,-0.01041666666666663
2022-04-28,57300,57800,57000,57100,143,0.0017543859649122862
2022-04-29,57100,57400,57000,57400,433,0.005253940455341555
2022-05-02,57400,57700,57300,57700,102,0.005226480836237002
2022-05-03,57300,57700,57300,57500,138,-0.0034662045060658286
2022-05-04,57500,57500,57000,57400,250,-0.0017391304347825765
2022-05-06,57300,57500,57000,57300,203,-0.0017421602787456303
2022-05-09,57300,57300,56800,57100,318,-0.003490401396160525
2022-05-10,57000,57000,55900,56600,1728,-0.008756567425569184
2022-05-11,56900,57900,56700,57300,1896,0.012367491166077826
2022-05-12,57300,57300,56800,56900,2696,-0.006980802792321161
2022-05-13,56900,57100,56800,57000,5096,0.0017574692442883233
2022-05-16,56900,57300,56800,57300,1828,0.0052631578947368585
2022-05-17,57400,57500,57100,57400,193,0.0017452006980802626
2022-05-18,57400,57500,57100,57500,368,0.0017421602787457413
2022-05-19,57400,57400,57000,57300,38,-0.003478260869565264
2022-05-20,57300,57600,57300,57400,341,0.0017452006980802626
2022-05-23,57400,57500,57300,57400,196,0.0
2022-05-24,57400,57500,57100,57400,652,0.0
2022-05-25,57400,57400,57200,57300,1506,-0.0017421602787456303
2022-05-26,57100,57400,57100,57200,1357,-0.0017452006980802626
2022-05-27,57300,57400,57300,57400,184,0.0034965034965035446
2022-05-30,57400,57700,57100,57700,516,0.005226480836237002
2022-05-31,57700,57700,57400,57600,570,-0.0017331022530329143
2022-06-02,57700,57700,57300,57500,1647,-0.0017361111111111605
2022-06-03,57700,58100,57700,58000,3155,0.008695652173912993
2022-06-07,57800,57900,57300,57400,704,-0.010344827586206917
2022-06-08,57400,58000,57400,58000,622,0.010452961672473782
2022-06-09,58000,58500,57600,58500,2135,0.008620689655172376
2022-06-10,58200,58500,57700,58500,411,0.0
2022-06-13,58300,64100,57400,57400,23261,-0.018803418803418848
2022-06-14,57100,58300,57000,57800,443,0.006968641114982521
2022-06-15,57300,57500,57300,57300,814,-0.00865051903114189
2022-06-16,57000,57500,57000,57300,115,0.0
2022-06-17,57300,57300,55700,56600,945,-0.012216404886561949
2022-06-20,56600,57000,54800,57000,1210,0.007067137809187329
2022-06-21,57000,57000,54900,57000,165,0.0
2022-06-22,56700,56800,56500,56800,1561,-0.0035087719298245723
2022-06-23,56600,57300,55600,55600,589,-0.021126760563380254
2022-06-24,56100,57200,55800,57200,574,0.02877697841726623
2022-06-27,57200,57200,56900,57200,64,0.0
2022-06-28,57100,57300,56700,57300,114,0.0017482517482516613
2022-06-29,57100,57100,56400,56500,158,-0.013961605584642212
2022-06-30,56500,56900,56300,56800,41,0.005309734513274433
2022-07-01,56800,57000,56500,56800,914,0.0
2022-07-04,56000,56000,55600,55600,246,-0.021126760563380254
2022-07-05,55600,56700,55600,56700,62,0.019784172661870603
2022-07-06,56900,56900,56200,56200,300,-0.00881834215167554
2022-07-07,55600,56500,55600,55800,473,-0.007117437722419906
2022-07-08,55800,57000,55800,57000,242,0.021505376344086002
2022-07-11,57000,57000,56500,57000,386,0.0
2022-07-12,56900,57000,56600,57000,293,0.0
2022-07-13,56800,57100,56500,57000,756,0.0
2022-07-14,57000,57200,56900,57100,559,0.0017543859649122862
2022-07-15,56800,57200,56800,57100,836,0.0
2022-07-18,57100,57300,57100,57300,1095,0.003502626970227629
2022-07-19,57300,57400,56700,57400,5067,0.0017452006980802626
2022-07-20,57300,57300,57200,57200,63,-0.0034843205574912606
2022-07-21,56900,57300,56900,57300,281,0.0017482517482516613
2022-07-22,57500,57500,57200,57200,1742,-0.0017452006980802626
2022-07-25,57300,57400,56900,57300,84,0.0017482517482516613
2022-07-26,57300,57300,57000,57100,154,-0.003490401396160525
2022-07-27,57400,57500,57400,57500,28,0.007005253940455258
2022-07-28,57500,57500,57100,57500,27,0.0
2022-07-29,57500,57500,57400,57500,462,0.0
2022-08-01,57800,57800,57300,57600,65,0.0017391304347826875
2022-08-02,57600,57700,57200,57700,672,0.0017361111111111605
2022-08-03,57900,57900,57600,57600,56,-0.0017331022530329143
2022-08-04,57200,57600,57100,57600,546,0.0
2022-08-05,57700,57700,57600,57700,45,0.0017361111111111605
2022-08-08,57700,57700,57300,57700,49,0.0
2022-08-09,57700,58100,57600,57700,553,0.0
2022-08-10,57800,58500,57800,58400,2190,0.0121317157712304
2022-08-11,58200,58500,58200,58500,25,0.001712328767123239
2022-08-12,58500,58500,58000,58500,41,0.0
2022-08-16,58500,58700,58400,58700,90,0.0034188034188034067
2022-08-17,58400,58400,57600,58200,107,-0.008517887563884163
2022-08-18,58000,58000,57300,57700,94,-0.00859106529209619
2022-08-19,57700,58400,57300,57300,131,-0.006932409012131768
2022-08-22,57300,57600,56700,57600,779,0.005235602094240788
2022-08-23,57600,57700,56500,57700,98,0.0017361111111111605
2022-08-24,57800,57800,56900,57700,16,0.0
2022-08-25,56900,57900,56500,56600,786,-0.01906412478336217
2022-08-26,57100,57100,56000,57000,810,0.007067137809187329
2022-08-29,56900,56900,56200,56200,278,-0.01403508771929829
2022-08-30,56400,56500,56300,56500,117,0.005338078291814874
2022-08-31,57000,57000,56400,56600,304,0.001769911504424737
2022-09-01,57700,57700,56400,56900,2144,0.005300353356890497
2022-09-02,57000,57000,56700,56900,60,0.0
2022-09-05,56900,56900,56500,56900,108,0.0
2022-09-06,56900,57200,56900,57200,657,0.005272407732864748
2022-09-07,56800,57100,56700,57100,673,-0.0017482517482517723
2022-09-08,57000,57100,56800,57100,403,0.0
2022-09-13,57100,57100,56800,57000,200,-0.0017513134851138146
2022-09-14,57000,57000,56500,56500,233,-0.00877192982456143
2022-09-15,56900,56900,55000,56200,254,-0.005309734513274322
2022-09-16,57000,57000,56100,56400,300,0.003558718861210064
2022-09-19,56200,56200,56100,56200,146,-0.0035460992907800915
2022-09-20,56300,56300,55900,55900,60,-0.005338078291814985
2022-09-21,56000,56000,55900,56000,58,0.0017889087656528524
2022-09-22,56000,56000,55000,55600,1364,-0.0071428571428571175
2022-09-23,55600,56000,55500,56000,1746,0.007194244604316502
2022-09-26,55200,55300,54800,55000,1109,-0.017857142857142905
2022-09-27,55000,55100,53400,53400,1220,-0.029090909090909056
2022-09-28,53600,53600,52700,52700,1191,-0.01310861423220977
2022-09-29,52700,53100,52000,53100,2275,0.007590132827324458
2022-09-30,53100,54600,53100,54600,682,0.02824858757062154
2022-10-04,56300,56300,55000,56000,1906,0.02564102564102555
2022-10-05,57200,58500,55000,56200,561,0.0035714285714285587
2022-10-06,57000,57400,56200,57400,437,0.021352313167259718
2022-10-07,57400,58000,57400,57800,728,0.006968641114982521
2022-10-11,58300,59000,56900,57700,1552,-0.0017301038062284002
2022-10-12,57600,58200,57000,57000,1511,-0.012131715771230511
2022-10-13,57700,57700,56600,56800,1494,-0.0035087719298245723
2022-10-14,57500,57500,57000,57200,963,0.007042253521126751
2022-10-17,57200,57300,57000,57000,124,-0.0034965034965035446
2022-10-18,56700,57200,56700,57000,347,0.0
2022-10-19,57100,57200,57000,57000,867,0.0
2022-10-20,57200,57300,56900,57300,361,0.0052631578947368585
2022-10-21,57300,57300,57000,57300,347,0.0
2022-10-24,57800,57800,56600,56900,1700,-0.006980802792321161
2022-10-25,57400,57400,56500,57000,898,0.0017574692442883233
2022-10-26,57500,57500,56900,57000,9382,0.0
2022-10-27,56900,56900,56100,56500,241,-0.00877192982456143
2022-10-28,57400,57400,56100,57100,406,0.010619469026548645
2022-10-31,57400,57400,57100,57300,36,0.003502626970227629
2022-11-01,57700,57700,57100,57400,24,0.0017452006980802626
2022-11-02,57400,57400,56900,56900,117,-0.008710801393728262
2022-11-03,57000,57000,56400,56900,759,0.0
2022-11-04,56900,57400,56600,57400,549,0.008787346221441172
2022-11-07,56400,57600,56400,57100,27,-0.005226480836236891
2022-11-08,56600,57000,56600,57000,1052,-0.0017513134851138146
2022-11-09,57000,57700,56500,57100,33,0.0017543859649122862
