Date,Open,High,Low,Close,Volume,Change
2024-02-29,2450,3480,2015,2015,80399891,
2024-03-04,2005,2020,1985,2015,2513711,0.0
2024-03-05,2010,2015,1999,2010,543239,-0.002481389578163795
2024-03-06,2005,2015,2000,2015,270662,0.0024875621890547706
2024-03-07,2015,2015,2000,2010,185384,-0.002481389578163795
2024-03-08,2010,2015,2005,2015,211317,0.0024875621890547706
2024-03-11,2010,2015,2005,2010,86044,-0.002481389578163795
2024-03-12,2010,2010,2000,2010,150703,0.0
2024-03-13,2010,2010,2000,2010,76019,0.0
2024-03-14,2005,2010,2000,2005,90893,-0.0024875621890547706
2024-03-15,2005,2020,2005,2015,172115,0.004987531172069737
2024-03-18,2015,2025,2010,2025,58780,0.00496277915632759
2024-03-19,2025,2025,2015,2025,89379,0.0
2024-03-20,2020,2025,2010,2020,38017,-0.0024691358024691024
2024-03-21,2010,2020,2010,2015,47057,-0.0024752475247524774
2024-03-22,2015,2025,2010,2020,47684,0.002481389578163684
2024-03-25,2015,2025,2010,2015,53196,-0.0024752475247524774
2024-03-26,2015,2030,2010,2025,138152,0.00496277915632759
