Date,Open,High,Low,Close,Volume,Change
2024-03-27,4875,7030,2500,2500,90810532,
2024-03-28,2380,3215,2280,2285,10107986,-0.08599999999999997
2024-03-29,2490,2735,2265,2350,3920473,0.02844638949671774
2024-04-01,2385,2460,2230,2235,1057925,-0.04893617021276597
2024-04-02,2215,2270,2205,2215,570689,-0.008948545861297563
2024-04-03,2210,2270,2195,2235,341637,0.009029345372460584
2024-04-04,2220,2250,2220,2235,141265,0.0
2024-04-05,2225,2245,2215,2230,159496,-0.0022371364653244186
2024-04-08,2225,2240,2220,2230,133610,0.0
2024-04-09,2230,2240,2225,2230,181778,0.0
