Date,Open,High,Low,Close,Volume,Change
2022-01-03,44810,48461,44673,47731,230073,0.06516257168998685
2022-01-04,48005,48096,45084,45450,181062,-0.047788648886467944
2022-01-05,45449,45495,43670,43807,131846,-0.03614961496149616
2022-01-06,43441,44582,41844,41936,158654,-0.04271006916702813
2022-01-07,42118,43807,41981,43442,77600,0.03591186570011451
2022-01-10,43441,43624,40749,41160,125364,-0.052529809861424415
2022-01-11,41160,42711,40658,40795,89908,-0.00886783284742465
2022-01-12,41707,44262,41388,43624,208310,0.06934673366834176
2022-01-13,43623,43623,39882,40019,235929,-0.08263799743260591
2022-01-14,39699,40703,38923,39654,123793,-0.009120667682850692
2022-01-17,39654,39837,37418,37875,142665,-0.04486306551671959
2022-01-18,37007,39608,37007,37738,131019,-0.0036171617161716574
2022-01-19,36734,38240,36049,37373,99776,-0.009671948698924182
2022-01-20,37372,39061,36961,39061,98238,0.045166296524228766
2022-01-21,38148,39380,37189,37418,98446,-0.042062415196743586
2022-01-24,37372,37692,35867,36004,83506,-0.03778929926773211
2022-01-25,36003,36505,33721,34908,160233,-0.030441062104210603
2022-01-26,34589,36277,34315,35137,100849,0.006560100836484395
2022-01-27,35912,36231,32261,32627,188433,-0.07143467000597659
2022-01-28,35501,39242,33493,34041,966145,0.04333833941214338
2022-02-03,34132,35547,32626,35182,274938,0.03351840427719521
2022-02-04,34223,34862,32718,32718,261327,-0.07003581376840429
2022-02-07,32262,33311,32033,32901,140755,0.005593251421236012
2022-02-08,32855,33539,32125,32627,149557,-0.008328014346068557
2022-02-09,32718,34817,32718,34361,177210,0.05314616728476418
2022-02-10,34771,34817,31622,31851,204631,-0.07304793224877038
2022-02-11,31851,31851,29752,29889,208890,-0.0615993218423283
2022-02-14,28701,30572,28701,29934,182262,0.001505570611261664
2022-02-15,29706,30071,28292,28794,152726,-0.03808378432551618
2022-02-16,29386,31440,29250,31121,171184,0.08081544766270743
2022-02-17,30664,31759,30025,30847,126013,-0.008804344333408265
2022-02-18,29934,31714,29888,31486,80246,0.02071514247738837
2022-02-21,30801,31577,30345,31395,48310,-0.0028901734104046506
2022-02-22,30481,30983,29660,29980,86882,-0.04507087115782771
2022-02-23,29979,31120,29979,30345,62313,0.012174783188792615
2022-02-24,29569,29889,28200,28292,138656,-0.06765529741308285
