Date,Open,High,Low,Close,Volume,Change
2022-01-03,17350,18200,16550,17100,7457550,0.125
2022-01-04,16900,22200,16650,22200,16851798,0.29824561403508776
2022-01-05,22350,24100,21400,22500,9858779,0.013513513513513598
2022-01-06,21700,21750,19550,20150,2329020,-0.10444444444444445
2022-01-07,20200,20200,18350,19150,1859706,-0.04962779156327546
2022-01-10,18800,19750,18100,19700,1540002,0.02872062663185382
2022-01-11,19500,20150,18600,19850,1116921,0.0076142131979695105
2022-01-12,19700,20250,18950,19750,918846,-0.005037783375314908
2022-01-13,19050,19200,17600,17750,1006424,-0.10126582278481011
2022-01-14,17350,19500,17150,18350,1490446,0.033802816901408406
2022-01-17,18350,19600,18050,19450,880096,0.05994550408719346
2022-01-18,19350,19700,18400,19300,606563,-0.007712082262210762
2022-01-19,18850,20700,18800,20700,1350173,0.07253886010362698
2022-01-20,20150,21100,19100,19750,1385434,-0.04589371980676327
2022-01-21,19250,19700,17750,17950,1063621,-0.09113924050632916
2022-01-24,17700,17700,15950,16500,1079302,-0.0807799442896936
2022-01-25,16650,16750,15150,15500,919100,-0.06060606060606055
2022-01-26,15650,16100,15250,15250,800651,-0.016129032258064502
2022-01-27,15300,15350,13600,13900,1042910,-0.08852459016393444
2022-01-28,14100,14750,13600,14600,724310,0.050359712230215736
2022-02-03,14800,15250,14150,14150,675124,-0.03082191780821919
2022-02-04,13750,17400,13650,15850,4389969,0.12014134275618371
2022-02-07,15700,17950,15250,16700,3115512,0.05362776025236604
2022-02-08,16650,17450,15850,16350,986099,-0.020958083832335328
2022-02-09,16400,16650,15950,16400,411417,0.003058103975535076
2022-02-10,16300,17150,15500,15500,1308373,-0.054878048780487854
2022-02-11,15300,15700,14550,14550,523759,-0.06129032258064515
2022-02-14,14050,15450,13750,14950,804430,0.027491408934707806
2022-02-15,14850,15450,14300,14700,466463,-0.01672240802675584
2022-02-16,15150,15700,15000,15400,552180,0.04761904761904767
2022-02-17,15600,15750,14300,14600,610261,-0.051948051948051965
2022-02-18,14250,15200,14150,14900,340437,0.020547945205479534
2022-02-21,14600,15150,14450,14900,226738,0.0
2022-02-22,14550,16000,14500,15500,949395,0.04026845637583887
2022-02-23,15500,15950,15300,15600,451183,0.006451612903225712
2022-02-24,15350,15500,14400,14500,528221,-0.07051282051282048
2022-02-25,14950,15500,14550,15200,690660,0.048275862068965614
2022-02-28,15200,15700,15150,15250,360552,0.00328947368421062
2022-03-02,15300,16400,15250,16200,719922,0.062295081967213006
2022-03-03,16250,16950,15900,16100,726964,-0.006172839506172867
2022-03-04,16000,16100,15550,15650,337406,-0.02795031055900621
2022-03-07,15450,15650,14800,14900,315372,-0.04792332268370603
2022-03-08,14550,15250,14500,14900,248516,0.0
2022-03-10,15400,15700,15200,15300,316573,0.02684563758389258
2022-03-11,15300,15650,15000,15650,306416,0.02287581699346397
2022-03-14,16100,16350,15350,15500,832011,-0.009584664536741228
2022-03-15,15500,19200,15150,18700,9346671,0.2064516129032259
2022-03-16,18550,19950,18100,18800,4591672,0.005347593582887722
2022-03-17,18950,19550,18500,19200,2803258,0.02127659574468077
2022-03-18,19000,19400,18800,18850,1369711,-0.01822916666666663
2022-03-21,19050,19600,18550,18550,1198824,-0.01591511936339518
2022-03-22,18400,19500,18000,19050,1769732,0.02695417789757415
2022-03-23,19250,19900,18900,19900,2284135,0.044619422572178546
2022-03-24,19500,20250,19300,20250,1495950,0.017587939698492372
2022-03-25,19750,19800,19150,19500,812979,-0.03703703703703709
2022-03-28,19500,19600,18400,18500,783307,-0.05128205128205132
