Date,Open,High,Low,Close,Volume,Change
2024-07-15,12480,12900,8330,8330,20377109,
2024-07-16,8200,9410,8000,8330,10583948,0.0
2024-07-17,9020,9150,8340,8470,4450337,0.01680672268907557
2024-07-18,8140,8170,7710,7770,1306777,-0.0826446280991735
2024-07-19,7820,9060,7400,7920,7995117,0.019305019305019266
2024-07-22,7800,7950,7450,7480,1381876,-0.05555555555555558
2024-07-23,7600,7670,7120,7200,1216704,-0.03743315508021394
2024-07-24,7030,7220,6800,6810,822456,-0.054166666666666696
2024-07-25,6650,6710,6340,6400,687700,-0.0602055800293686
2024-07-26,6450,7090,6430,6630,1878069,0.035937499999999956
2024-07-29,6620,6800,6440,6600,693498,-0.004524886877828038
2024-07-30,6830,7160,6550,6780,1451718,0.027272727272727337
2024-07-31,6810,6910,6440,6460,536197,-0.0471976401179941
2024-08-01,6510,6590,6380,6400,346471,-0.009287925696594423
2024-08-02,6270,6300,5920,5920,554494,-0.07499999999999996
2024-08-05,5800,5840,4545,4740,540751,-0.19932432432432434
2024-08-06,4715,5080,4650,4885,339222,0.030590717299578074
2024-08-07,4845,6350,4820,6350,4239631,0.29989764585465717
2024-08-08,6600,7630,6350,6600,8755847,0.03937007874015741
2024-08-09,6680,6680,6180,6200,1015148,-0.06060606060606055
2024-08-12,6300,6440,5970,5970,810675,-0.0370967741935484
2024-08-13,5800,6010,5450,5490,643189,-0.08040201005025127
2024-08-14,5630,6330,5430,5480,1893164,-0.0018214936247723523
2024-08-16,5540,5610,5150,5160,695853,-0.058394160583941646
2024-08-19,5180,5810,5030,5250,1654302,0.01744186046511631
2024-08-20,5250,5370,5120,5120,338891,-0.024761904761904763
2024-08-21,5190,5190,4885,4905,386507,-0.0419921875
2024-08-22,5000,5060,4755,4755,485459,-0.030581039755351647
2024-08-23,4740,4805,4600,4615,356243,-0.029442691903259766
2024-08-26,4615,4740,4600,4650,215563,0.007583965330444142
2024-08-27,4650,5380,4650,5120,2638761,0.1010752688172043
2024-08-28,5200,5350,4900,5070,672884,-0.009765625
2024-08-29,5020,5090,4900,4920,255844,-0.029585798816568087
2024-08-30,5230,6390,5220,6390,5609215,0.2987804878048781
2024-09-02,6970,8300,6480,7850,33363703,0.22848200312989042
2024-09-03,7750,7920,7200,7450,4352341,-0.05095541401273884
2024-09-04,7140,7260,6710,7020,2236440,-0.05771812080536909
2024-09-05,6990,7380,6180,6350,2712277,-0.09544159544159547
