Date,Open,High,Low,Close,Volume,Change
2022-01-03,7110,7138,6861,7138,220541,0.014496873223422302
2022-01-04,7266,8649,7192,8235,6825254,0.15368450546371526
2022-01-05,8208,8438,7728,7876,1606065,-0.04359441408621734
2022-01-06,7626,8511,7571,8143,2796604,0.033900457084814706
2022-01-07,8134,8908,7848,8337,2889936,0.02382414343607997
2022-01-10,8364,8483,7995,8364,568018,0.0032385750269880997
2022-01-11,8548,9065,8207,8429,2189847,0.007771401243424236
2022-01-12,8530,8789,8005,8125,758859,-0.03606596274765694
2022-01-13,8272,8346,7802,8005,565003,-0.014769230769230757
2022-01-14,7884,8115,7792,7811,250389,-0.02423485321673957
2022-01-17,7765,7811,7405,7470,336514,-0.04365638202534883
2022-01-18,7487,7819,7487,7617,209739,0.01967871485943773
2022-01-19,7515,7921,7469,7783,376250,0.021793356964684207
2022-01-20,7893,8032,7737,7857,256679,0.009507901837337851
2022-01-21,7839,7922,7451,7627,237052,-0.029273259513809324
2022-01-24,7515,7598,6769,7101,411784,-0.06896551724137934
2022-01-25,7202,7211,6446,6511,272856,-0.08308688917053941
2022-01-26,6510,6870,6510,6520,135921,0.0013822761480570822
2022-01-27,6510,6768,6252,6354,187788,-0.025460122699386467
2022-01-28,6528,6593,6279,6575,117688,0.03478124016367645
2022-02-03,6658,6815,6621,6631,115490,0.008517110266159644
2022-02-04,6630,6990,6482,6695,159616,0.009651636253958706
2022-02-07,6694,6694,6381,6501,123223,-0.02897684839432413
2022-02-08,6436,6528,6289,6372,113517,-0.019843101061375212
2022-02-09,6372,6621,6307,6492,100514,0.01883239171374762
2022-02-10,6510,6584,6104,6363,89129,-0.019870609981515686
2022-02-11,6270,6371,6067,6206,112449,-0.02467389596102465
2022-02-14,6133,6133,5717,5801,143140,-0.06525942636158555
2022-02-15,5800,5947,5625,5625,84533,-0.03033959662127217
2022-02-16,5856,5975,5782,5939,65512,0.05582222222222222
2022-02-17,5939,6031,5773,5884,95263,-0.009260818319582476
2022-02-18,5717,5957,5717,5948,44174,0.010876954452753163
2022-02-21,5846,5994,5791,5939,47334,-0.0015131136516476351
2022-02-22,5745,6013,5690,5764,54263,-0.02946624010776222
2022-02-23,5809,5846,5708,5736,47989,-0.004857737682165131
2022-02-24,5634,5680,5441,5478,104885,-0.044979079497907914
2022-02-25,5588,5671,5348,5533,37674,0.010040160642570184
2022-02-28,5533,5606,5440,5533,38083,0.0
2022-03-02,5459,5690,5459,5598,25929,0.011747695644315881
2022-03-03,5532,5883,5532,5828,77555,0.041086102179349826
2022-03-04,5919,5919,5671,5754,29961,-0.012697323266986915
2022-03-07,5754,5754,5523,5579,60912,-0.03041362530413627
2022-03-08,5422,5607,5413,5469,81206,-0.01971679512457425
2022-03-10,5625,5652,5496,5570,26159,0.01846772718961409
2022-03-11,5487,5726,5487,5653,36614,0.014901256732495538
2022-03-14,5689,5726,5459,5579,51658,-0.013090394480806622
2022-03-15,5579,5874,5450,5718,111831,0.024914859293780234
2022-03-16,5883,5929,5680,5745,70021,0.004721930745015701
2022-03-17,5920,7368,5773,6889,5814705,0.1991296779808529
2022-03-18,6962,7082,6796,6824,633179,-0.009435331688198545
2022-03-21,6824,6824,6492,6594,315194,-0.03370457209847599
2022-03-22,6593,6666,6501,6667,170440,0.011070670306339014
2022-03-23,6731,6869,6685,6750,354991,0.012449377531123407
2022-03-24,6880,7027,6603,6631,256073,-0.017629629629629662
2022-03-25,6732,6732,6557,6714,96852,0.012516965766852683
2022-03-28,6713,6713,6501,6584,81256,-0.019362526064938934
