Date,Open,High,Low,Close,Volume,Change
2024-09-30,59000,64200,44200,46000,10392195,
2024-10-02,43050,48100,41300,41650,3258146,-0.0945652173913043
2024-10-04,41200,43000,40050,41200,698963,-0.010804321728691502
2024-10-07,41700,43350,40950,41400,1005079,0.004854368932038833
2024-10-08,40900,43500,40050,40100,979063,-0.03140096618357491
2024-10-10,40250,40450,37200,37200,397290,-0.07231920199501252
2024-10-11,37250,38150,33800,33900,500408,-0.08870967741935487
2024-10-14,33850,34650,33450,34050,258216,0.004424778761061843
2024-10-15,34600,34750,32200,32300,298202,-0.05139500734214386
2024-10-16,31350,33150,30900,31350,292683,-0.02941176470588236
2024-10-17,32000,33500,31300,31550,462304,0.006379585326953707
2024-10-18,31700,32000,29750,29750,222008,-0.057052297939778174
2024-10-21,29300,29600,28050,28500,203485,-0.04201680672268904
2024-10-22,28500,28600,26050,26050,195252,-0.0859649122807018
2024-10-23,26400,27250,25600,26450,137257,0.015355086372360827
