Date,Open,High,Low,Close,Volume,Change
2022-01-03,60900,60900,60000,60300,2387,0.004999999999999893
2022-01-04,60300,61400,60200,61400,4624,0.018242122719734688
2022-01-05,61400,61800,61000,61400,4570,0.0
2022-01-06,61200,61400,60800,61400,2267,0.0
2022-01-07,61400,61500,61000,61200,3426,-0.0032573289902280145
2022-01-10,61200,61500,61000,61500,3616,0.004901960784313708
2022-01-11,61300,62000,60900,61300,2343,-0.003252032520325243
2022-01-12,61300,61600,61000,61300,4877,0.0
2022-01-13,61400,61600,61100,61400,1177,0.0016313213703098572
2022-01-14,61600,61800,61200,61600,2829,0.0032573289902280145
2022-01-17,61400,61600,60900,61400,3646,-0.0032467532467532756
2022-01-18,61400,61500,61000,61100,3357,-0.004885993485342022
2022-01-19,61100,61800,60800,61000,6140,-0.0016366612111292644
2022-01-20,61000,61600,61000,61300,3696,0.004918032786885185
2022-01-21,61600,61600,60800,61000,4254,-0.004893964110929905
2022-01-24,61000,61100,60500,60900,4231,-0.0016393442622950616
2022-01-25,61000,61000,59700,59700,25498,-0.019704433497536922
2022-01-26,60300,60700,60000,60500,3373,0.01340033500837512
2022-01-27,60500,60700,59300,59300,10062,-0.01983471074380161
2022-01-28,59900,60500,59600,60100,8621,0.013490725126475533
2022-02-03,60600,60800,60200,60800,4605,0.011647254575707144
2022-02-04,60600,60900,60500,60500,3340,-0.004934210526315819
2022-02-07,60700,60900,60400,60800,3333,0.0049586776859504855
2022-02-08,60600,61100,60400,60500,5302,-0.004934210526315819
2022-02-09,60800,60900,60500,60800,3014,0.0049586776859504855
2022-02-10,60800,61300,60700,61100,28281,0.004934210526315708
2022-02-11,61400,62500,60800,62200,16082,0.018003273322422242
2022-02-14,62200,62600,61900,62200,8483,0.0
2022-02-15,62000,62400,61800,62000,11216,-0.003215434083601254
2022-02-16,62400,62700,62200,62300,1438,0.004838709677419395
2022-02-17,62500,63000,62300,62800,6501,0.008025682182985605
2022-02-18,62800,63000,62500,62800,5082,0.0
2022-02-21,62800,63300,62300,63000,4860,0.0031847133757962887
2022-02-22,62800,63100,62600,62800,5616,-0.0031746031746031633
2022-02-23,62900,63200,62800,63100,2413,0.004777070063694211
2022-02-24,63200,63200,62400,63100,9409,0.0
2022-02-25,63100,63400,62800,63200,2038,0.0015847860538826808
2022-02-28,63200,63400,62900,63100,3757,-0.0015822784810126667
2022-03-02,63100,63500,62900,62900,5380,-0.0031695721077654726
2022-03-03,62900,63300,62800,62900,3214,0.0
2022-03-04,62800,63100,62800,63000,2530,0.0015898251192367763
2022-03-07,63400,63400,62800,62800,4848,-0.0031746031746031633
2022-03-08,62800,62800,62000,62300,4927,-0.0079617834394905
2022-03-10,63000,63100,62400,62900,3994,0.009630818619582593
2022-03-11,62800,63100,62500,62900,3861,0.0
2022-03-14,62900,63000,62600,62800,5422,-0.0015898251192368873
2022-03-15,62900,63000,62400,62800,4809,0.0
2022-03-16,63000,63000,62500,62800,4840,0.0
2022-03-17,63000,63100,62800,62900,6633,0.0015923566878981443
2022-03-18,63000,63200,62900,63200,5850,0.004769475357710551
2022-03-21,63300,63300,62900,63100,5423,-0.0015822784810126667
2022-03-22,63200,63200,62700,63100,10534,0.0
2022-03-23,63000,63100,62700,63000,8518,-0.0015847860538826808
2022-03-24,62700,63000,62700,62900,4294,-0.0015873015873015817
2022-03-25,63000,63100,62800,62900,12955,0.0
2022-03-28,63000,63300,62800,63200,18671,0.004769475357710551
2022-03-29,63100,63500,63000,63400,27475,0.0031645569620253333
2022-03-30,60500,60700,60000,60300,26902,-0.04889589905362779
2022-03-31,60200,60200,59600,59600,12151,-0.011608623548922004
2022-04-01,59500,60000,59400,59600,16091,0.0
2022-04-04,59700,59900,59400,59600,4297,0.0
2022-04-05,59700,59700,59400,59600,4635,0.0
2022-04-06,59600,59600,58800,58900,7359,-0.011744966442952975
2022-04-07,58900,59200,58300,58300,4684,-0.01018675721561968
2022-04-08,58500,59500,58400,58900,3548,0.010291595197255532
2022-04-11,58900,58900,57900,58100,16277,-0.01358234295415961
2022-04-12,58400,58400,57700,57900,4378,-0.0034423407917383297
2022-04-13,57900,58500,57700,58500,2273,0.010362694300518172
2022-04-14,58900,58900,58200,58600,1970,0.0017094017094017033
2022-04-15,58800,58800,58200,58500,1902,-0.0017064846416382506
2022-04-18,58500,58500,58000,58200,1026,-0.00512820512820511
2022-04-19,58200,58600,58000,58100,5685,-0.0017182130584192379
2022-04-20,58400,58400,57500,58000,13839,-0.0017211703958691649
2022-04-21,58000,58200,57500,57600,7241,-0.006896551724137945
2022-04-22,57600,57800,57400,57800,3334,0.003472222222222321
2022-04-25,57800,57800,57400,57500,4635,-0.00519031141868509
2022-04-26,57700,57800,57300,57800,2698,0.00521739130434784
2022-04-27,57500,57600,56900,57300,6270,-0.00865051903114189
2022-04-28,57500,57900,57000,57700,3923,0.00698080279232105
