Date,Open,High,Low,Close,Volume,Change
2022-01-03,1235,1420,1225,1295,1930883,0.061475409836065475
2022-01-04,1315,1330,1290,1330,298244,0.027027027027026973
2022-01-05,1330,1345,1310,1330,149328,0.0
2022-01-06,1310,1365,1300,1345,270468,0.011278195488721776
2022-01-07,1345,1345,1315,1335,100624,-0.0074349442379182396
2022-01-10,1350,1350,1310,1325,76632,-0.0074906367041198685
2022-01-11,1325,1325,1285,1285,89788,-0.030188679245283012
2022-01-12,1280,1310,1280,1310,68995,0.01945525291828787
2022-01-13,1310,1325,1250,1295,96559,-0.011450381679389277
2022-01-14,1310,1310,1270,1290,62537,-0.0038610038610038533
2022-01-17,1290,1290,1250,1270,74631,-0.015503875968992276
2022-01-18,1270,1285,1235,1245,84590,-0.019685039370078705
2022-01-19,1245,1245,1210,1235,62834,-0.008032128514056214
2022-01-20,1235,1250,1215,1230,32623,-0.004048582995951455
2022-01-21,1235,1250,1230,1245,53012,0.012195121951219523
2022-01-24,1245,1360,1215,1245,464739,0.0
2022-01-25,1225,1280,1165,1175,248780,-0.05622489959839361
2022-01-26,1175,1205,1165,1185,162854,0.008510638297872353
2022-01-27,1185,1195,1115,1115,177168,-0.05907172995780585
2022-01-28,1120,1165,1115,1125,86343,0.008968609865470878
2022-02-03,1170,1170,1135,1165,74176,0.03555555555555556
2022-02-04,1160,1175,1155,1170,88346,0.0042918454935623185
2022-02-07,1170,1195,1160,1185,74070,0.012820512820512775
2022-02-08,1185,1200,1160,1175,57738,-0.008438818565400852
2022-02-09,1175,1265,1165,1220,229478,0.038297872340425476
2022-02-10,1220,1235,1170,1195,62135,-0.020491803278688492
2022-02-11,1185,1185,1150,1165,52050,-0.025104602510460206
2022-02-14,1150,1150,1115,1115,71394,-0.0429184549356223
2022-02-15,1115,1125,1090,1125,70093,0.008968609865470878
2022-02-16,1120,1175,1120,1150,33081,0.022222222222222143
2022-02-17,1150,1200,1125,1150,234521,0.0
2022-02-18,1130,1175,1110,1130,111316,-0.017391304347826098
2022-02-21,1120,1150,1110,1130,55712,0.0
2022-02-22,1130,1130,1085,1095,155056,-0.030973451327433676
2022-02-23,1095,1105,1095,1105,40255,0.009132420091324311
2022-02-24,1105,1110,1060,1085,108081,-0.018099547511312264
2022-02-25,1080,1095,1075,1095,100783,0.009216589861751112
2022-02-28,1105,1105,1075,1100,43819,0.004566210045662045
2022-03-02,1105,1115,1095,1115,44046,0.013636363636363669
2022-03-03,1125,1135,1115,1115,131557,0.0
2022-03-04,1115,1135,1105,1125,71513,0.008968609865470878
2022-03-07,1115,1125,1090,1090,53901,-0.03111111111111109
2022-03-08,1080,1090,1065,1075,57340,-0.013761467889908285
2022-03-10,1080,1095,1075,1080,47192,0.0046511627906977715
2022-03-11,1085,1120,1075,1115,68437,0.03240740740740744
2022-03-14,1120,1120,1095,1105,54040,-0.008968609865470878
2022-03-15,1105,1110,1085,1095,39241,-0.009049773755656076
2022-03-16,1100,1140,1095,1130,152126,0.03196347031963476
2022-03-17,1140,1160,1120,1135,93794,0.004424778761061843
2022-03-18,1135,1145,1125,1135,40594,0.0
2022-03-21,1135,1155,1120,1155,89745,0.017621145374449254
2022-03-22,1155,1160,1125,1125,73726,-0.025974025974025983
2022-03-23,1120,1120,1090,1100,202220,-0.022222222222222254
2022-03-24,1100,1130,1095,1130,89254,0.027272727272727337
2022-03-25,1130,1150,1130,1135,49236,0.004424778761061843
2022-03-28,1135,1160,1125,1140,61687,0.004405286343612369
2022-03-29,1140,1180,1130,1175,268193,0.030701754385964897
2022-03-30,1175,1190,1150,1160,38562,-0.012765957446808529
2022-03-31,1160,1170,1145,1170,41310,0.008620689655172376
2022-04-01,1165,1180,1160,1180,103886,0.008547008547008517
2022-04-04,1190,1530,1170,1530,7817113,0.2966101694915255
2022-04-05,1595,1600,1360,1455,10717739,-0.0490196078431373
2022-04-06,1590,1620,1420,1440,7275142,-0.010309278350515427
2022-04-07,1450,1525,1285,1335,3370970,-0.07291666666666663
2022-04-08,1330,1330,1290,1305,566753,-0.022471910112359605
2022-04-11,1295,1330,1285,1320,475658,0.011494252873563315
2022-04-12,1310,1345,1255,1295,524382,-0.018939393939393923
2022-04-13,1280,1315,1260,1300,284531,0.0038610038610038533
2022-04-14,1315,1315,1255,1295,400075,-0.0038461538461538325
2022-04-15,1230,1255,1190,1225,1317769,-0.05405405405405406
2022-04-18,1200,1225,1175,1225,578412,0.0
2022-04-19,1210,1225,1180,1200,542241,-0.020408163265306145
2022-04-20,1200,1220,1185,1215,549103,0.012499999999999956
2022-04-21,1215,1225,1205,1220,582565,0.004115226337448652
2022-04-22,1215,1220,1190,1205,535056,-0.012295081967213073
2022-04-25,1185,1190,1150,1165,564070,-0.03319502074688796
2022-04-26,1165,1190,1155,1185,282481,0.01716738197424883
2022-04-27,1150,1175,1125,1175,254223,-0.008438818565400852
2022-04-28,1175,1220,1155,1220,916272,0.038297872340425476
2022-04-29,1400,1425,1245,1260,6532765,0.032786885245901676
2022-05-02,1250,1305,1250,1265,662118,0.003968253968253954
2022-05-03,1265,1325,1250,1265,856970,0.0
2022-05-04,1270,1290,1265,1275,553538,0.007905138339920903
2022-05-06,1250,1275,1245,1260,299159,-0.0117647058823529
2022-05-09,1250,1255,1215,1235,325840,-0.019841269841269882
2022-05-10,1215,1295,1175,1270,579387,0.028340080971659853
2022-05-11,1260,1315,1240,1280,595465,0.007874015748031482
2022-05-12,1275,1275,1185,1215,376878,-0.05078125
2022-05-13,1210,1225,1135,1170,630680,-0.03703703703703709
2022-05-16,1180,1210,1180,1200,177697,0.02564102564102555
2022-05-17,1200,1230,1195,1205,100023,0.004166666666666652
2022-05-18,1205,1240,1180,1200,264642,-0.004149377593360981
2022-05-19,1155,1195,1155,1175,253059,-0.02083333333333337
2022-05-20,1175,1200,1165,1190,223304,0.012765957446808418
2022-05-23,1200,1290,1160,1220,657270,0.025210084033613356
2022-05-24,1220,1235,1180,1185,219346,-0.02868852459016391
2022-05-25,1185,1205,1165,1190,155361,0.00421940928270037
2022-05-26,1190,1215,1185,1190,108078,0.0
2022-05-27,1190,1200,1180,1195,144760,0.004201680672268893
2022-05-30,1200,1250,1180,1240,264795,0.03765690376569042
2022-05-31,1240,1240,1210,1235,229560,-0.0040322580645161255
2022-06-02,1235,1255,1210,1240,268504,0.004048582995951344
2022-06-03,1255,1350,1230,1285,2453878,0.03629032258064524
2022-06-07,1285,1480,1240,1300,8060689,0.011673151750972721
2022-06-08,1305,1390,1295,1365,3913589,0.050000000000000044
2022-06-09,1330,1335,1280,1285,1104064,-0.05860805860805862
2022-06-10,1280,1285,1235,1250,533218,-0.027237354085603127
2022-06-13,1230,1230,1160,1170,708982,-0.06399999999999995
2022-06-14,1130,1190,1125,1170,467785,0.0
2022-06-15,1140,1170,1095,1115,503929,-0.047008547008547064
2022-06-16,1125,1155,1065,1070,681051,-0.04035874439461884
2022-06-17,1040,1080,1020,1070,378869,0.0
2022-06-20,1095,1100,985,1010,604891,-0.05607476635514019
2022-06-21,1010,1045,996,1010,247680,0.0
2022-06-22,1025,1025,927,950,728027,-0.05940594059405946
2022-06-23,935,945,885,897,503999,-0.0557894736842105
2022-06-24,880,929,880,921,228829,0.026755852842809347
2022-06-27,933,1015,933,997,321138,0.08251900108577637
2022-06-28,999,1050,991,1015,281646,0.01805416248746239
