Date,Open,High,Low,Close,Volume,Change
2022-01-03,898,944,878,944,2515010,0.0523968784838349
2022-01-04,923,933,910,930,965220,-0.014830508474576232
2022-01-05,925,930,892,913,1032098,-0.018279569892473146
2022-01-06,886,911,880,897,660386,-0.017524644030668113
2022-01-07,898,906,895,900,292614,0.0033444816053511683
2022-01-10,903,905,849,893,468723,-0.007777777777777772
2022-01-11,890,898,861,880,261562,-0.014557670772676334
2022-01-12,867,936,863,902,1092393,0.02499999999999991
2022-01-13,906,910,876,900,190710,-0.0022172949002217113
2022-01-14,889,893,874,885,163479,-0.01666666666666672
2022-01-17,870,875,847,855,245771,-0.03389830508474578
2022-01-18,846,880,832,839,307539,-0.018713450292397682
2022-01-19,835,845,811,840,204350,0.0011918951132301459
2022-01-20,845,854,826,850,214136,0.011904761904761862
2022-01-21,850,856,834,836,194648,-0.016470588235294126
2022-01-24,880,880,804,811,247881,-0.029904306220095656
2022-01-25,811,829,786,786,349610,-0.03082614056720101
2022-01-26,799,820,786,815,195741,0.03689567430025442
2022-01-27,800,820,782,782,173620,-0.04049079754601226
2022-01-28,805,818,764,814,159540,0.04092071611253201
2022-02-03,819,851,819,845,236265,0.03808353808353804
2022-02-04,845,863,840,847,135369,0.002366863905325367
2022-02-07,864,883,835,853,105737,0.007083825265643551
2022-02-08,856,929,848,895,1204943,0.049237983587338885
2022-02-09,900,911,885,891,222930,-0.004469273743016755
2022-02-10,900,900,876,885,140823,-0.006734006734006703
2022-02-11,869,925,865,885,253910,0.0
2022-02-14,878,923,855,855,238739,-0.03389830508474578
2022-02-15,840,895,820,848,202112,-0.008187134502923965
2022-02-16,857,877,857,871,104989,0.027122641509433887
2022-02-17,874,885,857,860,154254,-0.012629161882893203
2022-02-18,857,870,841,866,62819,0.006976744186046435
2022-02-21,866,870,848,867,82431,0.0011547344110853786
2022-02-22,855,870,848,854,90546,-0.014994232987312617
2022-02-23,854,869,847,859,57003,0.005854800936768045
2022-02-24,868,868,826,826,212794,-0.038416763678696175
2022-02-25,827,864,827,848,145055,0.026634382566586012
2022-02-28,843,866,835,866,56148,0.021226415094339535
2022-03-02,867,909,864,878,318084,0.01385681293302543
2022-03-03,876,887,867,886,104511,0.009111617312072884
2022-03-04,886,889,872,879,48574,-0.007900677200902928
2022-03-07,870,887,867,874,68705,-0.005688282138794132
2022-03-08,862,879,853,860,128576,-0.016018306636155555
2022-03-10,864,880,863,878,61149,0.020930232558139528
2022-03-11,877,900,870,879,310482,0.001138952164009055
2022-03-14,871,885,860,862,216046,-0.019340159271899915
2022-03-15,862,872,852,857,117795,-0.0058004640371229765
2022-03-16,862,874,859,865,120454,0.009334889148191472
2022-03-17,875,898,870,883,345974,0.020809248554913395
2022-03-18,889,889,873,888,165083,0.005662514156285381
2022-03-21,904,904,881,886,155506,-0.0022522522522522292
2022-03-22,886,894,883,891,108677,0.0056433408577878375
2022-03-23,892,895,883,893,717814,0.002244668911335568
2022-03-24,946,970,895,901,946768,0.008958566629339249
2022-03-25,906,924,901,915,373324,0.015538290788013276
2022-03-28,917,929,905,908,188579,-0.007650273224043769
2022-03-29,908,913,891,909,186154,0.0011013215859030367
2022-03-30,910,910,899,904,131966,-0.005500550055005493
2022-03-31,904,904,891,895,98932,-0.009955752212389424
2022-04-01,895,898,887,894,117341,-0.0011173184357542443
2022-04-04,896,900,835,884,227599,-0.01118568232662187
2022-04-05,886,890,873,879,85433,-0.005656108597285048
2022-04-06,879,884,866,875,72256,-0.004550625711035261
2022-04-07,866,868,855,855,151493,-0.02285714285714291
2022-04-08,850,863,842,846,87491,-0.010526315789473717
2022-04-11,848,855,832,832,130844,-0.01654846335697402
2022-04-12,850,850,816,819,125318,-0.015625
2022-04-13,817,839,817,835,144697,0.019536019536019467
2022-04-14,849,849,827,846,92389,0.013173652694610682
2022-04-15,846,848,838,840,103208,-0.007092198581560294
2022-04-18,848,850,821,840,79339,0.0
2022-04-19,826,840,825,839,68834,-0.0011904761904761862
2022-04-20,837,848,830,834,86970,-0.005959475566150174
2022-04-21,834,834,820,823,68194,-0.013189448441247031
2022-04-22,823,823,800,818,69592,-0.0060753341433779084
2022-04-25,805,817,798,815,108876,-0.003667481662591676
2022-04-26,808,825,806,811,71283,-0.004907975460122671
2022-04-27,800,810,751,804,77264,-0.008631319358816225
2022-04-28,820,820,790,806,76478,0.0024875621890547706
2022-04-29,796,811,796,808,44311,0.002481389578163684
2022-05-02,808,825,803,809,44766,0.0012376237623761277
2022-05-03,814,814,795,795,67223,-0.017305315203955507
2022-05-04,796,808,790,804,57553,0.01132075471698113
2022-05-06,791,830,785,818,139752,0.017412935323383172
2022-05-09,815,818,790,796,68553,-0.02689486552567233
2022-05-10,780,789,760,789,43447,-0.008793969849246186
2022-05-11,784,809,778,778,52713,-0.013941698352344711
2022-05-12,778,778,727,744,143035,-0.04370179948586117
2022-05-13,746,757,721,747,49446,0.0040322580645162365
2022-05-16,752,754,744,749,27783,0.0026773761713521083
2022-05-17,749,750,712,722,99568,-0.03604806408544725
2022-05-18,727,741,722,726,55338,0.005540166204986097
2022-05-19,724,726,681,689,225923,-0.05096418732782371
2022-05-20,692,710,692,706,42988,0.02467343976777947
2022-05-23,715,722,702,722,83924,0.022662889518413554
2022-05-24,715,725,713,720,23359,-0.0027700831024930483
2022-05-25,720,720,701,716,22217,-0.005555555555555536
2022-05-26,711,724,701,709,24378,-0.009776536312849138
2022-05-27,709,719,691,706,33616,-0.004231311706629048
2022-05-30,706,714,705,708,35195,0.0028328611898016387
2022-05-31,708,744,707,741,335527,0.04661016949152552
2022-06-02,739,739,724,726,58700,-0.020242914979757054
2022-06-03,726,736,719,724,53831,-0.0027548209366391463
2022-06-07,724,724,707,717,21320,-0.00966850828729282
2022-06-08,710,720,702,713,59849,-0.00557880055788007
2022-06-09,713,730,703,717,49981,0.005610098176718203
2022-06-10,721,721,700,720,24611,0.004184100418409997
2022-06-13,700,702,666,680,135716,-0.05555555555555558
2022-06-14,680,685,641,655,84635,-0.03676470588235292
2022-06-15,655,670,601,615,136901,-0.06106870229007633
2022-06-16,615,639,605,605,121583,-0.016260162601625994
2022-06-17,631,631,575,629,140961,0.03966942148760322
2022-06-20,629,635,583,595,68182,-0.05405405405405406
2022-06-21,628,628,587,608,62277,0.02184873949579824
2022-06-22,608,625,575,584,64039,-0.03947368421052633
2022-06-23,570,579,521,530,106429,-0.09246575342465757
2022-06-24,530,554,520,547,93116,0.03207547169811331
2022-06-27,565,614,548,594,123271,0.08592321755027421
2022-06-28,600,609,571,589,91637,-0.008417508417508435
2022-06-29,588,605,560,582,100218,-0.011884550084889645
2022-06-30,586,591,556,566,1207942,-0.027491408934707917
2022-07-01,562,573,524,542,43267,-0.04240282685512364
2022-07-04,542,585,542,560,101067,0.03321033210332103
2022-07-05,551,579,550,559,45525,-0.0017857142857142794
2022-07-06,558,589,554,569,44332,0.017889087656529412
2022-07-07,578,610,569,595,109421,0.04569420035149374
2022-07-08,595,605,591,599,31578,0.006722689075630228
2022-07-11,606,634,599,627,179010,0.046744574290484175
2022-07-12,627,627,607,627,52380,0.0
2022-07-13,620,630,599,622,182360,-0.00797448165869219
2022-07-14,595,612,582,604,95221,-0.02893890675241162
2022-07-15,604,604,585,601,46038,-0.004966887417218513
2022-07-18,601,605,584,603,21092,0.0033277870216306127
2022-07-19,603,606,595,604,45900,0.0016583747927032544
2022-07-20,604,616,589,589,57940,-0.024834437086092676
2022-07-21,594,635,590,616,146530,0.045840407470288724
2022-07-22,609,625,609,621,66046,0.008116883116883189
2022-07-25,621,622,606,621,27089,0.0
2022-07-26,616,621,608,621,27300,0.0
2022-07-27,614,619,606,612,33043,-0.01449275362318836
2022-07-28,612,613,605,609,28989,-0.004901960784313708
2022-07-29,609,612,606,610,50333,0.0016420361247948545
2022-08-01,610,610,600,603,71067,-0.011475409836065542
2022-08-02,603,603,587,593,61373,-0.016583747927031545
2022-08-03,590,620,582,619,102057,0.04384485666104543
2022-08-04,624,624,607,610,65505,-0.014539579967689842
