Date,Open,High,Low,Close,Volume,Change
2023-09-18,46000,46000,33750,35000,3815576,
2023-09-19,35900,40400,34450,39400,6710466,0.12571428571428567
2023-09-20,38750,40800,34500,37450,2849976,-0.04949238578680204
2023-09-21,35550,35600,30550,33000,2462984,-0.11882510013351133
2023-09-22,33700,34600,30750,31950,1935785,-0.03181818181818186
2023-09-25,31050,31650,26400,26750,1798580,-0.16275430359937404
2023-09-26,26550,27650,24800,25700,1491326,-0.03925233644859816
2023-09-27,25150,26600,24450,25950,1447997,0.009727626459143934
2023-10-04,25000,25200,18370,18500,1932726,-0.2870905587668593
2023-10-05,19300,21150,18540,19470,2088238,0.05243243243243234
2023-10-06,20100,23600,19910,22400,2741449,0.150487930148947
2023-10-10,21900,22650,18970,19220,1120236,-0.14196428571428577
2023-10-11,19900,20750,19360,19590,918012,0.019250780437044757
2023-10-12,19980,20500,18870,19720,1540463,0.0066360387953037225
2023-10-13,19330,19330,17450,17570,790459,-0.10902636916835695
2023-10-16,16550,16930,16010,16250,513200,-0.07512805919180421
2023-10-17,16610,17400,16250,16450,496502,0.012307692307692353
2023-10-18,16590,17430,14780,15270,1532987,-0.07173252279635256
2023-10-19,14450,15000,13920,14490,646059,-0.05108055009823187
2023-10-20,14430,15750,14130,15300,1044289,0.05590062111801242
2023-10-23,14980,16650,14900,16350,1098773,0.06862745098039214
2023-10-24,17250,17500,15530,17050,1230032,0.042813455657492394
2023-10-25,17440,18260,16710,17000,1675231,-0.0029325513196480912
2023-10-26,16480,19520,16210,17550,4511427,0.032352941176470695
2023-10-27,17930,19950,17410,19570,5429790,0.11509971509971506
2023-10-30,20650,21700,19330,19330,2676902,-0.012263668880940215
2023-10-31,19170,20800,18950,20400,1536273,0.0553543714433522
2023-11-01,21600,23950,20450,23900,3001871,0.17156862745098045
2023-11-02,23300,25850,23050,23950,2362208,0.0020920502092049986
2023-11-03,24650,25450,23350,24500,1556599,0.022964509394572064
2023-11-06,23400,24600,21300,23400,2068174,-0.04489795918367345
2023-11-07,24550,25350,21300,21550,2517710,-0.07905982905982911
2023-11-08,21650,21900,19490,19690,1390002,-0.0863109048723898
2023-11-09,19670,21600,18820,21100,2000013,0.07160995429151851
2023-11-10,20650,21600,19000,19390,942071,-0.08104265402843602
2023-11-13,19430,19430,17060,17290,983240,-0.10830324909747291
2023-11-14,17280,18830,17100,18440,669864,0.06651243493348757
2023-11-15,19280,20250,18600,19340,933681,0.0488069414316703
2023-11-16,19340,19340,18460,18600,359870,-0.0382626680455016
2023-11-17,18130,18280,17490,17540,431299,-0.05698924731182797
2023-11-20,17300,17930,16900,17560,285896,0.0011402508551880963
2023-11-21,18000,19760,17680,19000,1341373,0.08200455580865595
2023-11-22,18900,20350,18580,19230,970544,0.012105263157894841
2023-11-23,19030,19480,18910,18910,334914,-0.01664066562662503
2023-11-24,18670,20000,18670,19680,633425,0.04071919619249065
2023-11-27,19680,19690,18660,18920,438850,-0.03861788617886175
2023-11-28,19120,23250,19110,22500,4478021,0.18921775898520088
2023-11-29,22500,25900,22350,23350,6321314,0.03777777777777769
2023-11-30,23400,24250,22500,24000,1421427,0.027837259100642386
