Date,Open,High,Low,Close,Volume,Change
2024-03-25,32850,36850,26000,26000,5608023,
2024-03-26,24800,24850,19930,20450,1871831,-0.21346153846153848
2024-03-27,20300,21750,19710,20650,921876,0.009779951100244544
2024-03-28,20150,20800,18600,18600,624586,-0.09927360774818406
2024-03-29,18310,18730,17180,17900,473670,-0.037634408602150504
2024-04-01,17900,18800,17250,17470,474179,-0.02402234636871503
2024-04-02,17470,17650,16680,16700,228520,-0.04407555809959929
2024-04-03,16810,16960,15650,15680,218840,-0.061077844311377194
2024-04-04,15630,15940,15060,15100,172677,-0.036989795918367374
2024-04-05,14900,15340,14470,14500,161042,-0.039735099337748325
2024-04-08,14530,14530,13580,13580,136210,-0.06344827586206891
2024-04-09,13760,15050,13470,13530,216621,-0.003681885125184081
2024-04-11,13360,13600,13000,13010,89654,-0.03843311160384333
2024-04-12,13210,13560,12930,13020,100997,0.000768639508070823
2024-04-15,12820,12880,12330,12390,66592,-0.048387096774193505
2024-04-16,12210,12300,11810,11880,65218,-0.041162227602905554
2024-04-17,12090,15180,12020,14410,1301503,0.21296296296296302
2024-04-18,14000,15140,13540,13590,437064,-0.0569049271339348
2024-04-19,13720,17450,13660,16340,3866918,0.20235467255334805
2024-04-22,17090,19580,16200,16560,2545535,0.01346389228886169
2024-04-23,17200,17250,16300,16880,529602,0.019323671497584627
2024-04-24,16700,20150,16510,18390,4294360,0.08945497630331745
2024-04-25,18710,19690,18200,18210,884566,-0.009787928221859699
2024-04-26,17900,17900,16120,16530,345472,-0.09225700164744643
2024-04-29,16400,16610,15800,16080,158645,-0.02722323049001818
2024-04-30,16080,18970,15920,18070,1767429,0.12375621890547261
2024-05-02,18240,19990,17770,17920,997456,-0.00830105146651905
2024-05-03,18510,19700,17620,17850,619404,-0.00390625
2024-05-07,18090,18090,17230,17330,122530,-0.029131652661064433
2024-05-08,16290,18440,16290,17480,378047,0.008655510675129818
2024-05-09,17480,22000,17210,19500,2768876,0.11556064073226535
2024-05-10,19400,24000,19250,22600,2657290,0.15897435897435908
2024-05-13,23400,24650,20500,20800,790087,-0.07964601769911506
2024-05-14,21350,21950,19850,19850,375740,-0.04567307692307687
2024-05-16,19850,22500,19500,22100,997701,0.11335012594458438
2024-05-17,22100,22150,20100,20800,358447,-0.05882352941176472
2024-05-20,20750,22750,19700,21900,647815,0.05288461538461542
2024-05-21,21700,28150,21350,27650,3783046,0.2625570776255708
2024-05-22,27850,28600,25500,25550,826401,-0.07594936708860756
2024-05-23,25050,25850,23550,25700,466480,0.005870841487279899
2024-05-24,26350,27050,24200,24250,528156,-0.05642023346303504
2024-05-27,24050,25450,23700,23900,253251,-0.014432989690721598
2024-05-28,23150,26250,23150,25350,406121,0.060669456066945626
2024-05-29,25350,32950,24350,32950,1773088,0.29980276134122286
2024-05-30,35100,41250,32650,34200,4779362,0.03793626707132014
2024-05-31,34450,35000,30700,32300,1532938,-0.05555555555555558
2024-06-03,32000,33000,29800,31600,623103,-0.021671826625387025
2024-06-04,30900,31550,28300,28500,440734,-0.09810126582278478
2024-06-05,28200,28400,26100,26700,291466,-0.06315789473684208
2024-06-07,26600,30650,26400,29750,788389,0.11423220973782766
2024-06-10,30400,31850,29500,31400,461374,0.055462184873949605
2024-06-11,31450,32250,29850,30700,243590,-0.022292993630573243
2024-06-12,31000,33700,30200,31950,679716,0.04071661237785018
2024-06-13,32400,34100,30750,32900,591809,0.029733959311424085
2024-06-14,33550,35000,29900,30200,489387,-0.0820668693009119
2024-06-17,30250,33900,30250,30950,412816,0.024834437086092676
2024-06-18,31800,32450,31000,31900,136666,0.030694668820678617
2024-06-19,32250,34400,29500,29500,508325,-0.07523510971786829
2024-06-20,29650,29850,25500,25900,329701,-0.12203389830508471
2024-06-21,25750,26800,24300,26450,259593,0.021235521235521304
2024-06-24,26350,26800,25650,26450,89872,0.0
2024-06-25,26250,26800,24850,26800,105813,0.013232514177693666
2024-06-26,26800,27000,24900,25250,119238,-0.057835820895522416
2024-06-27,25300,27600,24050,24400,313162,-0.03366336633663369
2024-06-28,24300,25100,24150,24850,60375,0.018442622950819665
2024-07-01,24600,26600,24500,25000,158390,0.006036217303822866
2024-07-02,25000,25000,22500,23050,135875,-0.07799999999999996
2024-07-03,23700,24400,21750,21800,84174,-0.05422993492407813
2024-07-04,21800,22200,21350,22050,53889,0.011467889908256979
2024-07-05,22050,22550,20500,20650,83127,-0.06349206349206349
2024-07-08,20650,25100,20400,24100,441547,0.1670702179176755
2024-07-09,24100,24250,22650,22900,95173,-0.049792531120331995
2024-07-10,22900,24300,22550,23700,76158,0.03493449781659397
2024-07-11,23600,24450,23300,23600,57547,-0.00421940928270037
2024-07-12,22850,23450,22050,22850,46567,-0.03177966101694918
2024-07-15,22500,22650,21900,21900,31726,-0.04157549234135671
2024-07-16,21900,22000,20700,21150,40636,-0.03424657534246578
2024-07-17,21400,23500,21400,22000,110043,0.04018912529550822
2024-07-18,21400,22750,20700,22550,47564,0.02499999999999991
2024-07-19,22550,23450,21750,22850,41512,0.013303769401330268
2024-07-22,22950,23900,22250,22800,47423,-0.002188183807439792
2024-07-23,22700,23250,22300,22500,24431,-0.013157894736842146
2024-07-24,22300,24850,22300,24500,169487,0.0888888888888888
2024-07-25,24000,24950,23350,24100,131325,-0.01632653061224487
2024-07-26,23700,25400,22250,22450,186523,-0.06846473029045641
2024-07-29,22350,23650,22350,23250,41747,0.03563474387527843
2024-07-30,23250,23700,22050,22450,29960,-0.03440860215053765
2024-07-31,22500,23350,20650,21400,87280,-0.04677060133630284
2024-08-01,21400,21800,21250,21400,30751,0.0
2024-08-02,21200,21200,18900,18900,107892,-0.11682242990654201
2024-08-05,18000,18470,15020,15980,72445,-0.15449735449735447
2024-08-06,17000,18430,16140,17710,67361,0.10826032540675845
2024-08-07,17160,18000,17110,17140,36635,-0.0321852060982496
2024-08-08,17170,18160,16880,17850,45054,0.04142357059509916
2024-08-09,18300,18750,17730,18370,61947,0.029131652661064322
2024-08-12,18400,19010,18140,18740,34507,0.020141535111595
2024-08-13,18700,18700,17160,17580,33309,-0.06189967982924227
2024-08-14,17740,18370,17610,17850,23824,0.015358361774743923
2024-08-16,18750,18790,17990,18210,46932,0.020168067226890685
2024-08-19,18210,18210,17350,17470,22427,-0.04063701263042285
2024-08-20,17320,17750,17050,17550,26865,0.004579278763594763
2024-08-21,17850,18310,17160,18000,27740,0.02564102564102555
2024-08-22,18010,18630,17480,18550,46966,0.030555555555555447
2024-08-23,19790,23950,18800,21350,1096094,0.15094339622641506
2024-08-26,21900,22750,21500,22400,132682,0.049180327868852514
2024-08-27,22000,22300,21050,22100,77309,-0.013392857142857095
2024-08-28,22100,22300,21300,21650,53767,-0.020361990950226283
2024-08-29,20700,21400,20250,21150,60489,-0.023094688221709014
2024-08-30,20950,21900,20950,21750,34074,0.028368794326241176
2024-09-02,22300,22300,20750,21900,58353,0.006896551724137945
2024-09-03,21900,22250,20900,20900,52683,-0.045662100456621
2024-09-04,20150,20500,19360,19920,40647,-0.04688995215311009
2024-09-05,19920,20450,18320,18320,81206,-0.08032128514056225
2024-09-06,18070,18470,16710,17310,49510,-0.055131004366812175
2024-09-09,16750,18150,16620,17930,44577,0.0358174465626806
2024-09-10,18040,18400,17190,17450,39429,-0.026770775237032862
2024-09-11,17280,18340,17020,17020,34956,-0.024641833810888247
2024-09-12,17050,17750,17050,17700,31220,0.0399529964747356
2024-09-13,18100,18780,17590,17690,24398,-0.0005649717514124575
2024-09-19,17900,17990,17400,17530,10537,-0.009044657998869443
2024-09-20,17990,18500,17550,18280,29510,0.0427837992013691
2024-09-23,18790,19190,18410,18700,40576,0.02297592997811826
2024-09-24,19150,19150,18220,18370,17808,-0.01764705882352946
2024-09-25,18380,20200,18380,19000,102081,0.034295046271094254
2024-09-26,19010,19500,18280,18720,97013,-0.01473684210526316
2024-09-27,19400,19800,18670,18940,77634,0.01175213675213671
2024-09-30,18990,19030,18400,18560,20571,-0.020063357972544882
2024-10-02,18560,18560,17890,17890,23108,-0.036099137931034475
2024-10-04,17710,18140,17710,17940,6207,0.0027948574622693734
2024-10-07,17960,18190,17810,18150,16080,0.0117056856187292
2024-10-08,17960,18150,17310,17510,20921,-0.03526170798898076
2024-10-10,17550,18080,17550,18030,10809,0.029697315819531722
2024-10-11,18000,18460,17560,17880,15897,-0.008319467554076532
2024-10-14,17880,17880,17200,17300,17277,-0.032438478747203625
2024-10-15,17650,17650,17030,17200,10756,-0.005780346820809301
2024-10-16,17200,17200,16600,16950,20188,-0.014534883720930258
2024-10-17,16950,17440,16790,17380,26327,0.025368731563421898
2024-10-18,17380,17450,17000,17170,10480,-0.012082853855005737
2024-10-21,17580,17580,17000,17250,9032,0.004659289458357696
2024-10-22,17380,17430,15660,16590,24162,-0.03826086956521735
2024-10-23,16590,16590,15080,15360,33839,-0.07414104882459316
2024-10-24,15250,15410,14900,14930,18742,-0.02799479166666663
2024-10-25,14940,14950,14130,14480,24259,-0.030140656396517085
2024-10-28,14450,14640,14300,14300,9996,-0.012430939226519389
2024-10-29,14150,14160,13750,13810,26788,-0.034265734265734316
2024-10-30,13610,13770,13430,13510,28708,-0.02172338884866043
2024-10-31,13500,13550,13060,13500,30696,-0.0007401924500369805
2024-11-01,13910,16550,13600,13620,903516,0.008888888888888946
