Date,Open,High,Low,Close,Volume,Change
2024-05-03,14900,16000,12350,12880,29116370,
2024-05-07,12140,12200,11130,11280,4980311,-0.12422360248447206
2024-05-08,11290,11560,10730,11320,4253776,0.0035460992907800915
2024-05-09,11130,11400,10640,10640,2211540,-0.060070671378091856
2024-05-10,10600,10820,10140,10150,1537923,-0.046052631578947345
2024-05-13,10080,11270,10080,10370,5029025,0.021674876847290747
2024-05-14,10410,12070,10320,11150,11096615,0.07521697203471556
2024-05-16,12130,12500,11100,11120,5688075,-0.0026905829596413078
2024-05-17,10860,10930,10500,10520,1140268,-0.0539568345323741
2024-05-20,10530,10580,10090,10140,710179,-0.03612167300380231
2024-05-21,10090,10380,10060,10120,519920,-0.0019723865877712132
2024-05-22,10180,10250,9950,9970,511186,-0.014822134387351804
2024-05-23,9970,10000,9610,9620,528463,-0.035105315947843496
2024-05-24,9580,9600,9150,9160,535163,-0.047817047817047764
2024-05-27,9180,10000,8770,9230,1459789,0.007641921397379958
2024-05-28,9230,9330,8970,9000,341830,-0.024918743228602436
2024-05-29,8940,9430,8850,9090,542610,0.010000000000000009
2024-05-30,8930,9800,8930,9370,1183258,0.030803080308030806
2024-05-31,9240,9470,9050,9050,371338,-0.03415154749199578
2024-06-03,9050,9100,8540,8570,841333,-0.053038674033149213
2024-06-04,8580,8670,8390,8450,357756,-0.014002333722287097
2024-06-05,8350,9180,8350,8510,895977,0.007100591715976323
2024-06-07,8460,8660,8390,8460,259047,-0.005875440658049347
2024-06-10,8470,8630,8410,8520,210177,0.007092198581560183
2024-06-11,8620,9050,8540,8660,645022,0.016431924882629012
2024-06-12,8690,9550,8620,8750,1820083,0.010392609699769073
2024-06-13,8850,9160,8750,8840,585189,0.010285714285714231
2024-06-14,9490,11130,9310,10590,27098175,0.19796380090497734
2024-06-17,10220,10430,9800,9990,2607543,-0.056657223796033995
2024-06-18,9960,10350,9810,10070,3255884,0.00800800800800805
2024-06-19,9940,10040,9320,9460,1460025,-0.06057596822244293
2024-06-20,9560,9880,9300,9310,1260186,-0.015856236786469302
2024-06-21,9520,9790,9200,9220,872666,-0.009667024704618665
2024-06-24,9220,9270,8780,8800,616213,-0.045553145336225564
2024-06-25,8790,9440,8780,8970,1118968,0.01931818181818179
2024-06-26,8990,9190,8900,8980,424118,0.0011148272017837968
2024-06-27,9100,9400,8960,9010,665554,0.0033407572383072903
2024-06-28,8960,9010,8650,8650,479241,-0.039955604883462836
2024-07-01,8700,8850,8510,8790,266310,0.016184971098266
2024-07-02,8820,8830,8490,8530,296096,-0.029579067121729197
2024-07-03,8540,9040,8480,8520,519792,-0.0011723329425556983
2024-07-04,8560,8630,8410,8410,217632,-0.012910798122065748
2024-07-05,8490,9420,8450,8900,3021847,0.058263971462544584
2024-07-08,8780,9050,8770,8950,587235,0.00561797752808979
2024-07-09,9000,9280,8850,8850,568524,-0.011173184357541888
2024-07-10,8980,9860,8970,9290,5311797,0.049717514124293816
2024-07-11,9290,9840,9150,9580,2582815,0.031216361679224924
2024-07-12,9350,9490,8980,8980,734868,-0.06263048016701467
2024-07-15,8980,9040,8750,8810,337139,-0.018930957683741645
2024-07-16,8760,8810,8510,8520,370675,-0.03291713961407494
2024-07-17,8730,8840,8490,8500,323223,-0.0023474178403756207
2024-07-18,8430,8450,8000,8110,446331,-0.045882352941176485
2024-07-19,8050,8250,8020,8150,195846,0.004932182490752224
2024-07-22,8160,8170,7800,7830,187622,-0.03926380368098159
2024-07-23,7850,7940,7550,7610,230674,-0.028097062579821253
2024-07-24,7570,7670,7510,7510,124538,-0.013140604467805517
2024-07-25,7300,7450,7080,7240,214356,-0.03595206391478034
2024-07-26,7280,7370,7200,7220,96355,-0.002762430939226568
2024-07-29,7280,7680,7220,7570,162167,0.0484764542936289
2024-07-30,7570,7700,7390,7390,91732,-0.023778071334214057
2024-07-31,7370,7400,7130,7250,91612,-0.018944519621109657
2024-08-01,7250,8100,7250,7500,499206,0.034482758620689724
2024-08-02,7300,7360,7200,7210,112479,-0.03866666666666663
2024-08-05,6930,7000,5770,6180,377993,-0.1428571428571429
2024-08-06,6220,6620,6220,6530,138658,0.05663430420711979
2024-08-07,6360,6690,6360,6480,132999,-0.007656967840735107
2024-08-08,6280,6970,6280,6560,287336,0.012345679012345734
2024-08-09,6650,8020,6650,7400,2701723,0.12804878048780477
2024-08-12,7530,9600,7200,9450,14976055,0.277027027027027
2024-08-13,9740,10250,8620,8990,14681218,-0.04867724867724865
2024-08-14,8900,9800,8780,8910,6734466,-0.008898776418242438
2024-08-16,8920,9360,8850,8900,2973428,-0.001122334455667784
2024-08-19,9320,9500,8520,9200,2912486,0.03370786516853941
2024-08-20,8910,9940,8880,9380,10198380,0.019565217391304346
2024-08-21,9200,10110,9010,9800,11513187,0.04477611940298498
2024-08-22,9620,9800,9100,9160,2022422,-0.0653061224489796
2024-08-23,9250,10120,9250,9700,9946247,0.058951965065502154
2024-08-26,9800,10430,9700,9720,6757902,0.0020618556701030855
2024-08-27,9670,10070,8800,9110,2508188,-0.06275720164609055
2024-08-28,9200,9330,8590,8730,1761438,-0.04171240395170139
2024-08-29,8950,9120,8690,8710,1927121,-0.002290950744558984
2024-08-30,8690,8980,8560,8790,799168,0.009184845005740572
2024-09-02,8640,8750,8000,8000,1080552,-0.08987485779294657
2024-09-03,8110,8300,7850,7850,550683,-0.018750000000000044
2024-09-04,7430,7670,7250,7370,560839,-0.06114649681528661
2024-09-05,7400,7760,7030,7700,1120418,0.04477611940298498
2024-09-06,8900,9230,7630,7750,13244589,0.006493506493506551
2024-09-09,7610,7610,7110,7340,1063715,-0.05290322580645157
2024-09-10,7450,7750,7040,7060,957284,-0.038147138964577665
2024-09-11,7010,7180,7000,7100,530183,0.0056657223796034994
2024-09-12,7100,7600,7080,7520,947842,0.05915492957746471
2024-09-13,7530,7890,7270,7470,1216227,-0.0066489361702127825
2024-09-19,7530,7540,7070,7160,425793,-0.04149933065595712
2024-09-20,7200,7260,7070,7070,372084,-0.012569832402234637
2024-09-23,7060,7200,7030,7090,245842,0.0028288543140029265
2024-09-24,7100,7260,7090,7180,245713,0.012693935119887145
2024-09-25,7400,7950,7270,7820,3191552,0.08913649025069637
