Date,Open,High,Low,Close,Volume,Change
2024-05-17,2330,2600,2020,2030,18604842,
2024-05-20,2040,2045,2030,2035,642028,0.0024630541871921707
2024-05-21,2040,2060,2035,2055,279311,0.00982800982800991
2024-05-22,2055,2060,2045,2055,229524,0.0
2024-05-23,2055,2055,2050,2050,121781,-0.0024330900243308973
2024-05-24,2050,2070,2050,2055,145970,0.0024390243902439046
2024-05-27,2060,2070,2055,2065,77678,0.0048661800486617945
2024-05-28,2065,2070,2065,2065,72967,0.0
2024-05-29,2065,2085,2060,2070,178886,0.002421307506053294
2024-05-30,2070,2075,2060,2070,85103,0.0
2024-05-31,2070,2095,2060,2085,141992,0.007246376811594235
2024-06-03,2090,2090,2075,2085,38417,0.0
2024-06-04,2085,2105,2080,2095,72702,0.004796163069544335
2024-06-05,2095,2115,2090,2100,72775,0.0023866348448686736
2024-06-07,2100,2110,2080,2095,22443,-0.0023809523809523725
2024-06-10,2095,2105,2080,2105,40688,0.004773269689737569
2024-06-11,2100,2100,2080,2095,40452,-0.004750593824228044
2024-06-12,2085,2100,2085,2095,66490,0.0
2024-06-13,2085,2105,2085,2100,64132,0.0023866348448686736
2024-06-14,2100,2100,2085,2095,24135,-0.0023809523809523725
2024-06-17,2085,2095,2080,2090,32405,-0.0023866348448687846
2024-06-18,2080,2115,2080,2100,36091,0.004784688995215225
2024-06-19,2100,2100,2080,2085,28669,-0.0071428571428571175
2024-06-20,2090,2095,2075,2095,34937,0.004796163069544335
2024-06-21,2095,2095,2070,2090,31645,-0.0023866348448687846
2024-06-24,2085,2090,2075,2085,17763,-0.0023923444976076125
2024-06-25,2085,2090,2075,2085,28855,0.0
2024-06-26,2075,2085,2075,2085,38192,0.0
2024-06-27,2065,2100,2065,2090,38153,0.0023980815347721673
2024-06-28,2090,2100,2080,2095,26741,0.0023923444976077235
2024-07-01,2090,2100,2090,2095,16374,0.0
2024-07-02,2085,2100,2080,2100,30557,0.0023866348448686736
2024-07-03,2085,2110,2085,2110,27456,0.004761904761904745
2024-07-04,2090,2115,2090,2110,15984,0.0
2024-07-05,2115,2200,2115,2175,148151,0.0308056872037914
2024-07-08,2175,2200,2165,2170,33709,-0.0022988505747126853
2024-07-09,2175,2180,2165,2180,20472,0.004608294930875667
2024-07-10,2175,2180,2155,2175,12442,-0.002293577981651418
2024-07-11,2180,2200,2160,2190,34293,0.006896551724137945
2024-07-12,2190,2190,2165,2180,7794,-0.004566210045662156
2024-07-15,2160,2190,2155,2190,9679,0.004587155963302836
2024-07-16,2190,2190,2165,2185,1420,-0.0022831050228310223
2024-07-17,2185,2200,2165,2195,12867,0.004576659038901587
2024-07-18,2190,2200,2180,2195,42479,0.0
2024-07-19,2190,2200,2185,2195,13286,0.0
2024-07-22,2190,2200,2190,2190,20189,-0.002277904328018221
2024-07-23,2190,2200,2170,2200,28676,0.004566210045662045
2024-07-24,2200,2200,2180,2190,12758,-0.004545454545454519
2024-07-25,2190,2190,2170,2185,20462,-0.0022831050228310223
2024-07-26,2175,2180,2155,2155,25244,-0.013729977116704761
2024-07-29,2160,2180,2160,2180,10874,0.011600928074245953
2024-07-30,2180,2200,2180,2195,11177,0.006880733944954143
2024-07-31,2180,2200,2170,2190,15844,-0.002277904328018221
2024-08-01,2185,2200,2180,2195,8440,0.0022831050228311334
2024-08-02,2185,2200,2175,2180,18137,-0.006833712984054663
2024-08-05,2180,2180,2100,2130,31238,-0.022935779816513735
2024-08-06,2120,2150,2120,2145,24829,0.007042253521126751
2024-08-07,2125,2170,2125,2160,5475,0.006993006993007089
2024-08-08,2130,2165,2130,2165,2516,0.0023148148148148806
2024-08-09,2165,2190,2140,2190,4037,0.011547344110854452
2024-08-12,2150,2190,2150,2180,4005,-0.004566210045662156
2024-08-13,2150,2175,2140,2160,20632,-0.00917431192660545
2024-08-14,2160,2165,2140,2165,866,0.0023148148148148806
2024-08-16,2135,2160,2135,2160,806,-0.002309468822170868
2024-08-19,2135,2160,2120,2150,12379,-0.00462962962962965
2024-08-20,2140,2145,2125,2135,5992,-0.006976744186046546
2024-08-21,2130,2145,2120,2145,3752,0.004683840749414525
2024-08-22,2145,2155,2130,2155,4629,0.004662004662004726
2024-08-23,2170,2170,2120,2125,21471,-0.0139211136890951
2024-08-26,2125,2145,2100,2115,4167,-0.004705882352941226
2024-08-27,2095,2125,2055,2090,62601,-0.011820330969267157
2024-08-28,2090,2145,2055,2135,87827,0.021531100478468845
