Date,Open,High,Low,Close,Volume,Change
2024-11-19,21000,23200,18490,18490,4879062,
2024-11-20,18100,18590,16510,17150,802676,-0.07247160627366145
2024-11-21,17640,17920,16500,16790,315141,-0.020991253644314867
2024-11-22,16820,17790,16580,16580,273134,-0.012507444907683185
2024-11-25,16800,16800,16090,16200,159021,-0.022919179734619988
2024-11-26,16300,16890,16160,16510,165587,0.01913580246913571
2024-11-27,16470,18050,16140,17400,640888,0.05390672319806189
2024-11-28,17530,19200,17060,18810,833501,0.08103448275862069
2024-11-29,19300,21900,18030,18780,2579083,-0.0015948963317384823
2024-12-02,19070,24400,18300,22950,3898668,0.22204472843450485
2024-12-03,22700,23550,21350,22050,1134883,-0.039215686274509776
