Date,Open,High,Low,Close,Volume,Change
2024-10-22,32500,33300,22300,22800,25616683,
2024-10-23,22450,25250,19270,20350,6847527,-0.10745614035087714
2024-10-24,19530,19680,16830,17000,2775592,-0.1646191646191646
2024-10-25,17120,17120,15230,16070,1683157,-0.05470588235294116
2024-10-28,15550,15750,14860,15050,1021538,-0.0634723086496577
2024-10-29,14950,15450,13920,14050,984187,-0.06644518272425248
2024-10-30,14000,14860,13150,14600,1482183,0.039145907473309594
2024-10-31,14560,14820,12910,12910,1211828,-0.11575342465753424
2024-11-01,12420,13500,12010,12120,919549,-0.06119287374128579
2024-11-04,12300,12690,12020,12130,492504,0.0008250825082507518
2024-11-05,12030,13150,12030,12200,680765,0.00577081615828523
2024-11-06,12240,12650,11230,11350,596726,-0.069672131147541
2024-11-07,11490,11860,11220,11720,367377,0.032599118942731264
2024-11-08,11680,13190,11620,12290,1391389,0.04863481228668931
2024-11-11,12500,12680,11660,11680,436396,-0.04963384865744502
2024-11-12,11650,11750,10930,10930,332673,-0.06421232876712324
2024-11-13,10770,11500,10560,10580,302379,-0.0320219579139982
2024-11-14,10720,10900,9990,10080,189272,-0.047258979206049156
2024-11-15,10080,10150,9340,9810,269732,-0.0267857142857143
2024-11-18,9950,10190,9900,9970,114055,0.016309887869520923
2024-11-19,9960,10290,9850,10100,141161,0.013039117352056095
2024-11-20,10100,10180,9500,9820,167293,-0.027722772277227747
2024-11-21,9860,10040,9390,9420,146492,-0.04073319755600813
2024-11-22,9420,9930,9410,9470,172236,0.005307855626327074
2024-11-25,9510,9600,9380,9450,114487,-0.002111932418162654
2024-11-26,9470,9580,9360,9400,107481,-0.005291005291005346
2024-11-27,9410,9970,9360,9580,368730,0.01914893617021285
2024-11-28,9560,10700,9460,10700,951483,0.1169102296450939
2024-11-29,11120,11860,9920,9960,1096964,-0.06915887850467295
2024-12-02,10040,10460,9890,10260,321975,0.030120481927710774
2024-12-03,10400,11100,10310,11100,692192,0.08187134502923987
2024-12-04,10970,11750,10600,11550,1103272,0.04054054054054057
2024-12-05,11400,11800,11010,11600,612946,0.0043290043290042934
2024-12-06,11310,11470,10180,10250,564511,-0.11637931034482762
2024-12-09,10020,10030,8480,8480,498558,-0.17268292682926834
2024-12-10,8420,9010,8420,8860,260117,0.04481132075471694
2024-12-11,9000,9360,8760,8960,258872,0.011286681715575675
2024-12-12,9000,9150,8700,9000,258958,0.0044642857142858094
