Date,Open,High,Low,Close,Volume,Change
2022-01-03,7600,7600,7400,7520,542,-0.03589743589743588
2022-01-04,8000,8000,7220,7520,160,0.0
2022-01-05,7280,7499,7100,7500,385,-0.0026595744680850686
2022-01-06,7200,7400,7200,7400,184602,-0.013333333333333308
2022-01-07,7980,7980,7600,7960,22,0.07567567567567557
2022-01-10,7960,7980,6920,7800,1715,-0.02010050251256279
2022-01-11,7419,7739,7400,7740,60,-0.007692307692307665
2022-01-12,7740,7779,7740,7780,5,0.0051679586563306845
2022-01-13,7780,7800,7640,7760,147,-0.0025706940874036244
2022-01-14,7600,7760,7600,7760,100,0.0
2022-01-17,8400,8400,7779,7780,45,0.002577319587628857
2022-01-18,8000,8000,7800,7800,5,0.0025706940874035134
2022-01-19,7800,7800,7600,7760,215,-0.00512820512820511
2022-01-20,8800,8800,7800,7800,42,0.005154639175257714
2022-01-21,7960,7960,6920,7940,335,0.017948717948717885
2022-01-24,7600,7760,7400,7700,380,-0.030226700251889116
2022-01-25,7699,7699,7600,7700,87,0.0
2022-01-26,7600,7600,6640,7200,5020,-0.06493506493506496
2022-01-27,7200,7200,6400,7180,1127,-0.002777777777777768
2022-01-28,7400,7400,6540,6580,1517,-0.08356545961002781
2022-02-03,6800,7140,6800,7140,580,0.0851063829787233
2022-02-04,7120,7120,7060,7100,270,-0.0056022408963585235
2022-02-07,6500,7140,6500,7020,465,-0.011267605633802802
2022-02-08,6820,7140,6640,6800,1172,-0.031339031339031376
2022-02-09,6780,6800,6620,6620,200,-0.026470588235294135
2022-02-10,6620,6800,6600,6600,3550,-0.0030211480362537513
2022-02-11,6600,6760,6400,6640,5680,0.0060606060606061
2022-02-14,6760,6800,6600,6760,3877,0.01807228915662651
2022-02-15,6760,6780,6600,6760,1777,0.0
2022-02-16,6720,6740,6600,6720,2975,-0.00591715976331364
2022-02-17,6720,6800,6600,6720,2415,0.0
2022-02-18,6600,6760,6600,6740,332,0.0029761904761904656
2022-02-21,6400,6740,6220,6600,527,-0.020771513353115778
2022-02-22,5680,6780,5680,6740,122,0.021212121212121238
2022-02-23,6020,6800,6020,6580,1127,-0.023738872403560873
2022-02-24,6400,6580,6020,6520,52,-0.00911854103343468
2022-02-25,6080,6580,6080,6580,90,0.009202453987730008
2022-02-28,6200,6880,6200,6600,4297,0.003039513677811634
2022-03-02,6720,6720,6600,6720,7,0.018181818181818077
2022-03-03,6800,6800,6620,6620,120,-0.014880952380952328
2022-03-04,6200,6800,6140,6600,227,-0.0030211480362537513
2022-03-07,6800,6840,6000,6420,865,-0.027272727272727226
2022-03-08,6400,6600,6000,6340,6430,-0.012461059190031154
2022-03-10,5800,6500,5680,6320,2395,-0.003154574132492094
2022-03-11,6560,6600,5400,5400,66355,-0.14556962025316456
2022-03-14,4640,5600,4640,5400,48367,0.0
2022-03-15,5200,5500,5140,5500,4782,0.0185185185185186
2022-03-16,5520,6300,5300,6300,5945,0.1454545454545455
2022-03-17,6400,6800,6040,6780,8875,0.07619047619047614
2022-03-18,6800,7779,6200,7780,32350,0.14749262536873164
2022-03-21,8900,8900,7000,7880,72582,0.01285347043701801
2022-03-22,7219,7939,7219,7940,4420,0.0076142131979695105
2022-03-23,8000,8080,7440,7800,1342,-0.017632241813602012
2022-03-24,7440,8000,7400,7600,4940,-0.02564102564102566
2022-03-25,7680,7680,7420,7540,910,-0.007894736842105288
2022-03-28,7480,8660,7480,8080,4752,0.07161803713527859
2022-03-29,7980,7980,7939,7940,45,-0.017326732673267342
2022-03-30,8340,8340,8099,8100,5790,0.02015113350125941
2022-03-31,8200,8200,8120,8120,170,0.0024691358024691024
2022-04-01,8139,8160,8120,8140,3487,0.0024630541871921707
2022-04-04,8140,8180,8140,8160,1155,0.002457002457002533
2022-04-05,8120,8120,8080,8080,2685,-0.009803921568627416
2022-04-06,7600,8080,7600,8080,4120,0.0
2022-04-07,8800,8800,8040,8360,1387,0.034653465346534684
2022-04-08,8360,8360,8320,8360,1535,0.0
2022-04-11,8800,8800,8040,8320,382,-0.004784688995215336
2022-04-12,8320,8320,8300,8320,7690,0.0
2022-04-13,8600,8600,8520,8520,305,0.024038461538461453
2022-04-14,8600,8600,8600,8600,530,0.009389671361502261
2022-04-15,8000,8520,8000,8340,717,-0.03023255813953485
2022-04-18,8340,8600,7859,7860,2690,-0.05755395683453235
2022-04-19,7860,8040,7440,8040,145,0.022900763358778553
2022-04-20,8200,8200,7840,8080,1872,0.004975124378109541
2022-04-21,7800,8080,7200,7940,3560,-0.017326732673267342
2022-04-22,7600,7960,7480,7920,85,-0.0025188916876573986
2022-04-25,7600,8000,7400,7980,212,0.007575757575757569
2022-04-26,7600,7980,7600,7960,17,-0.0025062656641604564
2022-04-27,7480,8000,7480,7980,2672,0.002512562814070307
2022-04-28,7440,7980,7440,7960,30,-0.0025062656641604564
2022-04-29,7979,7979,7419,7980,20,0.002512562814070307
2022-05-02,7400,7960,7400,7960,192,-0.0025062656641604564
2022-05-03,7980,8000,7560,7940,587,-0.002512562814070307
2022-05-04,7600,7920,7200,7360,4355,-0.07304785894206545
2022-05-06,7580,7800,7400,7640,1390,0.03804347826086962
2022-05-09,7400,7600,7220,7440,1335,-0.02617801047120416
2022-05-10,7400,8540,7000,8340,2270,0.12096774193548376
2022-05-11,8000,8340,8000,8320,30,-0.0023980815347721673
2022-05-12,8240,8240,8240,8240,0,-0.009615384615384581
2022-05-13,8160,8160,8160,8160,2,-0.009708737864077666
2022-05-16,8380,8380,8380,8380,5,0.026960784313725394
2022-05-17,7800,8300,7800,8220,392,-0.019093078758949833
2022-05-18,7800,8160,7800,8160,405,-0.007299270072992692
2022-05-19,7980,8000,6940,7720,4912,-0.05392156862745101
2022-05-20,7200,7579,7200,7580,370,-0.01813471502590669
2022-05-23,7499,7499,7499,7500,0,-0.01055408970976257
2022-05-24,7579,7579,7220,7500,600,0.0
2022-05-25,7560,7560,7560,7560,2,0.008000000000000007
2022-05-26,7600,7760,7600,7760,80,0.02645502645502651
2022-05-27,7699,7699,7699,7700,0,-0.0077319587628865705
2022-05-30,7800,7800,7600,7740,32,0.0051948051948051965
2022-05-31,7780,7780,7600,7720,510,-0.0025839793281653423
2022-06-02,7760,7760,7760,7760,2,0.005181347150259086
2022-06-03,7760,7760,7440,7680,1565,-0.010309278350515427
2022-06-07,7659,7659,7200,7340,3517,-0.04427083333333337
2022-06-08,7400,7400,7200,7400,25,0.008174386920980936
2022-06-09,7360,7800,7200,7400,637,0.0
2022-06-10,7459,7779,7459,7780,17,0.05135135135135127
2022-06-13,7780,7780,6960,7680,280,-0.01285347043701801
2022-06-14,7660,7660,7400,7620,10,-0.0078125
2022-06-15,7660,7660,7200,7620,152,0.0
2022-06-16,7660,7660,6800,7120,5845,-0.06561679790026242
2022-06-17,7000,7680,7000,7680,1310,0.0786516853932584
2022-06-20,7400,7400,6820,7160,1247,-0.06770833333333337
2022-06-21,6980,6980,6980,6980,445,-0.025139664804469275
2022-06-22,6960,6960,6400,6500,2392,-0.06876790830945556
2022-06-23,6620,6620,5540,5720,6502,-0.12
2022-06-24,5040,6280,5040,5740,1805,0.0034965034965035446
2022-06-27,5960,6580,5280,6580,1155,0.14634146341463405
2022-06-28,7379,7379,7379,7380,50,0.12158054711246202
2022-06-29,7780,7780,6280,7000,2725,-0.051490514905149
2022-06-30,7200,7400,7200,7400,127,0.05714285714285716
2022-07-01,7560,7560,7180,7180,32,-0.02972972972972976
2022-07-04,7560,7560,6220,7380,15,0.027855153203342642
2022-07-05,7560,7560,7560,7560,2,0.024390243902439046
2022-07-06,7580,7580,6520,7460,20,-0.013227513227513255
2022-07-07,7800,7800,7200,7480,17,0.002680965147453085
2022-07-08,7579,7579,7579,7580,2,0.013368983957219305
2022-07-11,7200,7440,7200,7440,5,-0.01846965699208447
2022-07-12,7520,7520,7200,7340,10,-0.013440860215053752
2022-07-13,7779,7779,7779,7780,5,0.05994550408719346
2022-07-14,7940,7960,7940,7960,5,0.023136246786632286
2022-07-15,8400,8400,7600,8000,60,0.005025125628140614
2022-07-18,6820,8360,6820,7840,40,-0.020000000000000018
2022-07-19,8000,8000,7880,7920,7,0.010204081632652962
2022-07-20,8360,8360,8360,8360,5,0.05555555555555558
2022-07-21,8360,8380,8200,8380,12,0.0023923444976077235
2022-07-22,8480,8480,7600,8480,15,0.01193317422434359
2022-07-25,8460,8460,7220,8000,1127,-0.05660377358490565
2022-07-26,8380,8380,7280,7600,392,-0.050000000000000044
2022-07-27,8400,8400,8400,8400,5,0.10526315789473695
2022-07-28,8000,8000,7160,7700,275,-0.08333333333333337
2022-07-29,7980,7980,7400,7540,25,-0.020779220779220786
2022-08-01,7779,7779,7779,7780,5,0.03183023872679036
2022-08-02,7939,7939,7000,7860,10,0.010282776349614497
2022-08-03,7600,7920,6800,7720,17,-0.01781170483460559
2022-08-04,7880,7880,7200,7860,12,0.0181347150259068
2022-08-05,7400,7900,6860,7800,745,-0.007633587786259555
