Date,Open,High,Low,Close,Volume,Change
2024-11-20,2000,2000,1991,1993,4605355,
2024-11-21,1998,1998,1994,1997,341589,0.002007024586051287
2024-11-22,1997,2010,1995,1998,381662,0.0005007511266901243
2024-11-25,1999,2005,1998,2000,149004,0.0010010010010010895
2024-11-26,2000,2005,1998,2000,110473,0.0
2024-11-27,2000,2005,2000,2005,24213,0.0024999999999999467
2024-11-28,2005,2005,2000,2000,92356,-0.0024937655860348684
2024-11-29,2005,2005,2000,2000,40260,0.0
2024-12-02,2000,2005,2000,2000,44184,0.0
2024-12-03,2005,2005,1999,2000,61258,0.0
2024-12-04,2000,2005,1994,1999,17814,-0.0004999999999999449
2024-12-05,2000,2000,1998,1999,10837,0.0
2024-12-06,1997,2005,1996,2000,44996,0.0005002501250626068
2024-12-09,1999,2000,1983,1995,28687,-0.0024999999999999467
2024-12-10,1995,2005,1994,1999,30578,0.002005012531328232
2024-12-11,2000,2005,1991,1997,25364,-0.0010005002501251026
2024-12-12,1992,2000,1991,1998,37037,0.0005007511266901243
2024-12-13,1998,2000,1994,1996,7018,-0.0010010010010009784
2024-12-16,1996,2000,1995,1999,6492,0.0015030060120240218
2024-12-17,1999,2000,1997,2000,11322,0.0005002501250626068
2024-12-18,1991,2005,1991,2000,26839,0.0
2024-12-19,2000,2005,1997,2000,10986,0.0
2024-12-20,2000,2000,1997,1999,11219,-0.0004999999999999449
2024-12-23,1998,2000,1996,1997,11668,-0.0010005002501251026
2024-12-24,1998,1999,1991,1997,30608,0.0
2024-12-26,1997,1997,1993,1995,16976,-0.0010015022533800266
2024-12-27,1995,1998,1993,1996,5972,0.0005012531328321135
2024-12-30,1996,2005,1995,1999,18076,0.0015030060120240218
2025-01-02,1990,2000,1990,1999,8244,0.0
2025-01-03,1991,1999,1991,1996,8116,-0.0015007503751875984
2025-01-06,1999,2000,1994,2000,7302,0.002004008016031955
2025-01-07,1995,2000,1995,2000,6401,0.0
2025-01-08,1995,1999,1995,1999,4894,-0.0004999999999999449
2025-01-09,1997,1999,1997,1999,8963,0.0
2025-01-10,1998,2005,1998,2000,28291,0.0005002501250626068
2025-01-13,1998,2005,1998,2000,9619,0.0
2025-01-14,1998,2005,1998,2005,31344,0.0024999999999999467
2025-01-15,2000,2010,2000,2005,59846,0.0
2025-01-16,2005,2010,2005,2005,8958,0.0
2025-01-17,2005,2010,2005,2005,27713,0.0
2025-01-20,2005,2010,2000,2005,42415,0.0
2025-01-21,2005,2010,2005,2005,5734,0.0
2025-01-22,2005,2010,2005,2005,39130,0.0
2025-01-23,2005,2010,2005,2005,20633,0.0
2025-01-24,2005,2015,2005,2010,12420,0.0024937655860348684
2025-01-31,2010,2020,2005,2010,28092,0.0
2025-02-03,2010,2015,2005,2010,10094,0.0
2025-02-04,2010,2025,2005,2020,25706,0.004975124378109541
2025-02-05,2015,2025,2010,2015,23768,-0.0024752475247524774
2025-02-06,2010,2025,2010,2020,21621,0.002481389578163684
2025-02-07,2015,2030,2015,2025,37068,0.0024752475247524774
2025-02-10,2020,2030,2020,2020,14216,-0.0024691358024691024
2025-02-11,2020,2035,2020,2020,13710,0.0
2025-02-12,2020,2035,2020,2025,14806,0.0024752475247524774
2025-02-13,2025,2030,2025,2025,17553,0.0
2025-02-14,2020,2025,2020,2025,29338,0.0
2025-02-17,2020,2030,2020,2025,11470,0.0
2025-02-18,2020,2035,2020,2030,10609,0.0024691358024691024
2025-02-19,2025,2035,2025,2025,47584,-0.0024630541871921707
2025-02-20,2025,2035,2025,2025,27875,0.0
2025-02-21,2025,2035,2025,2025,18467,0.0
2025-02-24,2020,2035,2020,2030,13601,0.0024691358024691024
2025-02-25,2025,2040,2025,2035,13107,0.0024630541871921707
