Date,Open,High,Low,Close,Volume,Change
2022-01-03,631526,644118,627652,632495,640,-0.00305312468475738
2022-01-04,629588,647023,624745,645086,1292,0.019906876734203438
2022-01-05,636368,647991,632494,635400,995,-0.015015052256598382
2022-01-06,626683,642180,626683,641212,1156,0.009146994019515242
2022-01-07,637338,651867,632495,637338,832,-0.00604168356175494
2022-01-10,637337,645086,635400,639275,506,0.003039203687839054
2022-01-11,633463,647992,633463,642181,892,0.004545774510187339
2022-01-12,642180,656709,642180,650898,1121,0.013574054666830593
2022-01-13,650898,661552,648960,650898,1297,0.0
2022-01-14,648961,656709,643149,644118,714,-0.010416378603099075
2022-01-17,640243,646055,635400,641212,436,-0.004511595701408799
2022-01-18,646054,648960,626682,633463,1556,-0.012084926670118512
2022-01-19,633463,655740,621839,647992,1443,0.022935830506280563
2022-01-20,655741,671238,653804,653804,1069,0.008969246533907738
2022-01-21,657678,658646,647992,655741,974,0.002962661592770921
2022-01-24,648961,661553,643149,647024,1478,-0.013293358200875072
2022-01-25,644117,648960,616028,618934,1884,-0.04341415465268672
2022-01-26,623777,627652,609248,613123,1281,-0.009388723191810389
2022-01-27,611185,618934,587939,587939,2097,-0.04107495559618546
2022-01-28,595687,600530,586001,599562,831,0.019769057674350554
2022-02-03,605373,622808,605373,612154,895,0.021001998125298238
2022-02-04,615059,634431,612153,630557,1135,0.030062696641694808
2022-02-07,623777,639275,615060,639275,1086,0.013825871412100676
2022-02-08,646055,651866,636369,648961,1645,0.01515153885260645
2022-02-09,648961,653804,642180,644118,761,-0.007462698066601825
2022-02-10,639274,647992,631526,636369,845,-0.012030404366901726
2022-02-11,635400,647024,624746,637338,549,0.0015227014515162285
2022-02-14,637337,643149,613123,617966,2668,-0.03039517493072752
2022-02-15,618934,623777,611185,622809,726,0.00783700074114102
2022-02-16,618934,630557,613122,626683,1147,0.0062202055525850675
2022-02-17,630557,630557,619902,620871,783,-0.009274226363249038
2022-02-18,622808,630557,618934,628620,656,0.012480853510632661
2022-02-21,621840,631526,616997,629589,438,0.0015414717953612378
2022-02-22,628619,632494,617965,620871,852,-0.013847128841196432
2022-02-23,628619,628619,616028,620871,948,0.0
2022-02-24,620871,639275,616997,639275,2003,0.029642228417819494
2022-02-25,639274,642180,629588,631526,905,-0.012121543936490564
2022-02-28,636368,638305,626682,635400,618,0.006134347596140177
2022-03-02,637337,658646,636368,647992,2033,0.019817437834434903
2022-03-03,649929,656709,644117,645086,634,-0.004484623266953869
2022-03-04,652835,660584,644118,658647,1443,0.021022003267781253
2022-03-07,659615,662521,633463,634432,1399,-0.03676476170088072
2022-03-08,630557,639275,614091,622809,932,-0.018320324321597914
2022-03-10,631525,643149,626682,643149,943,0.03265848759410983
2022-03-11,644118,645086,630557,644118,868,0.0015066493145445836
2022-03-14,638306,657678,638306,646055,596,0.003007212964084127
2022-03-15,647023,647992,632494,636369,594,-0.014992531595607206
2022-03-16,637337,642180,632494,639275,488,0.004566532939222379
2022-03-17,651867,652835,632495,632495,1068,-0.01060576434241911
2022-03-18,626682,643149,626682,643149,1290,0.016844401932031072
2022-03-21,643148,644117,627651,630557,1333,-0.019578666840809777
2022-03-22,635400,645086,631526,642181,976,0.018434495216134383
2022-03-23,647991,650897,639274,645086,885,0.00452364676002559
2022-03-24,641211,660583,641211,657678,1293,0.01951987796975918
2022-03-25,647023,666395,647023,664458,992,0.010308996195706799
2022-03-28,664458,669301,658647,668333,757,0.005831820822384648
2022-03-29,663490,670270,663490,668333,413,0.0
2022-03-30,665427,673176,659615,661553,1074,-0.010144643463662617
2022-03-31,660584,668333,660584,668333,393,0.010248611978178612
2022-04-01,662521,665427,653803,660584,736,-0.011594519498513423
2022-04-04,660584,673176,655741,668333,511,0.011730529349787355
2022-04-05,673176,673176,663490,668333,440,0.0
2022-04-06,671238,690610,665427,678019,2524,0.014492775308117434
2022-04-07,676082,681893,665427,676082,1431,-0.0028568520941153475
2022-04-08,672206,673175,663489,669301,902,-0.010029848450335943
