Date,Open,High,Low,Close,Volume,Change
2025-02-13,14730,15490,9670,9680,30367154,
2025-02-14,9530,10950,9160,9900,16520626,0.022727272727272707
2025-02-17,9820,11700,9720,10800,14753025,0.09090909090909083
2025-02-18,10910,11300,10670,10810,5339701,0.0009259259259259967
2025-02-19,12230,12730,11220,11300,10468692,0.04532839962997226
2025-02-20,11520,12370,10750,11570,9316485,0.023893805309734617
2025-02-21,11370,14120,11310,12830,24850304,0.10890233362143475
2025-02-24,12540,12630,11520,11790,2995604,-0.08106001558846454
2025-02-25,11780,12030,10990,11040,2539582,-0.06361323155216281
2025-02-26,10860,11080,10390,10500,1277459,-0.048913043478260865
2025-02-27,10740,11470,10630,11110,3496839,0.0580952380952382
2025-02-28,10810,11290,10400,10440,1434767,-0.06030603060306028
2025-03-04,10230,10290,9650,10130,738963,-0.029693486590038343
2025-03-05,10320,10760,10190,10470,843715,0.033563672260612076
2025-03-06,10450,10520,9990,10030,598809,-0.042024832855778405
2025-03-07,9930,10130,9600,9620,632119,-0.04087736789631102
2025-03-10,9590,9900,9590,9600,366794,-0.0020790020790020236
2025-03-11,9150,10050,9100,9750,645868,0.015625
2025-03-12,9900,10200,9770,9890,659779,0.014358974358974264
2025-03-13,10010,11300,9910,10680,3233366,0.07987866531850352
2025-03-14,10790,11180,10360,10550,2211734,-0.01217228464419473
2025-03-17,10690,11470,10560,11020,2011683,0.04454976303317526
2025-03-18,10890,10920,10560,10920,737064,-0.00907441016333943
2025-03-19,10730,10900,10320,10470,716521,-0.04120879120879117
2025-03-20,10270,10570,10250,10350,587702,-0.011461318051575908
2025-03-21,10230,10730,9930,10520,759067,0.01642512077294689
2025-03-24,10500,11130,10260,11100,1245829,0.05513307984790883
2025-03-25,10980,11090,10490,10570,594271,-0.047747747747747704
2025-03-26,10570,10720,10110,10330,468943,-0.022705771050141932
2025-03-27,10250,10580,10130,10400,373432,0.006776379477250627
2025-03-28,10300,10890,10020,10650,958185,0.024038461538461453
2025-03-31,10640,11260,10210,10270,1458376,-0.03568075117370895
2025-04-01,10800,11800,10650,11250,7976827,0.0954235637779941
2025-04-02,11080,11450,10900,11410,2996612,0.014222222222222136
2025-04-03,11030,11850,11000,11150,4343091,-0.022787028921998242
2025-04-04,10930,11600,10640,11600,2775732,0.04035874439461873
2025-04-07,11290,11920,10750,10750,3787501,-0.07327586206896552
2025-04-08,11020,11130,9930,9990,1799675,-0.07069767441860464
2025-04-09,9830,10260,9230,9340,1206605,-0.06506506506506504
