Date,Open,High,Low,Close,Volume,Change
2022-01-03,3300,3300,3295,3295,19,0.02968750000000009
2022-01-04,3100,3300,3005,3290,28,-0.0015174506828528056
2022-01-05,3300,3300,3035,3290,1120,0.0
2022-01-06,3005,3240,3000,3090,6258,-0.06079027355623101
2022-01-07,3045,3300,3035,3300,2802,0.06796116504854366
2022-01-10,3500,3500,3110,3395,829,0.028787878787878807
2022-01-11,3075,3270,3075,3270,1086,-0.03681885125184092
2022-01-12,3040,3285,3020,3025,7176,-0.07492354740061158
2022-01-13,3280,3280,3000,3085,1096,0.01983471074380172
2022-01-14,3000,3095,3000,3090,133,0.0016207455429497752
2022-01-17,3270,3275,2920,3200,505,0.03559870550161803
2022-01-18,3160,3160,2910,2985,3985,-0.06718749999999996
2022-01-19,3190,3190,2915,3135,135,0.05025125628140703
2022-01-20,2920,3130,2920,3130,34,-0.0015948963317384823
2022-01-21,3200,3290,3000,3285,42,0.04952076677316297
2022-01-24,2865,3195,2865,3085,1055,-0.060882800608828
2022-01-25,2905,3050,2905,3050,56,-0.011345218800648316
2022-01-26,3050,3050,3050,3050,260,0.0
2022-01-27,3045,3045,3045,3045,0,-0.0016393442622950616
2022-01-28,3000,3200,3000,3200,268,0.05090311986863716
2022-02-03,3185,3400,3185,3400,24,0.0625
2022-02-04,3100,3200,2900,3175,650,-0.06617647058823528
2022-02-07,2915,3300,2915,3300,2262,0.03937007874015741
2022-02-08,3000,3295,2920,3180,3144,-0.036363636363636376
2022-02-09,3005,3280,2850,2855,5273,-0.10220125786163525
2022-02-10,3100,3200,2860,3090,4280,0.08231173380035028
2022-02-11,3305,3305,3000,3285,52,0.06310679611650483
2022-02-14,3200,3295,2800,3060,9204,-0.06849315068493156
2022-02-15,3095,3095,2855,3065,38,0.0016339869281045694
2022-02-16,3015,3015,2995,2995,66,-0.022838499184339334
2022-02-17,3000,3100,2985,2995,218,0.0
2022-02-18,2795,2975,2790,2800,5590,-0.06510851419031716
2022-02-21,2895,2940,2710,2925,3158,0.044642857142857206
2022-02-22,2700,3100,2650,3100,1027,0.05982905982905984
2022-02-23,2810,3000,2810,2995,763,-0.03387096774193543
2022-02-24,2805,3000,2800,2975,746,-0.006677796327211993
2022-02-25,2985,2985,2800,2975,300,0.0
2022-02-28,3000,3000,2820,2980,36,0.001680672268907557
2022-03-02,2900,3090,2825,2930,616,-0.016778523489932917
2022-03-03,2815,2985,2805,2850,1891,-0.027303754266211566
2022-03-04,3000,3000,2815,2980,31,0.04561403508771922
2022-03-07,2990,2990,2990,2990,31,0.003355704697986628
2022-03-08,2805,2990,2730,2780,892,-0.07023411371237454
2022-03-10,2900,2965,2700,2850,4211,0.02517985611510798
2022-03-11,2900,2900,2465,2860,2515,0.0035087719298245723
2022-03-14,2900,2900,2900,2900,1,0.013986013986013957
2022-03-15,2900,2975,2900,2975,11,0.02586206896551735
2022-03-16,2970,2975,2800,2975,447,0.0
2022-03-17,2715,3000,2715,2950,519,-0.008403361344537785
2022-03-18,2700,2900,2625,2625,6258,-0.11016949152542377
2022-03-21,2800,2800,2550,2585,5354,-0.015238095238095273
2022-03-22,2800,2970,2365,2480,9385,-0.04061895551257255
2022-03-23,2475,2475,2230,2395,5023,-0.03427419354838712
2022-03-24,2400,2680,2400,2595,1066,0.08350730688935282
2022-03-25,2500,2500,2500,2500,0,-0.036608863198458574
2022-03-28,2750,2750,2300,2390,2276,-0.04400000000000004
2022-03-29,2400,2400,2400,2400,222,0.004184100418409997
2022-03-30,2700,2700,2250,2425,9105,0.01041666666666674
2022-03-31,2480,2480,2300,2400,482,-0.010309278350515427
2022-04-01,2690,2690,2200,2395,4163,-0.002083333333333326
2022-04-04,2390,2690,2200,2290,27588,-0.04384133611691021
2022-04-05,2300,2345,2200,2295,285,0.0021834061135370675
2022-04-06,2250,2280,2225,2225,1306,-0.030501089324618702
2022-04-07,2290,2290,2275,2275,979,0.022471910112359605
2022-04-08,2390,2390,2255,2255,1073,-0.00879120879120876
2022-04-11,2390,2390,2390,2390,4,0.05986696230598665
2022-04-12,2250,2375,2250,2335,1054,-0.023012552301255207
2022-04-13,2210,2345,2200,2240,2733,-0.0406852248394004
2022-04-14,2290,2290,2205,2245,578,0.0022321428571427937
2022-04-15,2285,2285,2280,2280,9,0.015590200445434244
2022-04-18,2125,2295,2125,2295,185,0.006578947368421018
2022-04-19,2250,2250,2250,2250,558,-0.019607843137254943
2022-04-20,2495,2495,2300,2390,33,0.06222222222222218
2022-04-21,2395,2395,2360,2365,24,-0.010460251046025104
2022-04-22,2215,2335,2215,2335,402,-0.012684989429175508
2022-04-25,2335,2335,2335,2335,1,0.0
2022-04-26,2575,2575,2150,2515,810,0.0770877944325481
2022-04-27,2400,2500,2300,2300,1652,-0.08548707753479123
2022-04-28,2200,2295,2125,2235,3663,-0.02826086956521734
