Date,Open,High,Low,Close,Volume,Change
2024-12-19,18000,26100,16750,17300,33939536,
2024-12-20,16330,22000,16200,21400,20293845,0.23699421965317913
2024-12-23,20850,22200,19810,21400,5916277,0.0
2024-12-24,20550,20650,18100,18100,2853036,-0.15420560747663548
2024-12-26,17790,18790,16480,16480,1800576,-0.08950276243093924
2024-12-27,16700,18060,15480,15710,1944397,-0.04672330097087374
2024-12-30,15410,16940,15410,16340,1105477,0.04010184595798849
2025-01-02,16340,16510,15590,15600,686339,-0.04528763769889843
2025-01-03,15530,16200,14900,15700,1631415,0.0064102564102563875
2025-01-06,16050,17190,16020,16280,1469679,0.03694267515923566
2025-01-07,16760,19440,16710,18380,5317879,0.1289926289926291
2025-01-08,18630,20650,18490,19060,6415822,0.03699673558215455
2025-01-09,18700,19820,18670,19000,1791746,-0.0031479538300105414
2025-01-10,19230,19640,17940,18240,1081613,-0.040000000000000036
2025-01-13,18160,18920,17580,17620,675817,-0.033991228070175405
2025-01-14,17600,18070,16500,16670,675309,-0.053916004540295104
2025-01-15,16310,16750,15600,15610,469714,-0.06358728254349133
2025-01-16,15810,16430,15450,16080,485491,0.030108904548366455
2025-01-17,15710,15820,15080,15150,373612,-0.057835820895522416
2025-01-20,14980,15520,14700,14750,336174,-0.02640264026402639
2025-01-21,14740,14750,13230,13230,580939,-0.10305084745762716
2025-01-22,13240,14220,13240,13690,551700,0.034769463340891926
2025-01-23,14000,14350,13420,13710,539418,0.0014609203798392478
2025-01-24,14200,16760,14190,14430,4685646,0.052516411378555894
2025-01-31,14820,14940,14370,14550,796577,0.008316008316008316
2025-02-03,14550,14870,14240,14260,671908,-0.01993127147766327
2025-02-04,14260,14830,13990,14030,592725,-0.016129032258064502
2025-02-05,13960,14400,13960,14330,258804,0.021382751247327247
2025-02-06,14300,15600,14300,15390,1700568,0.07397069085833907
2025-02-07,16460,16460,14950,15060,1001685,-0.021442495126705707
2025-02-10,14860,16440,14830,16040,960680,0.06507304116865864
2025-02-11,16200,16210,15670,16020,567453,-0.0012468827930174342
2025-02-12,16110,16570,15210,15460,727099,-0.03495630461922594
2025-02-13,15630,16150,15080,15970,433824,0.03298835705045278
2025-02-14,15970,16050,15150,15320,343693,-0.0407013149655604
2025-02-17,15290,15900,15120,15510,503129,0.012402088772845987
2025-02-18,15510,16350,15370,16260,874899,0.04835589941972929
2025-02-19,16050,16190,15340,15360,440348,-0.05535055350553508
2025-02-20,15430,16240,15300,15400,810307,0.0026041666666667407
2025-02-21,15500,16040,15380,15380,439173,-0.0012987012987012436
2025-02-24,15310,15630,15110,15390,257505,0.0006501950585175997
2025-02-25,15440,15440,14850,14870,208331,-0.03378817413905133
2025-02-26,15100,15220,14600,14620,239162,-0.0168123739071957
2025-02-27,14610,14960,14130,14890,177433,0.01846785225718195
2025-02-28,15060,15580,14430,14530,437666,-0.02417730020147746
2025-03-04,14540,15000,14300,14460,214957,-0.004817618719889838
2025-03-05,14690,15060,14250,14300,208515,-0.011065006915629283
2025-03-06,14560,14780,14100,14100,147309,-0.013986013986013957
2025-03-07,14000,14000,13500,13520,131977,-0.041134751773049594
2025-03-10,13530,13910,13520,13700,65441,0.013313609467455523
2025-03-11,13310,13400,12550,13170,153314,-0.03868613138686128
2025-03-12,13190,13470,13050,13050,91372,-0.009111617312072884
2025-03-13,13110,13780,13110,13440,169296,0.029885057471264354
2025-03-14,13380,14230,13080,13890,250809,0.033482142857142794
2025-03-17,14310,14530,13760,13880,165868,-0.0007199424046075986
2025-03-18,15190,18040,14970,18040,9169726,0.2997118155619596
2025-03-19,18830,18870,16880,17160,4060574,-0.04878048780487809
2025-03-20,17150,17510,17020,17400,1966887,0.013986013986013957
2025-03-21,16490,16750,15900,15910,1108860,-0.08563218390804594
2025-03-24,15950,17010,15510,15690,1777434,-0.013827781269641681
2025-03-25,16470,19600,16140,19180,16763450,0.22243467176545573
2025-03-26,18450,18720,17450,18260,3106115,-0.0479666319082378
2025-03-27,19350,20400,17470,17710,6964108,-0.030120481927710885
2025-03-28,17770,20500,17770,19980,13759700,0.1281761716544325
2025-03-31,21800,25950,19630,25950,9635417,0.2987987987987988
2025-04-01,26300,26350,24650,25250,3629452,-0.026974951830443183
2025-04-02,24950,28950,24200,25850,6765897,0.023762376237623783
2025-04-03,25100,27400,24700,26050,2649938,0.007736943907156624
2025-04-04,25500,25700,23850,24500,1152333,-0.05950095969289826
2025-04-07,22550,22900,20700,21500,1252906,-0.12244897959183676
2025-04-08,22700,23150,20600,20900,1730072,-0.027906976744186074
2025-04-09,20150,21750,19970,20350,1015406,-0.02631578947368418
2025-04-10,21650,21700,20850,21050,640520,0.03439803439803435
2025-04-11,22600,25000,22050,24150,3828486,0.14726840855106893
2025-04-14,23950,25400,23300,24200,1323723,0.0020703933747412417
2025-04-15,25400,25850,23900,24250,861006,0.0020661157024792765
2025-04-16,23800,24300,22700,22750,546125,-0.061855670103092786
2025-04-17,24250,24900,23200,23700,891337,0.04175824175824183
2025-04-18,24050,24500,23250,23750,732220,0.0021097046413502962
2025-04-21,24250,28650,23850,27850,3588959,0.17263157894736847
2025-04-22,26350,26600,25500,26200,1062057,-0.05924596050269304
2025-04-23,26300,26400,24750,26100,773154,-0.003816793893129722
2025-04-24,27050,29350,24050,24200,3009810,-0.07279693486590033
2025-04-25,24750,25150,24100,24400,445625,0.008264462809917328
2025-04-28,23700,23900,20550,21100,706556,-0.13524590163934425
2025-04-29,21600,21850,20900,21150,268096,0.0023696682464455776
2025-04-30,23250,25400,22300,22850,3926332,0.08037825059101644
2025-05-02,23400,23650,21750,22500,531375,-0.015317286652078765
2025-05-07,21750,23750,20800,22150,1157029,-0.015555555555555545
2025-05-08,22150,22800,22050,22200,315589,0.0022573363431150906
2025-05-09,22500,22750,21050,21050,298263,-0.05180180180180183
2025-05-12,21250,22250,20900,22150,327530,0.052256532066508266
2025-05-13,21900,24400,21400,23000,1540750,0.038374717832957206
