Date,Open,High,Low,Close,Volume,Change
2022-01-03,3165,3180,3120,3155,36439,-0.003159557661927326
2022-01-04,3165,3170,3105,3135,57893,-0.006339144215530945
2022-01-05,3135,3145,3105,3135,49347,0.0
2022-01-06,3120,3205,3100,3120,80976,-0.004784688995215336
2022-01-07,3135,3195,3125,3165,21788,0.014423076923076872
2022-01-10,3200,3200,3130,3165,20541,0.0
2022-01-11,3150,3150,3095,3120,27617,-0.014218009478673022
2022-01-12,3115,3150,3100,3135,45306,0.004807692307692291
2022-01-13,3150,3170,3105,3160,36191,0.00797448165869219
2022-01-14,3145,3165,3095,3125,47073,-0.011075949367088556
2022-01-17,3105,3125,3065,3075,45190,-0.016000000000000014
2022-01-18,3070,3105,3005,3010,57348,-0.021138211382113803
2022-01-19,3050,3085,2960,3025,23138,0.004983388704318914
2022-01-20,3025,3060,2975,3030,18025,0.0016528925619834212
2022-01-21,3000,3030,2975,3015,21231,-0.004950495049504955
2022-01-24,2995,3010,2905,2965,40407,-0.016583747927031545
2022-01-25,2930,2950,2855,2915,39774,-0.016863406408094472
2022-01-26,2860,2990,2860,2945,9225,0.010291595197255532
2022-01-27,3030,3030,2845,2850,51970,-0.032258064516129004
2022-01-28,2880,3020,2825,2940,27928,0.03157894736842115
2022-02-03,2950,2990,2950,2980,16334,0.013605442176870763
2022-02-04,2990,2995,2965,2965,22054,-0.005033557046979831
2022-02-07,2985,3005,2950,3005,12184,0.013490725126475533
2022-02-08,2990,3010,2980,2980,8193,-0.008319467554076532
2022-02-09,2975,3010,2965,2990,23294,0.003355704697986628
2022-02-10,2990,3040,2960,3020,28496,0.010033444816053505
2022-02-11,3010,3035,2970,2985,5573,-0.011589403973509937
2022-02-14,2970,2995,2840,2890,27232,-0.031825795644891075
2022-02-15,2855,2970,2825,2930,15041,0.01384083044982698
2022-02-16,2930,3025,2930,2995,23395,0.022184300341296925
2022-02-17,3000,3010,2965,2970,18071,-0.008347245409014992
2022-02-18,2945,3030,2940,3025,15689,0.0185185185185186
2022-02-21,3020,3025,2995,3020,21863,-0.0016528925619834212
2022-02-22,2990,3015,2945,2950,13666,-0.023178807947019875
2022-02-23,2945,2970,2945,2955,29180,0.0016949152542373724
2022-02-24,2970,2980,2890,2920,15783,-0.011844331641285955
2022-02-25,2940,2950,2900,2940,12381,0.006849315068493178
2022-02-28,2935,2965,2930,2960,5410,0.006802721088435382
2022-03-02,2960,2980,2950,2970,15086,0.0033783783783782884
2022-03-03,2970,2990,2940,2980,23271,0.0033670033670034627
2022-03-04,2980,2980,2945,2975,16021,-0.001677852348993314
2022-03-07,2975,2975,2895,2940,17044,-0.0117647058823529
2022-03-08,2940,2985,2905,2940,7555,0.0
2022-03-10,2980,2995,2935,2990,24528,0.017006802721088343
2022-03-11,2990,3000,2970,2990,9577,0.0
2022-03-14,2970,3000,2940,2965,10058,-0.00836120401337792
2022-03-15,2965,2970,2945,2965,10338,0.0
2022-03-16,2960,3000,2955,3000,24875,0.01180438448566612
2022-03-17,3010,3020,2970,3010,35382,0.0033333333333334103
2022-03-18,3010,3020,2985,3020,15689,0.0033222591362125353
2022-03-21,3020,3255,3020,3085,115534,0.021523178807947074
2022-03-22,3100,3100,3075,3095,22746,0.0032414910858995505
2022-03-23,3110,3180,3105,3135,219521,0.01292407108239102
2022-03-24,3240,3240,3130,3175,201681,0.012759170653907415
2022-03-25,3175,3210,3140,3145,30952,-0.009448818897637823
2022-03-28,3155,3280,3135,3215,66768,0.022257551669316422
2022-03-29,3210,3250,3180,3235,49916,0.0062208398133747345
2022-03-30,3225,3225,3110,3220,17996,-0.004636785162287493
2022-03-31,3185,3240,3175,3235,38784,0.004658385093167627
2022-04-01,3205,3230,3160,3215,42234,-0.0061823802163832875
2022-04-04,3210,3265,3180,3220,31260,0.0015552099533437946
2022-04-05,3200,3240,3200,3215,30204,-0.0015527950310558758
2022-04-06,3210,3275,3180,3230,55602,0.004665629860031162
2022-04-07,3220,3230,3175,3195,14469,-0.010835913312693513
2022-04-08,3205,3250,3190,3230,43249,0.010954616588419341
2022-04-11,3230,3300,3205,3260,133130,0.009287925696594534
2022-04-12,3240,3330,3200,3285,112880,0.0076687116564417845
2022-04-13,3285,3325,3250,3295,52265,0.003044140030441511
2022-04-14,3295,3300,3235,3280,50529,-0.004552352048558417
2022-04-15,3260,3320,3245,3295,32705,0.004573170731707377
2022-04-18,3300,3315,3250,3275,31071,-0.006069802731411222
2022-04-19,3250,3305,3245,3300,28629,0.007633587786259444
2022-04-20,3275,3320,3265,3315,38312,0.00454545454545463
2022-04-21,3315,3375,3315,3360,74567,0.013574660633484115
