Date,Open,High,Low,Close,Volume,Change
2022-01-03,911,934,900,905,844932,-0.004400440044004417
2022-01-04,911,927,894,918,629072,0.01436464088397793
2022-01-05,919,927,906,913,542055,-0.005446623093681935
2022-01-06,896,1015,896,953,3057149,0.04381161007667034
2022-01-07,895,957,895,950,534646,-0.0031479538300105414
2022-01-10,939,950,893,900,817189,-0.052631578947368474
2022-01-11,901,914,850,888,308897,-0.013333333333333308
2022-01-12,886,886,856,876,285131,-0.013513513513513487
2022-01-13,879,893,864,885,219524,0.010273972602739656
2022-01-14,880,894,855,892,290521,0.00790960451977396
2022-01-17,880,887,822,827,724928,-0.07286995515695072
2022-01-18,821,841,800,807,501466,-0.024183796856106388
2022-01-19,812,830,795,803,377966,-0.00495662949194553
2022-01-20,808,836,802,832,280077,0.036114570361145626
2022-01-21,838,838,819,831,226124,-0.0012019230769231282
2022-01-24,825,825,791,800,329215,-0.03730445246690739
2022-01-25,796,805,731,769,340392,-0.03874999999999995
2022-01-26,765,765,716,747,249779,-0.02860858257477239
2022-01-27,747,755,712,739,475599,-0.010709504685408322
2022-01-28,739,791,719,781,280388,0.05683355886332886
2022-02-03,790,820,786,803,400856,0.028169014084507005
2022-02-04,804,814,789,806,152380,0.0037359900373599153
2022-02-07,817,818,800,815,133595,0.011166253101736912
2022-02-08,817,821,791,808,226565,-0.008588957055214674
2022-02-09,811,824,795,809,180416,0.0012376237623761277
2022-02-10,809,827,800,815,209617,0.007416563658838138
2022-02-11,810,823,785,796,304302,-0.0233128834355828
2022-02-14,794,802,742,756,265614,-0.05025125628140703
2022-02-15,755,786,725,726,394908,-0.03968253968253965
2022-02-16,737,765,737,765,270671,0.05371900826446274
2022-02-17,772,774,731,759,336633,-0.007843137254901933
2022-02-18,748,793,731,768,626271,0.011857707509881354
2022-02-21,920,998,851,998,13498191,0.29947916666666674
2022-02-22,1170,1175,906,916,17325505,-0.0821643286573146
2022-02-23,910,1050,907,989,11909100,0.07969432314410474
2022-02-24,985,1020,905,905,3845690,-0.08493427704752277
2022-02-25,920,961,895,896,2656380,-0.009944751381215422
2022-02-28,894,934,874,879,1894002,-0.0189732142857143
2022-03-02,879,879,850,868,987365,-0.012514220705347023
2022-03-03,850,851,824,837,1547188,-0.0357142857142857
2022-03-04,831,831,799,804,1072529,-0.03942652329749108
2022-03-07,799,833,782,791,1007833,-0.016169154228855676
2022-03-08,783,789,754,759,855269,-0.04045512010113783
2022-03-10,759,789,748,778,511378,0.025032938076416267
2022-03-11,779,788,770,780,311192,0.0025706940874035134
2022-03-14,780,780,747,749,539615,-0.03974358974358971
2022-03-15,740,748,731,744,439252,-0.006675567423230944
