Date,Open,High,Low,Close,Volume,Change
2025-03-20,21300,27150,19000,20700,30913639,
2025-03-21,19530,22200,17620,17710,11094220,-0.1444444444444445
2025-03-24,19480,21200,18330,18590,5940764,0.049689440993788914
2025-03-25,19080,21350,18550,19680,5703054,0.05863367401828934
2025-03-26,19670,20200,18080,18300,1879643,-0.07012195121951215
2025-03-27,17770,22350,17100,21900,14084609,0.19672131147540983
2025-03-28,21300,21700,19880,20200,4491687,-0.07762557077625576
2025-03-31,21250,23300,20600,21450,11159509,0.061881188118811936
2025-04-01,21850,25000,21250,24450,13330954,0.1398601398601398
2025-04-02,24800,27100,23500,24150,7204736,-0.012269938650306789
2025-04-03,23550,25250,22900,23150,2391757,-0.04140786749482406
2025-04-04,23800,24050,20050,20200,2185773,-0.12742980561555073
2025-04-07,18760,21950,18120,20200,3025177,0.0
2025-04-08,20550,21100,18710,18800,1074745,-0.06930693069306926
2025-04-09,18600,19900,18070,18200,994335,-0.03191489361702127
2025-04-10,19750,19760,18850,18990,766220,0.043406593406593474
2025-04-11,18690,19340,18450,19100,860824,0.005792522380200005
2025-04-14,19260,19290,18530,18530,599630,-0.0298429319371728
2025-04-15,18810,22800,18780,21750,9853089,0.17377226119805722
2025-04-16,21500,22250,20650,22250,2031459,0.02298850574712641
2025-04-17,22000,23600,21550,23100,4527864,0.038202247191011285
2025-04-18,22650,23800,22000,22000,2343610,-0.04761904761904767
2025-04-21,21200,22550,20900,21150,1404700,-0.03863636363636369
2025-04-22,20900,22500,20900,21750,1652661,0.028368794326241176
2025-04-23,22100,22300,21250,21300,614840,-0.020689655172413834
2025-04-24,21700,22850,21100,21200,2378217,-0.0046948356807511304
2025-04-25,21300,21750,20000,20100,849694,-0.05188679245283023
2025-04-28,20150,20450,19180,19210,466721,-0.04427860696517416
2025-04-29,19380,19930,19090,19150,396744,-0.003123373243102523
2025-04-30,19300,19440,18190,18540,397105,-0.03185378590078325
2025-05-02,18540,19090,18450,18660,347630,0.006472491909385036
2025-05-07,18850,19950,18840,19480,805286,0.04394426580921751
2025-05-08,19520,19780,19210,19340,417449,-0.007186858316221789
2025-05-09,19340,19340,18460,18470,367139,-0.04498448810754907
2025-05-12,18620,18830,18280,18560,266018,0.004872766648619464
2025-05-13,18810,20300,18710,18860,1446695,0.016163793103448176
2025-05-14,19180,19360,18670,19320,548953,0.024390243902439046
2025-05-15,19500,19600,18740,18740,381979,-0.03002070393374745
2025-05-16,18740,18870,18000,18000,379837,-0.039487726787620026
2025-05-19,17750,17790,16610,16740,355753,-0.06999999999999995
2025-05-20,16960,17450,16600,16730,262479,-0.0005973715651135247
2025-05-21,16730,17210,16660,16920,153360,0.011356843992827326
2025-05-22,16920,16920,15630,15630,353045,-0.07624113475177308
2025-05-23,15650,15960,15450,15870,143862,0.015355086372360827
2025-05-26,16020,16820,15940,16570,343851,0.04410838059231259
2025-05-27,16410,16490,16010,16220,132548,-0.021122510561255248
2025-05-28,16680,17440,16300,16630,600750,0.02527743526510484
2025-05-29,16650,16750,16320,16350,168496,-0.016837041491280846
2025-05-30,16320,16370,15870,15890,137933,-0.028134556574923586
2025-06-02,15870,15870,15500,15710,96737,-0.011327879169288901
2025-06-04,15980,17300,15970,16440,638939,0.04646721833227252
2025-06-05,16560,16920,16360,16610,182518,0.010340632603406341
2025-06-09,16690,16930,16500,16770,208197,0.009632751354605729
2025-06-10,16860,16910,16540,16620,156774,-0.008944543828264706
2025-06-11,16670,16750,16420,16530,129578,-0.005415162454873612
2025-06-12,16470,16570,16270,16390,148212,-0.008469449485783431
2025-06-13,16550,16550,15745,16200,254311,-0.011592434411226371
2025-06-16,16100,16230,15760,16190,118705,-0.0006172839506173311
2025-06-17,16130,16660,16040,16290,181887,0.0061766522544781655
2025-06-18,16390,16390,16100,16160,98822,-0.007980356046654369
2025-06-19,16200,16660,15870,16050,136731,-0.0068069306930692575
2025-06-20,15730,16480,15730,16180,207779,0.008099688473520272
2025-06-23,16110,16920,15470,16620,468094,0.027194066749072876
2025-06-24,17130,17340,16660,16730,438642,0.006618531889289958
2025-06-25,16830,16830,16100,16310,159227,-0.025104602510460206
2025-06-26,16360,16490,15770,15910,128555,-0.024524831391784185
2025-06-27,15950,16370,15850,15940,134606,0.0018856065367693908
2025-06-30,16090,16220,15560,15710,119475,-0.014429109159347586
2025-07-01,15710,15850,15610,15620,48393,-0.005728835136855515
2025-07-02,15670,15680,14960,15020,89932,-0.03841229193341866
2025-07-03,15170,15170,14550,14850,121591,-0.011318242343541951
2025-07-04,14800,14920,14290,14330,100287,-0.03501683501683506
2025-07-07,14290,14380,13960,13990,50359,-0.023726448011165413
2025-07-08,13910,14040,13860,14040,58842,0.0035739814152966343
2025-07-09,14150,14400,13960,14400,44596,0.02564102564102555
2025-07-10,14400,14470,14270,14400,28479,0.0
2025-07-11,14390,14420,14260,14270,29825,-0.009027777777777746
2025-07-14,14210,14330,13960,13960,31197,-0.021723896285914535
2025-07-15,13930,14310,13780,14190,65438,0.016475644699140313
2025-07-16,14190,14240,13920,13940,23222,-0.01761804087385488
2025-07-17,14150,14300,13880,14040,31673,0.007173601147776099
