Date,Open,High,Low,Close,Volume,Change
2022-01-03,3545,3560,3525,3550,69521,0.0014104372355430161
2022-01-04,3540,3570,3525,3550,26707,0.0
2022-01-05,3555,3560,3510,3510,42402,-0.011267605633802802
2022-01-06,3475,3525,3460,3515,64148,0.0014245014245013454
2022-01-07,3500,3620,3500,3525,172171,0.002844950213371167
2022-01-10,3550,3555,3495,3525,85605,0.0
2022-01-11,3520,3545,3425,3460,116775,-0.018439716312056764
2022-01-12,3460,3500,3460,3490,48536,0.00867052023121384
2022-01-13,3495,3510,3460,3480,68063,-0.002865329512893977
2022-01-14,3435,3480,3400,3465,66625,-0.004310344827586188
2022-01-17,3450,3455,3320,3360,82588,-0.030303030303030276
2022-01-18,3360,3400,3300,3315,103506,-0.013392857142857095
2022-01-19,3305,3340,3230,3295,56115,-0.006033182503770718
2022-01-20,3240,3335,3240,3310,46591,0.004552352048558417
2022-01-21,3315,3340,3300,3315,30687,0.0015105740181269312
2022-01-24,3300,3315,3220,3220,68930,-0.02865761689291102
2022-01-25,3220,3270,3130,3135,156696,-0.026397515527950333
2022-01-26,3135,3215,3135,3155,54689,0.006379585326953707
2022-01-27,3130,3165,3020,3120,64992,-0.011093502377179099
2022-01-28,3100,3180,3030,3115,122873,-0.0016025641025640969
2022-02-03,3180,3210,3160,3195,69916,0.025682182985553803
2022-02-04,3195,3245,3195,3245,56001,0.015649452269170583
2022-02-07,3250,3290,3205,3235,29779,-0.0030816640986132127
2022-02-08,3210,3255,3210,3235,38194,0.0
2022-02-09,3245,3345,3240,3300,52630,0.020092735703245657
2022-02-10,3305,3370,3265,3310,54408,0.003030303030302939
2022-02-11,3310,3365,3275,3315,45792,0.0015105740181269312
2022-02-14,3250,3290,3200,3280,32639,-0.010558069381598756
2022-02-15,3260,3280,3175,3215,38120,-0.01981707317073167
2022-02-16,3225,3320,3175,3315,59574,0.031104199066874116
2022-02-17,3325,3335,3275,3280,43617,-0.010558069381598756
2022-02-18,3280,3315,3250,3300,45229,0.0060975609756097615
2022-02-21,3295,3320,3250,3310,26409,0.003030303030302939
2022-02-22,3275,3310,3240,3270,41866,-0.012084592145015116
2022-02-23,3250,3300,3225,3280,30607,0.003058103975535076
2022-02-24,3285,3285,3215,3215,26983,-0.01981707317073167
2022-02-25,3225,3410,3225,3315,137570,0.031104199066874116
2022-02-28,3315,3425,3300,3390,119309,0.02262443438914019
2022-03-02,3420,3465,3390,3420,69578,0.008849557522123908
2022-03-03,3455,3455,3395,3440,27662,0.005847953216374213
2022-03-04,3440,3460,3400,3445,37790,0.0014534883720929148
2022-03-07,3425,3590,3385,3410,393453,-0.010159651669085612
2022-03-08,3490,3530,3430,3460,574790,0.014662756598240456
2022-03-10,3460,3540,3450,3475,107695,0.004335260115607031
2022-03-11,3490,3490,3400,3475,88842,0.0
2022-03-14,3415,3480,3405,3420,67216,-0.015827338129496438
2022-03-15,3405,3415,3350,3375,68764,-0.013157894736842146
2022-03-16,3375,3420,3370,3410,38963,0.010370370370370363
2022-03-17,3435,3455,3420,3430,26260,0.0058651026392961825
2022-03-18,3455,3475,3435,3440,68071,0.00291545189504383
2022-03-21,3445,3445,3340,3400,68546,-0.011627906976744207
2022-03-22,3410,3445,3400,3415,24543,0.004411764705882337
2022-03-23,3450,3640,3430,3530,819917,0.033674963396779
