Date,Open,High,Low,Close,Volume,Change
2022-01-03,850,860,827,858,2270,-0.0023255813953488857
2022-01-04,919,919,831,850,2044,-0.009324009324009341
2022-01-05,880,880,725,835,20664,-0.01764705882352946
2022-01-06,950,950,921,922,102,0.10419161676646715
2022-01-07,849,850,800,826,11196,-0.10412147505422997
2022-01-10,828,828,800,801,864,-0.030266343825665842
2022-01-11,890,890,741,824,30946,0.02871410736579283
2022-01-12,900,900,765,800,9851,-0.029126213592232997
2022-01-13,850,850,820,820,102,0.02499999999999991
2022-01-14,820,820,819,819,305,-0.0012195121951219523
2022-01-17,819,819,800,818,1741,-0.0012210012210012167
2022-01-18,818,818,735,799,20622,-0.023227383863080653
2022-01-19,799,839,799,800,2883,0.0012515644555695093
2022-01-20,880,880,876,876,103,0.09499999999999997
2022-01-21,889,889,800,885,2096,0.010273972602739656
2022-01-24,900,900,876,893,12,0.009039548022598876
2022-01-25,897,897,850,894,621,0.0011198208286673506
2022-01-26,871,871,871,871,100,-0.02572706935123048
2022-01-27,890,890,890,890,1,0.021814006888633664
2022-01-28,884,884,884,884,0,-0.006741573033707815
2022-02-03,880,880,869,870,201,-0.015837104072398245
2022-02-04,880,880,875,875,110,0.005747126436781658
2022-02-07,896,896,894,894,105,0.021714285714285797
2022-02-08,893,893,893,893,102,-0.0011185682326622093
2022-02-09,889,889,889,889,62,-0.004479283314669624
2022-02-10,759,900,759,889,2172,0.0
2022-02-11,880,880,869,870,507,-0.021372328458942658
2022-02-14,869,870,800,866,5314,-0.0045977011494252595
2022-02-15,850,850,836,850,319,-0.018475750577367167
2022-02-16,838,840,838,840,112,-0.0117647058823529
2022-02-17,910,910,910,910,1,0.08333333333333326
2022-02-18,850,850,850,850,1,-0.06593406593406592
2022-02-21,900,900,876,877,627,0.03176470588235292
2022-02-22,868,868,868,868,0,-0.010262257696693311
2022-02-23,840,840,840,840,6,-0.032258064516129004
2022-02-24,899,899,869,869,2,0.03452380952380962
2022-02-25,899,899,869,869,2001,0.0
2022-02-28,900,900,761,879,180,0.011507479861910141
2022-03-02,895,895,895,895,1,0.018202502844141044
2022-03-03,895,898,777,889,1355,-0.006703910614525133
2022-03-04,870,870,770,844,2360,-0.0506186726659168
2022-03-07,860,860,799,799,272,-0.05331753554502372
2022-03-08,799,800,799,800,1310,0.0012515644555695093
2022-03-10,800,800,800,800,2,0.0
2022-03-11,800,800,800,800,338,0.0
2022-03-14,731,881,730,874,817,0.09250000000000003
2022-03-15,850,879,743,785,3844,-0.10183066361556059
2022-03-16,786,828,785,828,41,0.054777070063694255
2022-03-17,799,799,798,799,1361,-0.035024154589372025
2022-03-18,850,850,825,825,552,0.03254067584480591
2022-03-21,850,850,820,828,189,0.0036363636363636598
2022-03-22,880,880,880,880,1,0.06280193236714982
2022-03-23,860,860,800,860,4,-0.022727272727272707
2022-03-24,870,870,800,853,15,-0.008139534883720878
2022-03-25,869,869,869,869,1,0.01875732708089095
2022-03-28,890,890,833,859,544,-0.011507479861910253
2022-03-29,879,879,879,879,1,0.02328288707799775
2022-03-30,762,820,762,820,287,-0.06712172923777016
2022-03-31,730,840,730,814,4271,-0.007317073170731714
2022-04-01,848,848,814,820,1202,0.0073710073710073765
2022-04-04,820,850,750,820,4733,0.0
2022-04-05,850,850,850,850,1,0.03658536585365857
2022-04-06,805,849,791,848,679,-0.0023529411764705577
2022-04-07,820,820,814,814,113,-0.04009433962264153
2022-04-08,849,849,736,736,2,-0.09582309582309578
2022-04-11,832,832,816,816,1013,0.10869565217391308
2022-04-12,839,839,733,818,204,0.002450980392156854
2022-04-13,829,829,730,827,1358,0.011002444987775029
2022-04-14,828,828,742,809,7456,-0.021765417170495738
2022-04-15,784,785,784,785,655,-0.02966625463535233
2022-04-18,820,820,808,808,2,0.029299363057324834
2022-04-19,798,798,785,785,144,-0.02846534653465349
2022-04-20,848,848,820,820,525,0.04458598726114649
2022-04-21,799,802,798,802,3338,-0.02195121951219514
2022-04-22,794,794,790,794,1631,-0.009975062344139696
2022-04-25,829,829,730,828,812,0.04282115869017633
2022-04-26,829,829,828,828,11,0.0
2022-04-27,720,780,720,730,1805,-0.11835748792270528
2022-04-28,735,789,730,788,561,0.07945205479452055
2022-04-29,785,848,785,785,1202,-0.0038071065989847552
2022-05-02,730,833,730,833,544,0.06114649681528661
2022-05-03,790,833,790,833,476,0.0
2022-05-04,753,831,753,831,102,-0.0024009603841537164
2022-05-06,799,800,799,800,102,-0.03730445246690739
2022-05-09,833,833,736,828,249,0.03499999999999992
2022-05-10,819,819,819,819,0,-0.010869565217391353
2022-05-11,816,816,816,816,11,-0.00366300366300365
2022-05-12,815,815,815,815,0,-0.001225490196078427
2022-05-13,814,832,800,817,172,0.0024539877300613355
2022-05-16,816,816,800,812,14,-0.006119951040391647
2022-05-17,826,826,826,826,1,0.01724137931034475
2022-05-18,827,827,733,823,1375,-0.003631961259079941
2022-05-19,823,823,820,820,2,-0.0036452004860266785
2022-05-20,730,819,730,799,1098,-0.025609756097561
2022-05-23,849,849,731,821,497,0.027534418022528095
2022-05-24,848,848,819,819,2004,-0.0024360535931789995
2022-05-25,840,845,819,825,19303,0.0073260073260073
2022-05-26,800,850,800,824,1686,-0.00121212121212122
2022-05-27,839,839,810,810,1006,-0.016990291262135915
2022-05-30,710,930,710,848,16,0.04691358024691361
2022-05-31,848,850,750,848,2576,0.0
2022-06-02,849,849,847,847,2,-0.001179245283018826
2022-06-03,846,881,830,881,10008,0.04014167650531286
2022-06-07,888,888,761,886,1356,0.00567536889897835
2022-06-08,899,899,899,899,1,0.0146726862302482
2022-06-09,800,899,800,890,1955,-0.010011123470522798
2022-06-10,886,886,886,886,0,-0.004494382022471877
2022-06-13,770,830,770,830,2010,-0.06320541760722342
2022-06-14,829,829,827,827,13,-0.0036144578313253017
2022-06-15,886,886,886,886,1,0.071342200725514
2022-06-16,849,849,847,847,2,-0.04401805869074493
2022-06-17,799,879,731,740,3373,-0.12632821723730814
2022-06-20,716,820,716,817,3897,0.10405405405405399
2022-06-21,889,889,889,889,1,0.08812729498164007
2022-06-22,887,887,760,885,12942,-0.004499437570303688
2022-06-23,800,869,753,859,14667,-0.029378531073446346
2022-06-24,800,800,798,798,651,-0.07101280558789291
2022-06-27,886,886,735,799,3603,0.0012531328320801727
2022-06-28,715,789,715,778,251,-0.026282853566958697
2022-06-29,849,849,759,772,720,-0.007712082262210762
2022-06-30,772,772,700,701,4,-0.09196891191709844
2022-07-01,701,799,701,789,32,0.12553495007132676
2022-07-04,879,879,731,793,767,0.005069708491761693
2022-07-05,790,790,790,790,2,-0.003783102143757877
2022-07-06,789,789,789,789,294,-0.0012658227848101333
2022-07-07,846,846,707,803,5,0.017743979721166037
2022-07-08,800,800,799,799,27,-0.00498132004981322
2022-07-11,800,800,716,800,3,0.0012515644555695093
2022-07-12,845,845,750,750,3,-0.0625
2022-07-13,845,845,845,845,1,0.1266666666666667
2022-07-14,800,800,800,800,1577,-0.053254437869822535
2022-07-15,800,800,685,779,6386,-0.026249999999999996
2022-07-18,889,889,780,803,157,0.030808729139923052
2022-07-19,800,803,794,795,4683,-0.00996264009962644
2022-07-20,795,843,725,804,779,0.01132075471698113
2022-07-21,800,800,710,789,7460,-0.018656716417910446
2022-07-22,789,789,777,777,19,-0.01520912547528519
2022-07-25,774,774,774,774,2382,-0.0038610038610038533
2022-07-26,795,795,775,775,272,0.0012919896640826156
2022-07-27,775,840,715,785,7501,0.012903225806451646
2022-07-28,675,784,675,783,7503,-0.002547770700636942
2022-07-29,793,793,787,787,21,0.005108556832694733
2022-08-01,794,794,690,750,1534,-0.04701397712833544
2022-08-02,784,784,638,764,30420,0.01866666666666661
2022-08-03,690,774,670,700,3552,-0.08376963350785338
2022-08-04,700,778,650,774,2012,0.10571428571428565
2022-08-05,789,789,785,785,11,0.01421188630490966
2022-08-08,760,760,669,699,1094,-0.10955414012738851
2022-08-09,699,699,622,697,1310,-0.0028612303290415086
2022-08-10,610,690,610,689,3288,-0.011477761836441891
2022-08-11,783,783,777,777,33,0.12772133526850515
2022-08-12,700,700,684,684,630,-0.11969111969111967
2022-08-16,773,773,680,680,689,-0.005847953216374324
2022-08-17,750,750,650,748,317,0.10000000000000009
2022-08-18,788,788,640,774,2856,0.03475935828876997
2022-08-19,774,777,774,777,2,0.003875968992248069
2022-08-22,773,773,661,729,2416,-0.061776061776061764
2022-08-23,725,725,700,722,12,-0.009602194787380003
2022-08-24,621,746,621,746,135,0.0332409972299168
2022-08-25,636,742,636,720,184,-0.034852546916890104
2022-08-26,789,789,650,767,983,0.06527777777777777
2022-08-29,780,780,777,777,2,0.01303780964797907
2022-08-30,790,790,790,790,1,0.016731016731016624
2022-08-31,675,780,672,780,3182,-0.012658227848101222
2022-09-01,781,782,665,782,3897,0.002564102564102555
2022-09-02,779,781,779,781,10201,-0.0012787723785165905
2022-09-05,781,781,750,750,2,-0.03969270166453265
2022-09-06,750,779,665,748,1588,-0.002666666666666706
2022-09-07,729,729,729,729,2,-0.025401069518716568
2022-09-08,709,709,709,709,713,-0.027434842249657088
2022-09-13,700,700,700,700,127,-0.012693935119887145
2022-09-14,700,700,650,699,106,-0.0014285714285714457
2022-09-15,769,769,611,756,39,0.0815450643776825
2022-09-16,728,728,728,728,0,-0.03703703703703709
2022-09-19,699,768,699,768,13121,0.05494505494505497
2022-09-20,660,660,660,660,1500,-0.140625
2022-09-21,708,708,708,708,10,0.07272727272727275
2022-09-22,699,699,697,697,12,-0.015536723163841804
2022-09-23,615,694,615,675,4622,-0.031563845050215256
2022-09-26,729,729,600,643,1711,-0.047407407407407454
2022-09-27,729,729,690,690,110,0.07309486780715391
2022-09-28,746,746,746,746,1,0.08115942028985512
2022-09-29,744,744,742,742,3,-0.00536193029490617
2022-09-30,631,727,631,727,2512,-0.020215633423180557
2022-10-04,723,723,723,723,1,-0.005502063273727598
2022-10-05,675,675,620,661,2296,-0.08575380359612728
2022-10-06,661,727,661,727,14,0.09984871406959162
2022-10-07,719,719,681,681,8,-0.06327372764786798
2022-10-11,707,707,669,669,2,-0.017621145374449365
2022-10-12,640,640,640,640,11,-0.0433482810164425
2022-10-13,569,640,550,630,214,-0.015625
2022-10-14,540,630,540,630,1116,0.0
2022-10-17,640,640,630,630,2302,0.0
2022-10-18,630,630,545,628,1229,-0.0031746031746031633
2022-10-19,699,699,546,675,15,0.07484076433121012
2022-10-20,740,740,574,722,4569,0.06962962962962971
2022-10-21,739,739,739,739,1,0.023545706371191244
2022-10-24,724,724,724,724,0,-0.020297699594046037
2022-10-25,738,738,733,733,101,0.012430939226519389
2022-10-26,729,729,729,729,1,-0.00545702592087316
2022-10-27,719,736,719,736,2,0.009602194787379892
2022-10-28,739,739,732,732,3,-0.005434782608695676
2022-10-31,729,729,729,729,1,-0.004098360655737654
2022-11-01,733,733,732,732,101,0.004115226337448652
2022-11-02,735,739,735,739,31,0.0095628415300546
2022-11-03,732,732,732,732,0,-0.009472259810554773
2022-11-04,734,734,734,734,1,0.002732240437158362
2022-11-07,739,739,739,739,1,0.006811989100817373
2022-11-08,738,738,732,732,2,-0.009472259810554773
2022-11-09,630,724,630,724,175,-0.010928961748633892
2022-11-10,723,723,719,719,3,-0.006906077348066253
2022-11-11,717,717,690,690,91,-0.04033379694019468
2022-11-14,740,740,730,730,11,0.05797101449275366
2022-11-15,738,738,700,734,203,0.005479452054794498
2022-11-16,839,839,839,839,1,0.14305177111716616
2022-11-17,714,714,714,714,509,-0.14898688915375446
2022-11-18,714,714,620,679,5115,-0.0490196078431373
2022-11-21,680,680,679,679,11,0.0
2022-11-22,739,739,739,739,10,0.08836524300441817
2022-11-23,735,735,731,731,102,-0.010825439783491153
2022-11-24,728,728,727,727,2,-0.005471956224350261
2022-11-25,790,790,740,740,1908,0.017881705639614776
2022-11-28,717,717,717,717,1,-0.031081081081081097
2022-11-29,739,739,739,739,19,0.030683403068340276
2022-11-30,700,700,636,637,1969,-0.1380243572395129
2022-12-01,719,719,679,679,264,0.06593406593406592
2022-12-02,650,650,650,650,1604,-0.04270986745213545
2022-12-05,650,700,650,700,536,0.07692307692307687
2022-12-06,740,740,612,736,311,0.05142857142857138
2022-12-07,735,740,735,740,60,0.005434782608695565
2022-12-08,800,800,800,800,1,0.08108108108108114
