Date,Open,High,Low,Close,Volume,Change
2022-01-03,11202,11407,11049,11254,40686,0.009236839745314418
2022-01-04,11253,12173,11202,11509,163002,0.0226586102719033
2022-01-05,11458,11458,11100,11100,41136,-0.0355374055087323
2022-01-06,10895,11150,10588,10844,36205,-0.02306306306306305
2022-01-07,10793,11458,10742,11407,49593,0.05191811139800806
2022-01-10,11407,11407,10998,10998,39120,-0.035855176645919196
2022-01-11,11100,11304,10691,10998,59449,0.0
2022-01-12,11253,11253,10690,10793,72643,-0.018639752682305888
2022-01-13,10895,10997,10383,10537,47740,-0.02371907717965349
2022-01-14,10383,10588,10332,10537,43473,0.0
2022-01-17,10537,10588,10036,10036,97477,-0.0475467400588403
2022-01-18,10087,10210,9852,9852,36003,-0.018333997608608987
2022-01-19,9821,9954,9596,9617,38594,-0.023853024766544828
2022-01-20,9616,9779,9554,9739,18010,0.012685868774045872
2022-01-21,9729,9862,9555,9658,36357,-0.008317075675120633
2022-01-24,9657,9657,9166,9207,56928,-0.046697038724373585
2022-01-25,9258,9391,8358,8471,72526,-0.07993917671337025
2022-01-26,8491,8696,8491,8645,34253,0.020540668161964426
2022-01-27,8542,8685,8368,8430,23013,-0.02486986697513016
2022-01-28,8429,8757,8337,8706,71131,0.03274021352313161
2022-02-03,8726,9391,8726,9330,67143,0.07167470709855261
2022-02-04,9268,9268,8879,9064,27310,-0.028510182207931445
2022-02-07,9064,9074,8890,8921,33765,-0.015776699029126262
2022-02-08,9085,9085,8849,8952,16832,0.0034749467548480517
2022-02-09,9002,9135,8951,9105,12463,0.0170911528150135
2022-02-10,9156,9371,9074,9259,36013,0.01691378363536522
2022-02-11,9125,9350,8798,8798,27666,-0.049789394103034845
2022-02-14,8828,8828,8337,8491,31135,-0.03489429415776313
2022-02-15,8348,8532,8338,8338,14404,-0.018019079024849893
2022-02-16,8388,8665,8388,8614,18720,0.033101463180618795
2022-02-17,8705,9084,8593,8900,23129,0.03320176456930568
2022-02-18,8828,9023,8757,8921,9395,0.0023595505617977075
2022-02-21,8920,8992,8726,8931,8250,0.0011209505660800811
2022-02-22,8798,8839,8603,8655,8496,-0.030903594222371544
2022-02-23,8573,8696,8573,8645,9953,-0.0011554015020219799
2022-02-24,8654,8654,8306,8399,24258,-0.028455754771544273
2022-02-25,8399,8532,8368,8379,12881,-0.0023812358614120344
2022-02-28,8460,8460,8306,8399,6007,0.0023869196801526993
2022-03-02,8501,8798,8378,8798,20550,0.047505655435170935
2022-03-03,8757,8952,8757,8952,8405,0.017503978176858448
2022-03-04,8951,9115,8787,9115,11712,0.01820822162645208
2022-03-07,8951,9023,8787,8798,12487,-0.0347778387273725
2022-03-08,8603,8921,8409,8563,23244,-0.026710616049102076
2022-03-10,8563,8798,8532,8553,14296,-0.0011678150181011482
2022-03-11,8695,8695,8480,8573,13297,0.0023383608090727925
2022-03-14,8604,8686,8481,8553,14696,-0.0023329056339671528
2022-03-15,8388,8572,8388,8501,7711,-0.006079738103589416
2022-03-16,8511,9360,8511,8839,94358,0.03976002823197278
2022-03-17,9002,9002,8818,8941,18502,0.011539766941961682
2022-03-18,9043,9043,8829,8962,13884,0.0023487305670506498
2022-03-21,9033,9156,8961,9054,24702,0.010265565721937042
2022-03-22,9217,9217,8972,9095,7043,0.004528385244090938
2022-03-23,9095,9269,8992,9126,15654,0.0034084661902145097
