Date,Open,High,Low,Close,Volume,Change
2022-01-03,5180,5240,5150,5160,100671,0.0117647058823529
2022-01-04,5160,5190,5120,5180,44150,0.003875968992248069
2022-01-05,5180,5290,5160,5220,125109,0.007722007722007707
2022-01-06,5170,5220,5150,5170,46532,-0.009578544061302652
2022-01-07,5180,5250,5150,5220,36566,0.009671179883945946
2022-01-10,5210,5210,5110,5130,35706,-0.017241379310344862
2022-01-11,5130,5180,5010,5060,47488,-0.013645224171540016
2022-01-12,5050,5090,5020,5070,31708,0.0019762845849802257
2022-01-13,5070,5100,5000,5060,32838,-0.0019723865877712132
2022-01-14,5030,5300,4995,5160,203387,0.01976284584980248
2022-01-17,5240,5340,5070,5070,192318,-0.01744186046511631
2022-01-18,5020,5090,4900,4900,110204,-0.0335305719921104
2022-01-19,4850,4910,4810,4850,46445,-0.010204081632653073
2022-01-20,4850,4995,4850,4970,48130,0.024742268041237025
2022-01-21,4970,5040,4900,4985,48550,0.003018108651911433
2022-01-24,4975,4975,4705,4800,81028,-0.03711133400200606
2022-01-25,4800,4815,4530,4600,79033,-0.04166666666666663
2022-01-26,4600,4695,4500,4580,52801,-0.004347826086956497
2022-01-27,4640,4640,4370,4375,93764,-0.04475982532751088
2022-01-28,4360,4580,4345,4570,68785,0.044571428571428484
2022-02-03,4650,4750,4585,4715,42349,0.03172866520787743
2022-02-04,4700,4765,4650,4765,47394,0.010604453870625585
2022-02-07,4770,4780,4710,4770,13434,0.0010493179433368471
2022-02-08,4715,4800,4715,4720,39967,-0.010482180293501009
2022-02-09,4760,4760,4715,4740,7981,0.004237288135593209
2022-02-10,4750,4780,4740,4755,30742,0.0031645569620253333
2022-02-11,4720,4720,4630,4660,34475,-0.019978969505783373
2022-02-14,4650,4650,4475,4510,46811,-0.03218884120171672
2022-02-15,4460,4510,4385,4400,47749,-0.024390243902439046
2022-02-16,4435,4500,4290,4495,240541,0.021590909090908994
2022-02-17,4520,4575,4450,4510,63071,0.0033370411568409697
2022-02-18,4470,4640,4465,4610,39136,0.022172949002217335
2022-02-21,4600,4605,4520,4605,24876,-0.0010845986984815426
2022-02-22,4480,4540,4450,4465,72593,-0.030401737242128135
2022-02-23,4450,4600,4450,4510,31995,0.010078387458006821
2022-02-24,4455,4495,4400,4450,56772,-0.013303769401330379
2022-02-25,4455,4510,4440,4450,32673,0.0
2022-02-28,4455,4555,4450,4535,48871,0.019101123595505642
2022-03-02,4550,4625,4550,4610,50318,0.016538037486218293
2022-03-03,4635,4745,4620,4670,56386,0.013015184381778733
2022-03-04,4730,4790,4655,4715,50947,0.009635974304068595
2022-03-07,4715,4730,4615,4675,35859,-0.008483563096500557
2022-03-08,4685,4685,4575,4595,32258,-0.01711229946524062
2022-03-10,4670,4845,4670,4825,133649,0.05005440696409136
2022-03-11,4850,5380,4845,5140,1635846,0.06528497409326417
2022-03-14,5140,5220,5030,5100,193892,-0.0077821011673151474
2022-03-15,5130,5150,5000,5010,142788,-0.01764705882352946
2022-03-16,5060,5460,5020,5300,847453,0.05788423153692612
2022-03-17,5360,5360,5200,5220,259970,-0.015094339622641506
2022-03-18,5190,5220,5140,5180,84220,-0.007662835249042099
2022-03-21,5190,5510,5180,5270,719549,0.01737451737451745
2022-03-22,5270,5350,5240,5330,126175,0.011385199240986799
2022-03-23,5360,5360,5260,5320,125980,-0.0018761726078799779
2022-03-24,5310,5590,5250,5480,481564,0.03007518796992481
2022-03-25,5460,5480,5260,5260,239073,-0.04014598540145986
2022-03-28,5280,5340,5250,5250,86691,-0.0019011406844106071
2022-03-29,5290,5430,5230,5290,175177,0.007619047619047636
2022-03-30,5300,5300,5120,5170,100726,-0.022684310018903586
2022-03-31,5180,5210,5110,5150,38479,-0.003868471953578312
2022-04-01,5120,5180,5050,5070,91440,-0.01553398058252431
2022-04-04,5050,5140,5030,5120,70533,0.009861932938856066
2022-04-05,5150,5180,5090,5130,31415,0.001953125
2022-04-06,5120,5160,5030,5110,47642,-0.003898635477582846
2022-04-07,5110,5110,4940,5010,69127,-0.019569471624266144
2022-04-08,5000,5030,4955,5000,38724,-0.001996007984031989
2022-04-11,5000,5050,4940,5020,28987,0.0040000000000000036
2022-04-12,4975,5030,4950,5000,45764,-0.003984063745019917
2022-04-13,5020,5090,5010,5070,32157,0.014000000000000012
2022-04-14,5070,5080,5020,5050,26009,-0.0039447731755424265
2022-04-15,5050,5150,4990,5090,59421,0.007920792079207928
2022-04-18,5090,5170,5090,5160,42723,0.013752455795677854
2022-04-19,5130,5170,5100,5150,25078,-0.0019379844961240345
2022-04-20,5180,5190,5100,5180,39396,0.005825242718446644
2022-04-21,5180,5270,5150,5230,77537,0.009652509652509744
2022-04-22,5220,5230,5170,5230,28732,0.0
2022-04-25,5180,5200,5030,5040,56772,-0.03632887189292544
2022-04-26,5090,5110,4945,5050,79819,0.001984126984126977
2022-04-27,4960,5040,4960,4990,45978,-0.011881188118811892
2022-04-28,4965,5140,4965,5090,67302,0.02004008016032066
2022-04-29,5090,5190,5050,5170,62643,0.015717092337917515
2022-05-02,5170,5230,5150,5210,47393,0.007736943907156624
2022-05-03,5210,5240,5150,5180,46246,-0.0057581573896353655
2022-05-04,5180,5210,5140,5140,38276,-0.007722007722007707
2022-05-06,5090,5190,5070,5120,61331,-0.0038910505836575737
2022-05-09,5100,5130,4985,4985,40644,-0.0263671875
2022-05-10,4960,4980,4755,4870,60642,-0.02306920762286857
2022-05-11,4870,4910,4825,4845,44486,-0.005133470225872738
2022-05-12,4820,4890,4700,4745,61409,-0.02063983488132093
2022-05-13,4745,4820,4730,4770,22226,0.005268703898840821
2022-05-16,4800,4825,4760,4800,30301,0.0062893081761006275
2022-05-17,4860,5490,4820,4930,2630077,0.027083333333333348
2022-05-18,4975,5140,4970,5020,310461,0.018255578093306246
2022-05-19,4980,4980,4830,4910,138415,-0.021912350597609542
2022-05-20,5090,5150,5000,5030,185413,0.024439918533604832
2022-05-23,5040,5040,4890,4915,106922,-0.022862823061630233
2022-05-24,4970,4970,4765,4775,94811,-0.028484231943031513
2022-05-25,4750,4815,4705,4760,51192,-0.003141361256544517
2022-05-26,4800,4800,4740,4755,36994,-0.0010504201680672232
2022-05-27,4760,4790,4745,4770,22265,0.003154574132492094
2022-05-30,4770,4830,4760,4770,33622,0.0
2022-05-31,4800,4805,4760,4790,29514,0.004192872117400492
2022-06-02,4850,4850,4760,4775,44408,-0.0031315240083507057
2022-06-03,4840,4980,4790,4930,112363,0.032460732984293195
