Date,Open,High,Low,Close,Volume,Change
2022-01-03,4165,4180,4120,4165,86643,0.002406738868832692
2022-01-04,4190,4195,4130,4135,69176,-0.007202881152461038
2022-01-05,4135,4160,4050,4050,113674,-0.02055622732769047
2022-01-06,4000,4055,3985,3995,128758,-0.013580246913580285
2022-01-07,4035,4060,3990,4045,71079,0.01251564455569465
2022-01-10,4045,4070,3990,4010,83242,-0.008652657601977753
2022-01-11,4020,4030,3920,3935,168379,-0.018703241895261846
2022-01-12,3970,4095,3950,4095,109694,0.04066073697585759
2022-01-13,4075,4095,3995,4015,82880,-0.019536019536019578
2022-01-14,4040,4040,3935,3950,126970,-0.016189290161892855
2022-01-17,3955,3955,3845,3850,148793,-0.025316455696202556
2022-01-18,3840,3905,3820,3825,109986,-0.00649350649350644
2022-01-19,3780,3840,3740,3775,140821,-0.013071895424836555
2022-01-20,3750,3830,3750,3820,95316,0.01192052980132452
2022-01-21,3805,3885,3790,3840,84448,0.005235602094240788
2022-01-24,3820,3840,3705,3740,162802,-0.02604166666666663
2022-01-25,3705,3755,3535,3535,227839,-0.05481283422459893
2022-01-26,3500,3620,3500,3545,122431,0.0028288543140029265
2022-01-27,3535,3585,3365,3395,212067,-0.042313117066290595
2022-01-28,3375,3520,3350,3510,126344,0.03387334315169377
2022-02-03,3550,3800,3550,3695,120418,0.05270655270655267
2022-02-04,3665,3715,3665,3695,55540,0.0
2022-02-07,3700,3710,3645,3685,44089,-0.0027063599458727605
2022-02-08,3680,3710,3630,3640,81282,-0.012211668928086894
2022-02-09,3740,4340,3655,4130,6628281,0.13461538461538458
2022-02-10,4095,4150,4015,4060,791381,-0.016949152542372836
2022-02-11,4050,4140,4000,4030,463799,-0.007389162561576401
2022-02-14,3960,4015,3835,3835,344830,-0.048387096774193505
2022-02-15,3835,3930,3745,3750,244795,-0.022164276401564487
2022-02-16,3810,3945,3810,3905,185334,0.041333333333333444
2022-02-17,3940,3980,3795,3880,192449,-0.006402048655569814
2022-02-18,3865,3970,3805,3945,185114,0.01675257731958757
2022-02-21,3860,4000,3860,3990,180760,0.011406844106463865
2022-02-22,3980,3980,3875,3885,187648,-0.02631578947368418
2022-02-23,3890,3985,3890,3895,117987,0.002574002574002643
2022-02-24,3890,3900,3695,3700,251696,-0.05006418485237485
2022-02-25,3725,3790,3725,3760,95275,0.016216216216216273
2022-02-28,3755,3830,3750,3820,59808,0.015957446808510634
2022-03-02,3790,3895,3790,3875,73663,0.014397905759162333
2022-03-03,3890,3925,3890,3915,55457,0.010322580645161228
2022-03-04,3915,3920,3875,3915,65665,0.0
2022-03-07,3905,3910,3775,3775,89158,-0.03575989782886335
2022-03-08,3710,3770,3695,3740,82537,-0.009271523178807972
2022-03-10,3755,3810,3755,3795,80595,0.014705882352941124
2022-03-11,3795,3880,3795,3845,80017,0.013175230566534912
2022-03-14,3845,3845,3725,3750,99637,-0.024707412223667125
2022-03-15,3710,3780,3710,3735,177694,-0.0040000000000000036
2022-03-16,3745,3815,3745,3815,80599,0.021419009370816644
2022-03-17,3840,3910,3835,3885,120391,0.0183486238532109
2022-03-18,3900,4030,3855,4030,286471,0.03732303732303732
2022-03-21,4025,4060,3955,3990,260889,-0.00992555831265507
2022-03-22,3970,4020,3960,4015,147029,0.006265664160401085
2022-03-23,4015,4170,4005,4125,871827,0.027397260273972712
2022-03-24,4125,4135,4095,4105,219629,-0.00484848484848488
2022-03-25,4110,4110,4065,4065,135278,-0.00974421437271622
2022-03-28,4110,4110,4020,4030,90925,-0.008610086100861003
2022-03-29,4035,4095,4020,4085,107623,0.013647642679900818
2022-03-30,4095,4110,4025,4040,105047,-0.011015911872705009
2022-03-31,4030,4105,4030,4070,92648,0.007425742574257432
2022-04-01,4070,4070,3950,3975,195765,-0.023341523341523396
2022-04-04,4000,4080,3970,4055,158594,0.020125786163522008
2022-04-05,4090,4495,4040,4120,2207790,0.01602959309494456
2022-04-06,4120,4155,4095,4100,212944,-0.004854368932038833
2022-04-07,4050,4080,3950,3950,200096,-0.03658536585365857
2022-04-08,3990,4020,3915,3915,113854,-0.008860759493670933
2022-04-11,3925,3975,3880,3885,90399,-0.007662835249042099
2022-04-12,3880,3880,3795,3830,149765,-0.014157014157014203
2022-04-13,3805,3900,3805,3880,91989,0.01305483028720622
2022-04-14,3905,3910,3855,3890,117623,0.002577319587628857
2022-04-15,3905,3930,3845,3915,88191,0.006426735218509005
2022-04-18,3960,3960,3885,3890,73049,-0.0063856960408684715
2022-04-19,3940,3945,3890,3920,76965,0.007712082262210762
2022-04-20,3955,3985,3920,3985,69198,0.01658163265306123
2022-04-21,4000,4010,3955,4000,99453,0.0037641154328733606
2022-04-22,3990,4000,3935,3950,63237,-0.012499999999999956
2022-04-25,3895,3930,3810,3815,92513,-0.03417721518987338
2022-04-26,3820,3895,3820,3885,54761,0.0183486238532109
2022-04-27,3810,3845,3790,3815,91745,-0.018018018018018056
2022-04-28,3820,3840,3805,3820,82336,0.001310615989515096
2022-04-29,3820,3870,3820,3830,51591,0.002617801047120505
2022-05-02,3800,3850,3795,3825,79659,-0.0013054830287205776
2022-05-03,3875,3875,3825,3830,82700,0.0013071895424836555
2022-05-04,3805,3905,3800,3895,126100,0.016971279373368064
2022-05-06,3840,3900,3825,3885,76135,-0.0025673940949936247
2022-05-09,3885,3885,3765,3765,118488,-0.030888030888030937
2022-05-10,3710,3760,3585,3720,132083,-0.01195219123505975
