Date,Open,High,Low,Close,Volume,Change
2022-01-03,10500,10750,10200,10350,334756,-0.02358490566037741
2022-01-04,10300,10600,10250,10350,218792,0.0
2022-01-05,10300,10650,10000,10050,371943,-0.02898550724637683
2022-01-06,9760,9870,9190,9200,609982,-0.08457711442786064
2022-01-07,9140,9600,9140,9450,329885,0.02717391304347827
2022-01-10,9450,9450,9210,9310,147911,-0.014814814814814836
2022-01-11,9280,9350,9000,9120,206398,-0.020408163265306145
2022-01-12,9210,9420,9130,9340,138381,0.02412280701754388
2022-01-13,9360,9440,8950,8970,217627,-0.039614561027837225
2022-01-14,8880,9030,8770,8900,131900,-0.0078037904124860225
2022-01-17,8900,8950,8520,8600,176230,-0.0337078651685393
2022-01-18,8500,8830,8290,8300,214029,-0.03488372093023251
2022-01-19,8090,9090,8090,8760,425010,0.055421686746987886
2022-01-20,8760,9250,8680,8990,308219,0.026255707762557146
2022-01-21,9070,9950,9010,9500,893307,0.05672969966629582
2022-01-24,9480,9900,9250,9320,491847,-0.0189473684210526
2022-01-25,9390,9950,8850,9120,483191,-0.02145922746781115
2022-01-26,9330,9760,9080,9090,620391,-0.003289473684210509
2022-01-27,9050,9170,8250,8320,330632,-0.08470847084708466
2022-01-28,8270,8840,8210,8720,326070,0.04807692307692313
2022-02-03,8780,9440,8550,9280,487794,0.06422018348623859
2022-02-04,9370,9480,8750,8790,321523,-0.05280172413793105
2022-02-07,8580,8720,8300,8430,253032,-0.04095563139931746
2022-02-08,8430,8440,8090,8120,309458,-0.03677342823250296
2022-02-09,8240,10550,8240,10550,5519752,0.2992610837438423
2022-02-10,10550,10950,10050,10400,6297450,-0.014218009478673022
2022-02-11,10850,11350,9880,9880,3171695,-0.050000000000000044
2022-02-14,9740,10050,8570,8800,1180069,-0.10931174089068829
2022-02-15,8800,8920,8380,8650,669385,-0.017045454545454586
2022-02-16,8830,9070,8690,9000,672394,0.040462427745664664
2022-02-17,9000,9100,8120,8720,536302,-0.03111111111111109
2022-02-18,8640,9120,8580,8820,913099,0.011467889908256979
2022-02-21,8650,9470,8590,9200,1058165,0.04308390022675734
2022-02-22,8820,8970,8700,8700,347377,-0.05434782608695654
2022-02-23,8880,9110,8550,8720,494320,0.0022988505747125743
2022-02-24,8880,9360,8500,8500,953214,-0.025229357798165153
2022-02-25,8620,8780,8450,8500,318169,0.0
2022-02-28,8430,8620,8410,8420,212553,-0.009411764705882342
2022-03-02,8530,8660,8470,8570,198796,0.017814726840855055
2022-03-03,8630,8690,8540,8640,182040,0.008168028004667427
2022-03-04,8660,8690,8510,8550,134199,-0.01041666666666663
2022-03-07,8440,8500,8160,8330,167330,-0.025730994152046827
2022-03-08,8190,8390,8130,8200,126158,-0.015606242496998823
2022-03-10,8240,8740,8220,8250,268804,0.0060975609756097615
2022-03-11,8320,8320,8160,8200,138295,-0.0060606060606061
2022-03-14,8220,8290,8040,8080,143889,-0.014634146341463428
2022-03-15,7970,8210,7970,8120,126711,0.004950495049504955
2022-03-16,8150,8380,8150,8260,140720,0.01724137931034475
2022-03-17,8310,8450,8230,8380,197211,0.014527845036319542
2022-03-18,8490,8560,8330,8520,244605,0.01670644391408116
2022-03-21,8550,8550,8170,8210,240573,-0.03638497652582162
2022-03-22,8170,8310,8120,8300,177587,0.010962241169305775
2022-03-23,8300,8350,8200,8210,114228,-0.010843373493975905
2022-03-24,8220,8280,8100,8190,112564,-0.0024360535931789995
2022-03-25,8250,8390,8170,8320,189198,0.015873015873015817
2022-03-28,8320,8510,8180,8460,306560,0.016826923076923128
2022-03-29,8430,8430,8200,8230,160954,-0.027186761229314405
2022-03-30,8270,8500,8220,8220,226632,-0.0012150668286755595
2022-03-31,8220,8260,8140,8190,123573,-0.0036496350364964014
2022-04-01,8180,8210,8090,8140,120860,-0.006105006105006083
2022-04-04,8170,8170,7950,7980,199865,-0.019656019656019708
2022-04-05,7980,8060,7900,7940,116611,-0.005012531328320802
2022-04-06,7870,8180,7650,7820,408178,-0.015113350125944613
2022-04-07,7810,7810,7570,7570,155454,-0.03196930946291565
2022-04-08,7560,7670,7460,7500,94632,-0.009247027741083214
2022-04-11,7430,7500,7210,7280,146741,-0.029333333333333322
2022-04-12,7240,7240,7040,7060,141319,-0.030219780219780223
2022-04-13,7060,7410,7060,7150,139614,0.012747875354107707
2022-04-14,7170,7230,7100,7110,65413,-0.005594405594405605
2022-04-15,7110,7140,6830,6870,179367,-0.03375527426160341
2022-04-18,6810,6900,6710,6740,114507,-0.018922852983988325
2022-04-19,6740,6840,6710,6730,61156,-0.0014836795252225476
2022-04-20,6730,6900,6720,6760,93265,0.004457652303120341
2022-04-21,6810,6840,6730,6840,50527,0.01183431952662728
2022-04-22,6790,6800,6550,6620,113543,-0.032163742690058506
2022-04-25,6600,6600,6310,6330,149776,-0.04380664652567978
2022-04-26,6330,6480,6330,6330,66754,0.0
2022-04-27,6230,6310,6150,6310,83382,-0.003159557661927326
2022-04-28,6320,6570,6200,6230,176410,-0.01267828843106178
2022-04-29,6250,6400,6240,6340,72943,0.017656500802568198
2022-05-02,6260,6310,6210,6290,61965,-0.007886435331230235
2022-05-03,6350,6450,6300,6370,53189,0.012718600953895098
2022-05-04,6380,6410,6250,6270,50990,-0.015698587127158548
2022-05-06,6200,6220,6030,6130,71769,-0.022328548644338087
2022-05-09,6110,6130,5960,6000,64153,-0.021207177814029365
2022-05-10,5850,5980,5580,5860,120703,-0.023333333333333317
2022-05-11,5760,7430,5760,6250,2953968,0.06655290102389078
2022-05-12,6250,6560,6140,6160,407390,-0.014399999999999968
2022-05-13,6160,7390,6030,6730,2615896,0.09253246753246747
2022-05-16,6840,7130,6730,6740,936043,0.0014858841010401136
2022-05-17,6730,7120,6640,6720,586200,-0.0029673590504450953
2022-05-18,6690,6740,6450,6450,172539,-0.0401785714285714
2022-05-19,6180,6690,6160,6250,291344,-0.03100775193798455
2022-05-20,6260,6370,6230,6290,95470,0.006399999999999961
2022-05-23,6320,6720,6310,6450,248631,0.025437201907790197
2022-05-24,6420,6450,6130,6130,151241,-0.04961240310077519
2022-05-25,6130,6180,5940,5940,133206,-0.030995106035889064
2022-05-26,5940,6040,5830,5880,86579,-0.010101010101010055
2022-05-27,5890,5990,5840,5890,63159,0.001700680272108901
2022-05-30,5900,6090,5890,6030,61589,0.02376910016977929
2022-05-31,6100,6110,5950,6060,70272,0.004975124378109541
2022-06-02,6060,6130,6000,6080,47065,0.0033003300330032292
2022-06-03,6100,6140,6020,6070,59160,-0.00164473684210531
2022-06-07,6150,6150,5830,5870,77802,-0.0329489291598023
2022-06-08,5860,5920,5800,5850,53671,-0.0034071550255536653
2022-06-09,5770,5850,5650,5710,61425,-0.023931623931623958
2022-06-10,5680,5730,5600,5630,55838,-0.014010507880910628
2022-06-13,5500,5510,5300,5340,114030,-0.05150976909413851
2022-06-14,5140,5320,4965,5240,151957,-0.01872659176029967
2022-06-15,5130,5310,4950,5060,111408,-0.03435114503816794
2022-06-16,5070,5270,5000,5000,79444,-0.011857707509881465
2022-06-17,4790,5070,4775,5000,120958,0.0
2022-06-20,5000,5090,4640,4770,85384,-0.04600000000000004
2022-06-21,4670,4980,4640,4935,108339,0.03459119496855356
2022-06-22,4935,5080,4530,4585,128782,-0.07092198581560283
2022-06-23,4570,4630,4210,4210,128227,-0.08178844056706647
2022-06-24,4100,4565,4100,4470,141219,0.061757719714964354
2022-06-27,4610,4830,4575,4760,83014,0.06487695749440725
2022-06-28,4760,4830,4655,4830,37285,0.014705882352941124
2022-06-29,4760,4825,4675,4815,25935,-0.0031055900621117516
2022-06-30,4800,4900,4630,4705,41264,-0.022845275181723745
2022-07-01,4655,4800,4505,4625,64551,-0.01700318809776835
2022-07-04,4605,4745,4570,4670,39821,0.00972972972972963
2022-07-05,4780,5730,4730,5350,1646371,0.145610278372591
2022-07-06,5350,5420,5240,5380,210204,0.005607476635514086
2022-07-07,5430,6300,5420,5670,1961738,0.05390334572490696
2022-07-08,5670,6230,5610,6090,791454,0.07407407407407418
2022-07-11,6130,6170,5810,6010,413577,-0.013136288998357948
2022-07-12,6070,6250,5800,6050,778603,0.006655574043261225
2022-07-13,6710,7130,6210,6250,4532718,0.03305785123966931
2022-07-14,6300,6980,6070,6770,2341546,0.08319999999999994
2022-07-15,6700,6840,6510,6730,793836,-0.005908419497784312
2022-07-18,6780,6870,6660,6780,485706,0.007429420505200568
2022-07-19,6910,7530,6850,7280,3395497,0.07374631268436582
2022-07-20,7220,7470,7090,7300,828989,0.0027472527472527375
2022-07-21,7230,7250,6730,6810,515920,-0.06712328767123288
2022-07-22,6810,6870,6600,6610,290018,-0.029368575624082238
2022-07-25,6610,6660,6490,6510,158697,-0.015128593040847238
2022-07-26,6590,8330,6590,7300,11358329,0.12135176651305679
2022-07-27,7350,7460,7110,7110,1046276,-0.02602739726027392
2022-07-28,7110,7170,6920,6990,510217,-0.016877637130801704
2022-07-29,6950,6960,6600,6600,497708,-0.05579399141630903
2022-08-01,6590,6770,6540,6750,261790,0.022727272727272707
2022-08-02,6750,6980,6720,6890,487461,0.020740740740740726
2022-08-03,6810,6890,6700,6730,214727,-0.023222060957910018
2022-08-04,6700,6710,6550,6550,193385,-0.026745913818722156
2022-08-05,6550,6600,6520,6550,110540,0.0
2022-08-08,6550,6620,6510,6520,98813,-0.004580152671755711
2022-08-09,6530,6610,6490,6490,121477,-0.004601226993865004
2022-08-10,6560,6560,6330,6340,115492,-0.023112480739599373
2022-08-11,6390,6880,6320,6470,489177,0.020504731861198833
2022-08-12,6400,6470,6360,6390,91976,-0.012364760432766575
2022-08-16,6470,6470,6340,6440,71574,0.00782472613458518
2022-08-17,6470,6470,6240,6300,145218,-0.021739130434782594
2022-08-18,6180,6340,6030,6060,96098,-0.03809523809523807
2022-08-19,6020,6060,5960,6010,81604,-0.008250825082508295
2022-08-22,5950,5960,5780,5800,85509,-0.03494176372712143
2022-08-23,5580,5780,5500,5550,127360,-0.0431034482758621
2022-08-24,5500,5620,5440,5540,78922,-0.0018018018018017834
2022-08-25,5520,5650,5520,5570,63126,0.005415162454873723
2022-08-26,5640,5640,5390,5450,88211,-0.021543985637342944
2022-08-29,5200,5340,5170,5310,62560,-0.025688073394495414
2022-08-30,5220,5400,5220,5330,75766,0.0037664783427495685
2022-08-31,5240,5800,5210,5460,669441,0.024390243902439046
2022-09-01,5370,5410,5240,5240,107905,-0.04029304029304026
2022-09-02,5290,5350,5120,5130,60728,-0.020992366412213692
2022-09-05,5110,5170,4985,5120,98405,-0.0019493177387914784
2022-09-06,5060,5180,5000,5000,71848,-0.0234375
2022-09-07,4950,5040,4785,4870,123853,-0.026000000000000023
2022-09-08,4880,5020,4880,5000,83581,0.026694045174537884
2022-09-13,5010,5120,5010,5090,51830,0.018000000000000016
2022-09-14,4920,5080,4870,5050,93184,-0.007858546168958758
2022-09-15,5070,5080,4920,4920,85343,-0.025742574257425765
2022-09-16,4920,4940,4750,4760,58345,-0.03252032520325199
2022-09-19,4720,4790,4525,4535,145662,-0.047268907563025264
2022-09-20,4535,4685,4440,4600,121126,0.014332965821389099
2022-09-21,4540,4610,4490,4520,54095,-0.017391304347826098
2022-09-22,4450,4505,4300,4430,127046,-0.019911504424778736
2022-09-23,4355,4415,4200,4260,154392,-0.038374717832957095
2022-09-26,4130,4175,3990,4010,193154,-0.05868544600938963
2022-09-27,3885,4085,3825,4015,176984,0.0012468827930174342
2022-09-28,3950,4085,3810,3815,193670,-0.04981320049813198
2022-09-29,3855,4100,3855,3895,198896,0.02096985583224109
2022-09-30,3830,3975,3830,3945,68663,0.012836970474968012
2022-10-04,4040,4200,4005,4100,161358,0.03929024081115329
2022-10-05,4145,4195,4000,4020,57302,-0.019512195121951237
2022-10-06,4085,4215,4030,4145,70894,0.031094527363184188
2022-10-07,4115,4160,3990,4030,108642,-0.027744270205066313
2022-10-11,4030,4030,3645,3835,74039,-0.048387096774193505
2022-10-12,3770,3835,3700,3805,92695,-0.007822685788787531
2022-10-13,3750,3770,3510,3515,142883,-0.07621550591327197
2022-10-14,3560,4140,3560,3700,1491542,0.05263157894736836
2022-10-17,3780,3945,3645,3880,291089,0.048648648648648596
2022-10-18,3915,4010,3905,4010,209773,0.03350515463917536
2022-10-19,4010,4075,3960,4005,105344,-0.0012468827930174342
2022-10-20,3975,4035,3855,3900,88697,-0.02621722846441943
2022-10-21,3845,3905,3825,3840,70156,-0.01538461538461533
2022-10-24,3885,4065,3885,4035,119572,0.05078125
2022-10-25,4065,4065,3930,4015,155896,-0.00495662949194553
2022-10-26,4250,4670,3905,3905,1024079,-0.0273972602739726
2022-10-27,3910,3970,3860,3940,142080,0.008962868117797784
2022-10-28,3940,3940,3835,3870,111867,-0.017766497461928932
2022-10-31,4240,4475,3990,4075,2081264,0.05297157622739013
2022-11-01,4030,4070,3985,4055,208954,-0.004907975460122671
2022-11-02,4055,4160,3980,4120,196470,0.01602959309494456
2022-11-03,4000,4035,3935,3980,177346,-0.03398058252427183
2022-11-04,3930,3995,3830,3875,158644,-0.02638190954773867
2022-11-07,3940,4360,3875,4150,2226229,0.07096774193548394
2022-11-08,4150,4210,4080,4180,282625,0.0072289156626506035
2022-11-09,4200,4220,4135,4195,138811,0.0035885167464115852
2022-11-10,4120,4180,4100,4110,103535,-0.020262216924910592
2022-11-11,4190,4290,4130,4280,209815,0.041362530413625365
2022-11-14,4245,4405,4245,4350,271000,0.016355140186915973
2022-11-15,4330,4520,4320,4455,652306,0.024137931034482696
2022-11-16,4435,4450,4330,4415,147330,-0.008978675645342271
2022-11-17,4415,4515,4360,4470,267923,0.01245753114382775
2022-11-18,4470,4470,4290,4300,176986,-0.03803131991051456
