Date,Open,High,Low,Close,Volume,Change
2022-01-03,2185,2195,2100,2195,499,0.0
2022-01-04,2195,2300,2050,2140,8445,-0.02505694760820043
2022-01-05,2175,2175,2070,2135,4256,-0.002336448598130869
2022-01-06,2130,2130,1835,2095,14825,-0.0187353629976581
2022-01-07,2100,2100,2080,2080,3,-0.007159904534606243
2022-01-10,2050,2050,1915,2045,396,-0.016826923076923128
2022-01-11,2100,2185,2085,2085,58,0.019559902200489088
2022-01-12,2200,2200,1905,2000,2861,-0.04076738609112707
2022-01-13,2100,2100,1860,1945,3131,-0.02749999999999997
2022-01-14,2000,2085,2000,2085,11,0.07197943444730082
2022-01-17,2100,2100,2085,2085,3001,0.0
2022-01-18,2090,2090,2090,2090,1,0.0023980815347721673
2022-01-19,2095,2095,2095,2095,1,0.0023923444976077235
2022-01-20,2100,2100,2100,2100,1,0.0023866348448686736
2022-01-21,2100,2100,2100,2100,1,0.0
2022-01-24,2060,2060,2060,2060,1,-0.01904761904761909
2022-01-25,2095,2095,1830,2030,20015,-0.014563106796116498
2022-01-26,2040,2040,1975,1975,38,-0.027093596059113323
2022-01-27,2095,2095,1900,2075,1274,0.05063291139240511
2022-01-28,2090,2090,1815,1915,5844,-0.07710843373493981
2022-02-03,1995,1995,1850,1930,77,0.007832898172323688
2022-02-04,2000,2080,1900,1940,4872,0.005181347150259086
2022-02-07,1930,1930,1920,1920,700,-0.010309278350515427
2022-02-08,2000,2000,2000,2000,1,0.04166666666666674
2022-02-09,2000,2000,1835,1995,3,-0.0024999999999999467
2022-02-10,2000,2000,2000,2000,1,0.0025062656641603454
2022-02-11,2000,2000,2000,2000,2,0.0
2022-02-14,2000,2000,1730,1945,1668,-0.02749999999999997
2022-02-15,1940,1940,1930,1930,141,-0.007712082262210762
2022-02-16,2090,2090,1770,2045,1044,0.059585492227979264
2022-02-17,1900,2000,1900,1990,49,-0.02689486552567233
2022-02-18,1995,1995,1995,1995,1,0.002512562814070307
2022-02-21,1970,2180,1800,2150,13680,0.07769423558897248
2022-02-22,2140,2140,2000,2000,5134,-0.06976744186046513
2022-02-23,2100,2100,1900,2045,330,0.022499999999999964
2022-02-24,1995,1995,1990,1990,48,-0.02689486552567233
2022-02-25,2095,2095,2000,2090,5,0.05025125628140703
2022-02-28,1900,2000,1900,2000,152,-0.0430622009569378
2022-03-02,2000,2000,2000,2000,1,0.0
2022-03-03,1990,1990,1825,1985,3,-0.007499999999999951
2022-03-04,1950,1995,1900,1995,249,0.005037783375314797
2022-03-07,1995,2095,1900,2095,51,0.05012531328320802
2022-03-08,2090,2090,2090,2090,1,-0.0023866348448687846
2022-03-10,2090,2090,2090,2090,1,0.0
2022-03-11,1995,2000,1955,2000,370,-0.0430622009569378
2022-03-14,2085,2085,2085,2085,1,0.04249999999999998
2022-03-15,2040,2040,1950,2000,6,-0.04076738609112707
2022-03-16,2095,2095,2000,2045,3,0.022499999999999964
2022-03-17,1985,1990,1810,1980,3225,-0.0317848410757946
2022-03-18,1945,2100,1940,2100,18207,0.06060606060606055
2022-03-21,2100,2100,2000,2075,266,-0.011904761904761862
2022-03-22,2090,2090,2050,2075,104,0.0
2022-03-23,2075,2075,2050,2050,2,-0.012048192771084376
2022-03-24,2095,2095,2000,2020,491,-0.014634146341463428
2022-03-25,2050,2050,1995,2005,9,-0.007425742574257432
2022-03-28,1995,2020,1955,2020,8,0.007481296758104827
2022-03-29,2090,2090,1965,2005,728,-0.007425742574257432
2022-03-30,2095,2095,2095,2095,1,0.04488778054862852
2022-03-31,2070,2070,2070,2070,1,-0.011933174224343701
