Date,Open,High,Low,Close,Volume,Change
2022-01-03,5350,5410,5070,5070,1015128,-0.01744186046511631
2022-01-04,5100,5340,5090,5200,1139615,0.02564102564102555
2022-01-05,5080,5090,4800,4845,2151063,-0.06826923076923075
2022-01-06,4850,5060,4670,4765,2305697,-0.016511867905056765
2022-01-07,4670,4765,4560,4760,776359,-0.0010493179433368471
2022-01-10,4715,4745,4395,4455,742127,-0.06407563025210083
2022-01-11,4365,4560,4285,4410,532659,-0.010101010101010055
2022-01-12,4355,4460,4350,4355,347336,-0.012471655328798237
2022-01-13,4350,4475,4235,4355,530780,0.0
2022-01-14,4355,4415,4240,4265,374281,-0.02066590126291623
2022-01-17,4200,4225,4055,4060,370886,-0.048065650644783076
2022-01-18,4010,4180,4005,4120,346748,0.014778325123152802
2022-01-19,4025,4155,4025,4050,254495,-0.016990291262135915
2022-01-20,4045,4140,3975,4080,235275,0.007407407407407307
2022-01-21,4085,4100,3960,3990,349844,-0.022058823529411797
2022-01-24,3980,3980,3755,3790,369800,-0.05012531328320802
2022-01-25,3750,3885,3400,3525,547468,-0.06992084432717682
2022-01-26,3490,3700,3455,3640,893806,0.03262411347517724
2022-01-27,3640,3640,3365,3435,525660,-0.05631868131868134
2022-01-28,3440,3720,3350,3715,518480,0.08151382823871911
2022-02-03,3760,3790,3640,3750,520200,0.009421265141319024
2022-02-04,3730,3730,3600,3630,315074,-0.03200000000000003
2022-02-07,3665,3665,3485,3570,277726,-0.016528925619834656
2022-02-08,3590,3680,3485,3500,306710,-0.019607843137254943
2022-02-09,3500,4060,3500,3745,7034481,0.07000000000000006
2022-02-10,4285,4620,3915,3915,9933270,0.04539385847797073
2022-02-11,3820,3990,3605,3625,1454158,-0.07407407407407407
2022-02-14,3500,3550,3280,3280,1103705,-0.09517241379310348
2022-02-15,3280,3330,3055,3085,708195,-0.05945121951219512
2022-02-16,3105,3335,3105,3305,680457,0.07131280388978922
2022-02-17,3305,3365,2980,3200,680014,-0.0317700453857791
2022-02-18,3100,3360,3055,3275,754378,0.0234375
2022-02-21,3285,3880,3285,3555,4764829,0.08549618320610697
2022-02-22,3525,3630,3330,3370,1080328,-0.0520393811533052
2022-02-23,3380,3460,3190,3195,1161303,-0.05192878338278928
2022-02-24,3050,3150,2995,3010,1286760,-0.05790297339593109
2022-02-25,3040,3125,3030,3090,925887,0.02657807308970095
2022-02-28,3240,3240,3080,3085,720098,-0.0016181229773463146
2022-03-02,3100,3285,3065,3160,1072402,0.024311183144246407
2022-03-03,2990,3115,2970,3090,1090114,-0.022151898734177222
2022-03-04,3070,3100,2990,3010,565992,-0.02588996763754048
2022-03-07,3060,3190,3015,3045,1337860,0.011627906976744207
2022-03-08,3035,3040,2800,2820,1084392,-0.07389162561576357
2022-03-10,2300,2710,2300,2675,1971334,-0.0514184397163121
2022-03-11,2680,2740,2530,2650,936155,-0.009345794392523366
2022-03-14,2620,2635,2495,2595,676377,-0.02075471698113207
