Date,Open,High,Low,Close,Volume,Change
2022-01-03,8350,8870,8340,8700,27454,0.041916167664670656
2022-01-04,8740,8770,8610,8770,14914,0.008045977011494232
2022-01-05,8720,8920,8620,8840,50995,0.007981755986316896
2022-01-06,8820,8830,8570,8710,28685,-0.014705882352941124
2022-01-07,8630,8810,8590,8680,15537,-0.003444316877152742
2022-01-10,8720,8760,8590,8670,15143,-0.0011520737327188613
2022-01-11,8630,8660,8430,8460,13130,-0.02422145328719727
2022-01-12,8480,8600,8400,8440,13426,-0.0023640661938534313
2022-01-13,8420,8520,8410,8500,7048,0.007109004739336511
2022-01-14,8550,8590,8450,8470,12796,-0.003529411764705892
2022-01-17,8450,8450,8200,8230,24347,-0.02833530106257376
2022-01-18,8230,8350,8180,8240,13887,0.0012150668286756705
2022-01-19,8120,8380,8100,8170,12353,-0.008495145631068013
2022-01-20,8250,8480,8110,8360,18609,0.023255813953488413
2022-01-21,8450,8450,8190,8200,18043,-0.019138755980861233
2022-01-24,8150,8150,7800,7870,20587,-0.040243902439024426
2022-01-25,7820,8600,7750,7800,48137,-0.008894536213468918
2022-01-26,7720,8050,7720,7840,9272,0.00512820512820511
2022-01-27,7710,7910,7500,7500,37541,-0.04336734693877553
2022-01-28,7690,7870,7430,7820,12560,0.04266666666666663
2022-02-03,7820,8120,7780,7920,22422,0.01278772378516635
2022-02-04,7960,9510,7800,8420,535656,0.06313131313131315
2022-02-07,8410,10100,8330,9100,1170764,0.08076009501187653
2022-02-08,9060,9150,8590,8800,198542,-0.03296703296703296
2022-02-09,8870,9020,8820,8910,88688,0.012499999999999956
2022-02-10,8940,11450,8940,11200,5673541,0.25701459034792373
2022-02-11,10600,10900,9650,9830,1495635,-0.12232142857142858
2022-02-14,9480,9770,9210,9470,458182,-0.03662258392675488
2022-02-15,9430,11800,9370,10150,6829351,0.07180570221752913
2022-02-16,10400,11000,10100,10750,1596115,0.059113300492610765
2022-02-17,10750,11050,10000,10500,810368,-0.023255813953488413
2022-02-18,10300,12400,10250,10900,6979867,0.03809523809523818
2022-02-21,10900,11500,10750,11300,1293392,0.03669724770642202
2022-02-22,10850,11400,10600,11100,1411916,-0.017699115044247815
2022-02-23,11200,11400,10800,10900,482760,-0.018018018018018056
2022-02-24,10850,11050,10000,10250,516882,-0.059633027522935755
2022-02-25,10400,10800,10250,10400,501850,0.014634146341463428
2022-02-28,10300,10600,10200,10500,239999,0.009615384615384581
2022-03-02,10450,10900,10300,10800,407564,0.02857142857142847
2022-03-03,10900,11200,10700,11100,530613,0.02777777777777768
2022-03-04,10950,11350,10700,10800,446485,-0.027027027027026973
2022-03-07,10600,10650,10200,10250,152045,-0.05092592592592593
2022-03-08,9990,10200,9640,9680,264999,-0.055609756097561025
2022-03-10,9860,10450,9860,10450,227482,0.07954545454545459
2022-03-11,10450,10600,10250,10600,166100,0.014354066985645897
2022-03-14,10450,10550,10050,10200,167016,-0.037735849056603765
2022-03-15,10200,10450,10050,10300,232657,0.009803921568627416
2022-03-16,10400,10400,10000,10250,170723,-0.004854368932038833
2022-03-17,10300,10350,10000,10050,143151,-0.019512195121951237
2022-03-18,10050,10100,9550,9550,413929,-0.04975124378109452
2022-03-21,9720,9960,9600,9700,171204,0.015706806282722585
2022-03-22,9610,9700,9530,9590,166243,-0.01134020618556697
2022-03-23,9650,9670,9490,9530,122143,-0.006256517205422307
2022-03-24,9510,9620,9390,9600,153403,0.007345225603357708
2022-03-25,9600,9690,9480,9680,104100,0.008333333333333304
