Date,Open,High,Low,Close,Volume,Change
2022-01-03,3425,3526,3375,3496,118538,0.029446407538280317
2022-01-04,3531,3531,3465,3516,77881,0.005720823798627039
2022-01-05,3511,3511,3395,3431,35228,-0.024175199089874866
2022-01-06,3380,3461,3360,3431,62640,0.0
2022-01-07,3430,3496,3410,3481,57694,0.014573010784028062
2022-01-10,3496,3511,3330,3381,164388,-0.028727377190462478
2022-01-11,3366,3381,3310,3366,91051,-0.004436557231588312
2022-01-12,3345,4011,3345,3546,3282192,0.053475935828877
2022-01-13,3546,3626,3495,3546,677567,0.0
2022-01-14,3495,3861,3480,3731,1840329,0.052171460800902514
2022-01-17,3745,4691,3745,4146,11784878,0.11123023318145275
2022-01-18,4060,4396,3960,4281,3406262,0.03256150506512312
2022-01-19,4080,4326,4045,4281,1642235,0.0
2022-01-20,4261,4281,3795,4016,2337635,-0.061901424900724145
2022-01-21,3926,4141,3896,3896,1091551,-0.029880478087649376
2022-01-24,3896,4096,3745,3766,1109782,-0.033367556468172466
2022-01-25,3796,3826,3430,3481,1127404,-0.07567711099309615
2022-01-26,3480,4011,3480,3716,2312152,0.06750933639758694
2022-01-27,3760,4046,3730,3981,2462476,0.07131324004305695
2022-01-28,4011,4076,3830,3981,1117418,0.0
2022-02-03,3995,4126,3945,4031,715316,0.012559658377292227
2022-02-04,4011,4026,3810,3996,772369,-0.008682709005209621
2022-02-07,3996,4076,3880,3931,515188,-0.01626626626626626
2022-02-08,3945,4231,3860,4231,1739067,0.07631645891630634
2022-02-09,4191,4241,4075,4146,739248,-0.020089813282911817
2022-02-10,4176,4426,4060,4146,2365233,0.0
2022-02-11,4075,4361,4025,4296,864686,0.0361794500723589
2022-02-14,4161,4276,3910,3931,851090,-0.08496275605214154
2022-02-15,3891,3991,3725,3846,527312,-0.021622996692953422
2022-02-16,3895,4061,3895,3981,346306,0.035101404056162355
2022-02-17,3991,4061,3775,3846,472062,-0.03391107761868872
2022-02-18,3795,4111,3795,4066,577463,0.05720228809152372
2022-02-21,3980,4146,3965,4116,340748,0.012297097884899078
2022-02-22,3976,4041,3875,3896,363778,-0.05344995140913511
2022-02-23,3941,3961,3860,3896,197817,0.0
2022-02-24,3841,3876,3646,3646,481990,-0.06416837782340867
2022-02-25,3725,3776,3695,3746,206948,0.027427317608337942
2022-02-28,3961,4011,3810,3846,676419,0.026695141484249785
2022-03-02,3845,3976,3845,3946,219447,0.026001040041601753
2022-03-03,4091,4191,4010,4046,658185,0.025342118601115127
2022-03-04,4046,4111,3915,3966,285198,-0.019772614928324272
2022-03-07,3926,3926,3810,3846,160417,-0.030257186081694365
2022-03-08,3695,3811,3675,3746,179967,-0.026001040041601642
2022-03-10,3896,4041,3860,3896,362632,0.0400427122263749
2022-03-11,3930,4346,3810,4281,2228542,0.09881930184804921
2022-03-14,4361,4526,4246,4246,1478902,-0.008175659892548426
2022-03-15,4165,4496,4145,4366,1512979,0.0282618935468677
2022-03-16,4480,4546,4395,4516,1256816,0.03435639028859372
2022-03-17,4561,4561,4430,4466,611351,-0.01107174490699736
2022-03-18,4461,4511,4295,4346,584476,-0.026869682042095833
2022-03-21,4376,4376,4275,4296,259798,-0.011504832029452405
2022-03-22,4331,4411,4316,4316,327763,0.004655493482309092
