Date,Open,High,Low,Close,Volume,Change
2022-01-03,13550,15750,13550,15700,23745,0.14598540145985406
2022-01-04,16000,17400,15800,16750,21731,0.06687898089171984
2022-01-05,17150,17500,16600,16800,7295,0.0029850746268655914
2022-01-06,17400,17400,15600,16100,11700,-0.04166666666666663
2022-01-07,16500,17200,16200,17200,4002,0.06832298136645965
2022-01-10,17000,19200,17000,18950,20500,0.10174418604651159
2022-01-11,19900,20500,19200,19950,19907,0.05277044854881274
2022-01-12,19000,20500,19000,20000,13043,0.0025062656641603454
2022-01-13,20500,20600,19550,20450,9162,0.022499999999999964
2022-01-14,19750,20600,19700,20600,16399,0.007334963325183352
2022-01-17,19800,20650,19700,19750,12198,-0.04126213592233008
2022-01-18,19050,20000,19000,19100,14056,-0.032911392405063244
2022-01-19,18800,19200,18450,18450,2880,-0.03403141361256545
2022-01-20,18450,18950,17050,17300,8014,-0.06233062330623307
2022-01-21,17400,17750,16200,16800,6011,-0.028901734104046284
2022-01-24,16800,16900,15000,15750,16415,-0.0625
2022-01-25,15750,15750,14900,14900,6598,-0.053968253968254
2022-01-26,14900,15100,14400,14950,8369,0.003355704697986628
2022-01-27,14950,14950,13300,13350,6728,-0.1070234113712375
2022-01-28,13350,14000,13300,14000,13993,0.04868913857677892
2022-02-03,14500,15350,14500,15350,3368,0.09642857142857153
2022-02-04,14650,16500,14650,16500,4738,0.07491856677524433
2022-02-07,16500,16950,16050,16600,1239,0.0060606060606061
2022-02-08,16200,16300,15300,15600,30312,-0.06024096385542166
2022-02-09,15550,16000,14800,15150,5073,-0.028846153846153855
2022-02-10,15200,15200,13800,14800,15676,-0.02310231023102305
2022-02-11,14300,15000,13450,14200,12775,-0.04054054054054057
2022-02-14,14450,14450,12600,13000,13228,-0.08450704225352113
2022-02-15,12750,13850,12300,12600,17659,-0.03076923076923077
2022-02-16,13000,13500,12700,13450,10120,0.06746031746031744
2022-02-17,13400,14000,12950,13300,6611,-0.01115241635687736
2022-02-18,12950,14650,12800,14550,12392,0.09398496240601495
2022-02-21,15000,15000,14000,14600,1095,0.0034364261168384758
2022-02-22,14600,14600,13800,14250,657,-0.023972602739726012
2022-02-23,14500,14750,13350,14300,6580,0.0035087719298245723
2022-02-24,14300,14300,13600,13900,796,-0.027972027972028024
2022-02-25,15100,15100,14000,14300,3087,0.02877697841726623
2022-02-28,15300,15300,14600,14900,4467,0.04195804195804187
2022-03-02,15100,15100,14500,14750,1137,-0.010067114093959773
2022-03-03,14750,14950,14400,14400,4435,-0.023728813559321993
2022-03-04,15000,15000,14350,14650,1093,0.01736111111111116
2022-03-07,14200,14650,13850,14200,2000,-0.030716723549488067
2022-03-08,15000,15000,13700,14250,365,0.0035211267605634866
2022-03-10,14950,14950,13950,14000,395,-0.01754385964912286
2022-03-11,14500,14500,13900,14000,946,0.0
2022-03-14,14500,14500,13650,13850,2427,-0.010714285714285676
2022-03-15,14400,14400,13500,14100,1143,0.018050541516245522
2022-03-16,14450,14450,13650,14050,2140,-0.0035460992907800915
2022-03-17,14000,14250,13600,13600,727,-0.03202846975088969
2022-03-18,14450,14450,13650,13850,829,0.018382352941176405
2022-03-21,14250,14300,13700,13700,2429,-0.010830324909747335
2022-03-22,14100,14100,13750,13950,673,0.018248175182481674
2022-03-23,13950,14200,13500,13800,2886,-0.010752688172043001
2022-03-24,14000,14000,13600,13850,690,0.0036231884057971175
2022-03-25,14500,14500,13600,13950,501,0.0072202166064982976
2022-03-28,13900,13900,13700,13850,1230,-0.007168458781361964
2022-03-29,13900,13950,13400,13800,2200,-0.0036101083032491488
2022-03-30,13500,13850,13300,13600,2938,-0.01449275362318836
2022-03-31,13600,14600,13500,13650,2732,0.003676470588235281
2022-04-01,13650,13650,13500,13550,1079,-0.0073260073260073
2022-04-04,13550,13550,12900,13350,4659,-0.014760147601476037
2022-04-05,13500,13800,13050,13750,4076,0.029962546816479474
2022-04-06,0,0,0,13750,0,0.0
2022-04-07,0,0,0,13750,0,0.0
2022-04-08,0,0,0,13750,0,0.0
2022-04-11,0,0,0,13750,0,0.0
2022-04-12,0,0,0,13750,0,0.0
2022-04-13,0,0,0,13750,0,0.0
2022-04-14,0,0,0,13750,0,0.0
2022-04-15,0,0,0,13750,0,0.0
2022-04-18,0,0,0,13750,0,0.0
2022-04-19,0,0,0,13750,0,0.0
2022-04-20,0,0,0,13750,0,0.0
