Date,Open,High,Low,Close,Volume,Change
2022-01-03,3705,3705,3550,3575,32304,0.0028050490883591017
2022-01-04,3610,3610,3510,3605,26698,0.008391608391608463
2022-01-05,3630,3750,3550,3715,79056,0.030513176144244092
2022-01-06,3675,3750,3600,3695,49454,-0.0053835800807536804
2022-01-07,3650,3740,3620,3735,36345,0.010825439783491264
2022-01-10,3730,3740,3560,3625,34987,-0.029451137884872858
2022-01-11,3590,3645,3530,3535,30201,-0.024827586206896513
2022-01-12,3570,3675,3510,3610,34764,0.021216407355021172
2022-01-13,3610,3610,3480,3570,75198,-0.011080332409972304
2022-01-14,3570,3605,3485,3545,58762,-0.007002801120448154
2022-01-17,3545,3545,3385,3410,55136,-0.03808180535966155
2022-01-18,3375,3410,3285,3285,53968,-0.03665689149560114
2022-01-19,3280,3420,3235,3380,62709,0.028919330289193246
2022-01-20,3385,3465,3310,3460,62877,0.023668639053254337
2022-01-21,3465,3650,3395,3480,58002,0.005780346820809301
2022-01-24,3450,3505,3350,3400,49032,-0.02298850574712641
2022-01-25,3400,3430,3245,3250,70460,-0.044117647058823484
2022-01-26,3180,3400,3180,3325,43005,0.023076923076922995
2022-01-27,3325,3450,3110,3110,72358,-0.06466165413533831
2022-01-28,3120,3295,3090,3255,42981,0.04662379421221874
2022-02-03,3350,3450,3290,3430,47272,0.053763440860215006
2022-02-04,3495,3530,3430,3480,23167,0.014577259475218707
2022-02-07,3470,3540,3375,3450,27520,-0.008620689655172376
2022-02-08,3460,3495,3250,3250,50231,-0.05797101449275366
2022-02-09,3300,3380,3250,3380,49786,0.040000000000000036
2022-02-10,3405,3630,3405,3525,132557,0.04289940828402372
2022-02-11,3525,3525,3400,3470,46353,-0.015602836879432647
2022-02-14,3355,3435,3345,3375,46437,-0.02737752161383289
2022-02-15,3350,3380,3200,3200,59502,-0.051851851851851816
2022-02-16,3205,3360,3205,3240,48781,0.012499999999999956
2022-02-17,3270,3345,3240,3290,46899,0.015432098765432167
2022-02-18,3275,3350,3275,3295,18068,0.001519756838905817
2022-02-21,3260,3400,3240,3300,41750,0.0015174506828528056
2022-02-22,3270,3350,3150,3155,49879,-0.043939393939393945
2022-02-23,3140,3290,3140,3255,33428,0.031695721077654504
2022-02-24,3255,3300,3115,3215,49101,-0.01228878648233489
2022-02-25,3215,3300,3160,3215,26013,0.0
2022-02-28,3215,3300,3180,3285,27292,0.021772939346811793
2022-03-02,3285,3315,3140,3220,28792,-0.019786910197869156
2022-03-03,3220,3270,3205,3235,14959,0.004658385093167627
2022-03-04,3185,3230,3130,3165,59706,-0.021638330757341562
2022-03-07,3165,3165,3075,3110,36770,-0.017377567140600347
2022-03-08,3050,3095,2980,2980,44335,-0.04180064308681675
2022-03-10,3005,3120,3000,3100,16242,0.04026845637583887
2022-03-11,3070,3180,3070,3115,21497,0.004838709677419395
2022-03-14,3120,3165,3025,3095,15278,-0.006420545746388395
2022-03-15,3050,3095,2980,3040,34785,-0.017770597738287597
2022-03-16,3040,3060,2985,3025,24714,-0.004934210526315819
2022-03-17,3055,3145,3025,3135,42649,0.036363636363636376
2022-03-18,3150,3175,3135,3155,22948,0.006379585326953707
2022-03-21,3200,3200,3120,3170,22341,0.004754358161648264
2022-03-22,3165,3210,3090,3140,20126,-0.009463722397476393
2022-03-23,3160,3195,3090,3125,25458,-0.004777070063694322
2022-03-24,3135,3185,3120,3185,29990,0.019200000000000106
2022-03-25,3215,3235,3100,3130,32603,-0.017268445839874413
2022-03-28,3135,3180,3100,3135,52671,0.0015974440894568342
2022-03-29,3135,3170,3005,3150,15186,0.004784688995215225
2022-03-30,3155,3195,3115,3145,26747,-0.0015873015873015817
2022-03-31,3145,3160,3070,3115,43008,-0.009538950715421324
2022-04-01,3155,3240,3110,3215,64443,0.0321027287319422
2022-04-04,3215,3320,3195,3320,58504,0.03265940902021769
2022-04-05,3320,3400,3285,3395,42941,0.02259036144578319
2022-04-06,3365,3400,3320,3400,39908,0.0014727540500736325
2022-04-07,3360,3420,3305,3355,91212,-0.013235294117647012
2022-04-08,3335,3425,3315,3370,30960,0.0044709388971684305
2022-04-11,3355,3370,3250,3300,31292,-0.020771513353115778
2022-04-12,3250,3285,3190,3265,32537,-0.010606060606060619
2022-04-13,3250,3365,3240,3365,26155,0.030627871362940207
2022-04-14,3360,3400,3275,3325,47176,-0.011887072808320909
2022-04-15,3320,3350,3275,3350,36148,0.007518796992481258
2022-04-18,3315,3370,3200,3215,35528,-0.040298507462686595
2022-04-19,3185,3240,3170,3185,32869,-0.009331259720062213
2022-04-20,3290,4075,3215,3650,5995908,0.14599686028257453
2022-04-21,3610,3650,3475,3525,392795,-0.03424657534246578
2022-04-22,3490,3550,3420,3505,277593,-0.005673758865248235
2022-04-25,3460,3590,3380,3570,413647,0.01854493580599148
2022-04-26,3570,3580,3460,3570,221929,0.0
2022-04-27,3500,3520,3390,3520,110856,-0.014005602240896309
2022-04-28,3520,3590,3480,3520,84782,0.0
2022-04-29,3520,3605,3495,3530,127230,0.0028409090909091717
2022-05-02,3520,3630,3510,3630,168967,0.028328611898017053
2022-05-03,3630,3645,3545,3605,100725,-0.00688705234159781
2022-05-04,3610,3645,3470,3540,106253,-0.018030513176144236
2022-05-06,3500,3590,3440,3530,98680,-0.0028248587570621764
2022-05-09,3505,3530,3380,3380,71838,-0.04249291784702547
2022-05-10,3300,3380,3165,3350,147606,-0.00887573964497046
2022-05-11,3305,3380,3305,3375,35765,0.00746268656716409
2022-05-12,3375,3385,3170,3215,70772,-0.047407407407407454
2022-05-13,3215,3285,3200,3275,50990,0.018662519440124425
2022-05-16,3190,3495,3190,3365,65602,0.027480916030534264
2022-05-17,3370,3460,3365,3440,58398,0.022288261515601704
2022-05-18,3465,3475,3260,3335,150848,-0.030523255813953543
2022-05-19,3325,3325,3210,3270,38182,-0.019490254872563728
2022-05-20,3270,3365,3240,3290,31563,0.006116207951070374
2022-05-23,3270,3325,3225,3260,60844,-0.00911854103343468
2022-05-24,3220,3300,3185,3200,57241,-0.018404907975460127
2022-05-25,3200,3250,3195,3235,30916,0.010937500000000044
2022-05-26,3245,3300,3240,3280,20685,0.01391035548686248
2022-05-27,3280,3330,3230,3295,29902,0.004573170731707377
2022-05-30,3295,3320,3225,3290,52869,-0.0015174506828528056
2022-05-31,3270,3310,3235,3295,39303,0.001519756838905817
2022-06-02,3280,3295,3150,3210,112193,-0.025796661608497695
2022-06-03,3210,3290,3165,3220,45733,0.0031152647975076775
2022-06-07,3215,3215,3040,3090,180205,-0.04037267080745344
2022-06-08,3090,3145,3020,3140,43862,0.016181229773462702
2022-06-09,3120,3120,3030,3085,36497,-0.017515923566879033
2022-06-10,3080,3080,3000,3025,51247,-0.01944894651539708
