Date,Open,High,Low,Close,Volume,Change
2022-01-03,5400,5600,5220,5220,15045,-0.033333333333333326
2022-01-04,5380,5600,5220,5300,24307,0.015325670498084198
2022-01-05,5240,5370,4950,5000,23353,-0.05660377358490565
2022-01-06,4815,4935,4750,4770,26063,-0.04600000000000004
2022-01-07,4710,5250,4710,5250,52279,0.10062893081761004
2022-01-10,5260,5400,4950,5180,48199,-0.013333333333333308
2022-01-11,5150,5150,5030,5110,9142,-0.013513513513513487
2022-01-12,5030,5100,4960,5060,28211,-0.009784735812133127
2022-01-13,5060,5110,4905,5060,20067,0.0
2022-01-14,4985,5010,4900,5010,18231,-0.00988142292490124
2022-01-17,4850,4975,4850,4885,16163,-0.024950099800399195
2022-01-18,4855,4900,4695,4890,27003,0.0010235414534287557
2022-01-19,4830,4830,4500,4650,17123,-0.049079754601227044
2022-01-20,4650,4840,4615,4840,9004,0.04086021505376336
2022-01-21,4855,4880,4705,4875,14648,0.00723140495867769
2022-01-24,4825,5150,4740,4810,42894,-0.013333333333333308
2022-01-25,4675,4810,4500,4810,53991,0.0
2022-01-26,5090,5090,4670,4910,33487,0.02079002079002068
2022-01-27,4860,5200,4815,5080,52603,0.03462321792260692
2022-01-28,5030,5300,5030,5300,27066,0.04330708661417315
2022-02-03,5310,5490,5300,5430,17746,0.02452830188679256
2022-02-04,5500,5900,5410,5760,46186,0.06077348066298338
2022-02-07,5780,6080,5750,5930,40212,0.02951388888888884
2022-02-08,5880,6100,5470,5500,49915,-0.07251264755480602
2022-02-09,5510,5970,5510,5770,6994,0.049090909090909074
2022-02-10,5700,5760,5550,5750,7013,-0.0034662045060658286
2022-02-11,5650,5690,5460,5470,11212,-0.04869565217391303
2022-02-14,5470,5570,5400,5500,26477,0.005484460694698434
2022-02-15,5500,5800,5440,5590,15620,0.016363636363636358
2022-02-16,5650,5840,5630,5780,8162,0.03398926654740597
2022-02-17,5780,5890,5600,5700,20646,-0.01384083044982698
2022-02-18,5840,5840,5450,5590,8171,-0.019298245614035037
2022-02-21,5530,5640,5410,5530,5350,-0.01073345259391767
2022-02-22,5350,5430,5230,5250,28456,-0.05063291139240511
2022-02-23,5410,5410,5150,5150,5458,-0.01904761904761909
2022-02-24,5220,5300,4950,5060,17479,-0.01747572815533982
2022-02-25,4980,5300,4955,5050,13121,-0.0019762845849802257
2022-02-28,5050,5050,4870,4965,9405,-0.016831683168316847
2022-03-02,4965,5240,4920,4970,14313,0.001007049345417954
2022-03-03,5190,5190,4910,4960,24146,-0.002012072434607659
2022-03-04,4905,5440,4890,5020,52799,0.012096774193548487
2022-03-07,5020,5070,4925,4970,11278,-0.009960159362549792
2022-03-08,4970,5050,4915,4915,8922,-0.01106639839034207
2022-03-10,4915,5190,4890,5050,30372,0.02746693794506605
2022-03-11,5100,5120,4940,4980,20020,-0.013861386138613874
2022-03-14,5020,5060,4940,5060,10833,0.016064257028112428
2022-03-15,5020,6500,5020,5900,445335,0.16600790513833985
2022-03-16,6210,6210,5590,5900,76099,0.0
2022-03-17,5910,6190,5910,6110,71784,0.035593220338983045
2022-03-18,6110,6440,6090,6350,115203,0.03927986906710301
2022-03-21,6350,6720,5650,5760,162681,-0.09291338582677167
2022-03-22,5760,5800,5480,5480,39741,-0.04861111111111116
2022-03-23,5530,5690,5490,5600,20764,0.021897810218978186
2022-03-24,5600,5730,5450,5530,16538,-0.012499999999999956
2022-03-25,5570,5590,5360,5360,24164,-0.030741410488245968
2022-03-28,5430,5440,5120,5370,48060,0.001865671641791078
2022-03-29,5350,5370,5130,5200,45846,-0.03165735567970207
2022-03-30,5200,5440,5120,5250,32377,0.009615384615384581
2022-03-31,5270,5370,5180,5370,25780,0.02285714285714291
2022-04-01,5410,5410,5260,5380,15942,0.0018621973929235924
2022-04-04,5380,5420,5290,5360,19198,-0.0037174721189591198
2022-04-05,5360,5400,5150,5290,20783,-0.013059701492537323
2022-04-06,5290,5290,5160,5190,19186,-0.018903591682419618
2022-04-07,5180,5340,5020,5060,21623,-0.025048169556840083
2022-04-08,5060,5220,5020,5120,13532,0.011857707509881354
2022-04-11,5120,5250,5030,5030,5621,-0.017578125
2022-04-12,5030,5100,4900,5030,19722,0.0
2022-04-13,5030,5280,4990,5030,14810,0.0
2022-04-14,5100,5150,5030,5130,17347,0.01988071570576544
2022-04-15,5230,5230,5000,5050,10461,-0.015594541910331383
