Date,Open,High,Low,Close,Volume,Change
2022-01-03,930,947,927,944,700907,0.01505376344086029
2022-01-04,949,949,930,939,869120,-0.005296610169491567
2022-01-05,940,1010,936,998,11145021,0.06283280085197007
2022-01-06,994,996,961,967,4092393,-0.03106212424849697
2022-01-07,969,1030,965,1000,8298554,0.03412616339193386
2022-01-10,1015,1045,999,1000,4704538,0.0
2022-01-11,996,1000,961,962,2629584,-0.038000000000000034
2022-01-12,965,983,963,972,1283456,0.01039501039501034
2022-01-13,977,978,964,973,982318,0.0010288065843622185
2022-01-14,968,972,955,957,937184,-0.016443987667009274
2022-01-17,957,958,928,931,1436981,-0.027168234064785746
2022-01-18,932,947,903,904,1686219,-0.029001074113856107
2022-01-19,897,908,890,899,858375,-0.00553097345132747
2022-01-20,890,904,887,902,570105,0.0033370411568409697
2022-01-21,902,912,891,901,631972,-0.0011086474501108556
2022-01-24,897,897,870,876,956279,-0.027746947835738056
2022-01-25,873,881,842,846,1167760,-0.03424657534246578
2022-01-26,836,862,836,858,1036207,0.014184397163120588
2022-01-27,854,865,844,851,994176,-0.00815850815850816
2022-01-28,851,936,851,914,2075081,0.07403055229142175
2022-02-03,933,958,923,948,1222614,0.03719912472647713
2022-02-04,946,993,944,986,1749097,0.040084388185654074
2022-02-07,986,987,954,958,644378,-0.028397565922920864
2022-02-08,951,965,936,939,678197,-0.019832985386221247
2022-02-09,941,966,940,950,267765,0.011714589989350266
2022-02-10,950,951,939,940,454566,-0.010526315789473717
2022-02-11,932,938,923,926,429249,-0.014893617021276562
2022-02-14,919,919,890,893,675000,-0.0356371490280778
2022-02-15,887,900,877,878,699662,-0.016797312430011146
2022-02-16,885,905,885,901,381159,0.026195899772209597
2022-02-17,896,918,887,900,536670,-0.0011098779134295356
2022-02-18,896,906,894,903,296594,0.0033333333333334103
2022-02-21,904,912,894,909,278388,0.006644518272425293
2022-02-22,902,905,892,893,402772,-0.017601760176017556
2022-02-23,898,900,893,896,195035,0.0033594624860022737
2022-02-24,894,962,892,905,4604792,0.010044642857142794
2022-02-25,912,918,907,913,722283,0.008839779005524795
2022-02-28,916,921,907,909,538968,-0.004381161007667056
2022-03-02,914,918,907,916,300500,0.007700770077007757
2022-03-03,921,926,916,923,475718,0.007641921397379958
2022-03-04,926,931,913,928,600785,0.005417118093174356
2022-03-07,928,928,907,915,683768,-0.014008620689655138
2022-03-08,911,922,903,911,375994,-0.0043715846994535346
2022-03-10,923,939,919,928,770275,0.01866081229418226
2022-03-11,929,948,925,947,765814,0.020474137931034475
2022-03-14,939,952,925,940,720943,-0.007391763463569179
2022-03-15,932,990,924,935,6818704,-0.005319148936170248
2022-03-16,947,969,941,959,2198391,0.025668449197860932
2022-03-17,976,978,958,960,1654941,0.0010427528675704956
2022-03-18,965,969,955,965,914012,0.005208333333333259
2022-03-21,964,984,960,975,1250302,0.010362694300518172
2022-03-22,979,980,968,979,712539,0.004102564102564044
2022-03-23,969,972,939,946,2591389,-0.0337078651685393
2022-03-24,942,944,918,938,1736384,-0.008456659619450302
2022-03-25,933,953,932,945,901804,0.00746268656716409
2022-03-28,945,960,936,950,1017153,0.005291005291005346
2022-03-29,972,992,965,972,2486053,0.023157894736842044
2022-03-30,976,989,972,985,1343035,0.01337448559670773
2022-03-31,984,1025,981,1010,3749448,0.025380710659898442
2022-04-01,1005,1035,995,1010,2507720,0.0
2022-04-04,1020,1055,1015,1040,2599943,0.02970297029702973
2022-04-05,1050,1060,1030,1050,2975394,0.009615384615384581
2022-04-06,1045,1065,1005,1030,1867841,-0.01904761904761909
2022-04-07,1015,1060,1010,1030,1487992,0.0
2022-04-08,1035,1075,1025,1060,2990381,0.029126213592232997
2022-04-11,1065,1075,1010,1015,3923228,-0.04245283018867929
2022-04-12,999,1040,997,1035,1385741,0.019704433497536922
2022-04-13,1030,1045,1025,1035,818718,0.0
2022-04-14,1045,1055,1035,1040,894913,0.004830917874396157
2022-04-15,1040,1040,1025,1040,692001,0.0
2022-04-18,1040,1040,1010,1020,917521,-0.019230769230769273
2022-04-19,1015,1030,1015,1025,636621,0.004901960784313708
2022-04-20,1030,1030,1005,1020,870615,-0.004878048780487809
2022-04-21,1020,1020,1000,1010,1000662,-0.009803921568627416
2022-04-22,999,1005,981,984,1843744,-0.025742574257425765
2022-04-25,968,983,963,975,1105119,-0.009146341463414642
2022-04-26,975,995,974,988,702389,0.01333333333333342
2022-04-27,970,988,964,985,484088,-0.0030364372469635637
2022-04-28,986,987,965,970,694799,-0.015228426395939132
2022-04-29,976,992,972,989,535656,0.019587628865979312
2022-05-02,987,998,974,986,377191,-0.0030333670374115274
2022-05-03,986,1005,985,1005,620930,0.01926977687626774
2022-05-04,1010,1025,1000,1010,1317103,0.004975124378109541
2022-05-06,995,1005,989,999,659483,-0.0108910891089109
2022-05-09,988,999,961,961,1076938,-0.03803803803803807
2022-05-10,945,961,921,960,890840,-0.0010405827263267886
2022-05-11,956,975,956,964,445610,0.004166666666666652
2022-05-12,962,963,926,926,750944,-0.03941908713692943
2022-05-13,927,945,927,932,295500,0.00647948164146861
2022-05-16,939,953,932,940,396204,0.008583690987124415
2022-05-17,935,944,930,940,341234,0.0
2022-05-18,940,953,928,929,719155,-0.011702127659574457
2022-05-19,913,917,904,917,666571,-0.012917115177610294
2022-05-20,914,925,910,919,434644,0.0021810250817884125
2022-05-23,919,927,914,914,296879,-0.005440696409140355
2022-05-24,918,919,902,902,483526,-0.013129102844638973
2022-05-25,904,916,899,903,325271,0.0011086474501109667
2022-05-26,907,940,904,908,975472,0.005537098560354448
2022-05-27,919,920,908,909,274251,0.0011013215859030367
2022-05-30,913,921,912,913,231467,0.004400440044004306
2022-05-31,914,919,907,917,556418,0.004381161007666945
2022-06-02,914,916,909,911,374414,-0.0065430752453653485
2022-06-03,911,928,911,922,358534,0.01207464324917673
2022-06-07,921,922,908,908,299062,-0.015184381778741818
2022-06-08,905,915,905,912,273488,0.004405286343612369
2022-06-09,912,914,901,908,394841,-0.004385964912280715
2022-06-10,922,952,915,923,1245623,0.016519823788546217
2022-06-13,907,911,876,876,981630,-0.050920910075839654
2022-06-14,863,885,849,871,854039,-0.005707762557077611
2022-06-15,868,871,834,836,920164,-0.04018369690011481
2022-06-16,842,867,842,847,370387,0.013157894736842035
2022-06-17,830,841,816,838,349538,-0.010625737898465215
2022-06-20,846,846,785,791,848094,-0.05608591885441527
2022-06-21,790,807,789,796,324419,0.006321112515802696
2022-06-22,797,804,760,760,611749,-0.045226130653266305
2022-06-23,761,765,711,711,1080843,-0.06447368421052635
2022-06-24,703,747,703,745,646135,0.047819971870604716
2022-06-27,756,797,752,790,490567,0.06040268456375841
2022-06-28,794,801,778,792,327175,0.0025316455696202667
2022-06-29,780,805,777,798,278305,0.007575757575757569
2022-06-30,797,801,777,777,281070,-0.02631578947368418
2022-07-01,780,785,753,757,248479,-0.025740025740025763
2022-07-04,759,761,724,730,460968,-0.03566710700132103
2022-07-05,736,768,736,761,236397,0.042465753424657526
2022-07-06,761,771,752,761,143576,0.0
2022-07-07,762,773,760,763,241718,0.0026281208935610145
2022-07-08,770,772,756,770,235186,0.00917431192660545
2022-07-11,767,771,758,762,275312,-0.010389610389610393
2022-07-12,757,762,726,732,503689,-0.03937007874015752
2022-07-13,728,741,725,736,311932,0.005464480874316946
2022-07-14,726,737,720,727,400155,-0.012228260869565188
2022-07-15,727,731,714,729,359122,0.0027510316368637433
2022-07-18,733,752,730,751,309741,0.030178326474622708
2022-07-19,750,765,747,761,183844,0.013315579227696439
2022-07-20,771,776,763,772,275138,0.014454664914586024
2022-07-21,775,788,766,773,330009,0.0012953367875647714
2022-07-22,775,784,766,770,228526,-0.0038809831824062613
2022-07-25,764,771,763,766,228478,-0.0051948051948051965
2022-07-26,766,775,762,773,181789,0.009138381201044377
2022-07-27,773,830,765,787,1142408,0.018111254851228997
2022-07-28,794,804,787,801,435434,0.017789072426937835
2022-07-29,801,811,800,810,287259,0.011235955056179803
2022-08-01,808,818,805,813,301684,0.0037037037037037646
2022-08-02,808,841,804,825,624101,0.014760147601476037
2022-08-03,821,864,817,855,1018813,0.036363636363636376
2022-08-04,886,888,862,875,1165596,0.023391812865497075
2022-08-05,874,882,864,869,398377,-0.006857142857142895
2022-08-08,869,872,861,867,226764,-0.0023014959723820505
2022-08-09,866,868,858,861,312150,-0.00692041522491349
2022-08-10,861,862,842,849,305987,-0.013937282229965153
2022-08-11,855,867,855,864,190451,0.0176678445229681
2022-08-12,865,873,862,868,226538,0.004629629629629539
2022-08-16,865,869,861,864,193046,-0.004608294930875556
2022-08-17,860,865,837,844,380254,-0.02314814814814814
2022-08-18,843,845,828,833,326746,-0.013033175355450233
2022-08-19,836,839,820,821,240444,-0.014405762304921965
2022-08-22,820,821,800,803,372506,-0.02192448233861144
2022-08-23,802,807,785,789,325018,-0.01743462017434616
2022-08-24,784,795,784,789,223405,0.0
2022-08-25,783,805,783,802,150759,0.016476552598225558
2022-08-26,802,812,787,787,202720,-0.018703241895261846
2022-08-29,772,774,759,769,248998,-0.02287166454891998
2022-08-30,765,780,765,775,225189,0.007802340702210753
2022-08-31,776,780,769,775,144369,0.0
2022-09-01,772,775,747,750,364225,-0.032258064516129004
2022-09-02,751,762,742,745,246846,-0.00666666666666671
2022-09-05,742,744,724,729,426526,-0.02147651006711404
2022-09-06,726,750,726,750,238052,0.028806584362139898
2022-09-07,749,750,727,731,282696,-0.02533333333333332
2022-09-08,734,741,733,737,169693,0.008207934336525335
2022-09-13,741,801,741,768,255317,0.042062415196743475
2022-09-14,742,763,739,754,125034,-0.01822916666666663
2022-09-15,755,765,745,752,159297,-0.0026525198938992522
2022-09-16,747,753,740,740,190932,-0.015957446808510634
2022-09-19,745,745,726,727,201776,-0.01756756756756761
2022-09-20,725,749,725,730,126898,0.004126547455295837
2022-09-21,729,733,718,723,221600,-0.009589041095890427
2022-09-22,723,723,705,712,385561,-0.015214384508990264
2022-09-23,714,723,700,700,315233,-0.016853932584269704
2022-09-26,691,700,656,663,701320,-0.052857142857142825
2022-09-27,648,672,648,669,370083,0.009049773755656076
2022-09-28,660,671,631,641,490093,-0.041853512705530616
2022-09-29,641,660,631,642,385204,0.0015600624024960652
2022-09-30,610,641,610,634,422022,-0.012461059190031154
2022-10-04,635,652,635,647,260511,0.020504731861198833
2022-10-05,655,663,629,635,337381,-0.018547140649149974
2022-10-06,635,653,635,646,155780,0.017322834645669305
2022-10-07,645,654,640,647,189697,0.001547987616099089
2022-10-11,639,641,614,617,295274,-0.04636785162287482
2022-10-12,609,618,604,604,365086,-0.021069692058346856
2022-10-13,600,603,570,570,726255,-0.056291390728476776
2022-10-14,574,598,574,591,477866,0.03684210526315779
2022-10-17,652,745,652,685,21453943,0.15905245346869723
2022-10-18,685,860,656,776,76099593,0.13284671532846715
2022-10-19,765,839,750,761,28448064,-0.019329896907216537
2022-10-20,754,761,710,710,3728173,-0.0670170827858082
2022-10-21,701,716,681,682,2285621,-0.03943661971830981
2022-10-24,685,703,671,682,1687366,0.0
2022-10-25,684,692,662,676,1515368,-0.008797653958944274
2022-10-26,678,680,636,636,1910733,-0.059171597633136064
2022-10-27,635,644,632,637,838327,0.0015723270440251014
2022-10-28,632,641,624,624,773045,-0.020408163265306145
2022-10-31,629,637,617,626,607703,0.0032051282051281937
2022-11-01,622,641,620,640,545478,0.022364217252396124
2022-11-02,637,641,630,640,503757,0.0
2022-11-03,635,637,625,632,364065,-0.012499999999999956
2022-11-04,631,643,630,639,645321,0.011075949367088667
2022-11-07,636,651,635,646,507690,0.010954616588419341
2022-11-08,646,663,645,661,712722,0.023219814241486114
2022-11-09,663,670,655,656,439442,-0.0075642965204235635
2022-11-10,650,661,643,653,328147,-0.004573170731707266
2022-11-11,669,670,655,661,546799,0.012251148545176171
2022-11-14,661,675,660,672,555760,0.016641452344931862
2022-11-15,669,683,669,677,557853,0.007440476190476275
2022-11-16,678,725,673,695,2834835,0.026587887740029625
2022-11-17,689,695,670,675,583247,-0.02877697841726623
2022-11-18,679,692,671,673,600746,-0.002962962962962945
2022-11-21,675,687,652,653,553187,-0.029717682020802383
2022-11-22,650,658,650,653,304853,0.0
2022-11-23,654,674,654,669,389678,0.02450229709035212
2022-11-24,675,697,674,690,703706,0.03139013452914807
2022-11-25,692,700,686,695,258353,0.007246376811594235
2022-11-28,690,691,673,674,467705,-0.030215827338129442
2022-11-29,672,679,664,678,191142,0.005934718100890191
2022-11-30,678,691,676,689,294005,0.016224188790560534
2022-12-01,691,708,690,693,680823,0.005805515239477588
2022-12-02,693,697,680,688,256949,-0.00721500721500723
2022-12-05,689,705,688,696,520869,0.011627906976744207
2022-12-06,683,690,676,676,502708,-0.028735632183908066
2022-12-07,673,686,662,674,309756,-0.00295857988165682
2022-12-08,675,676,660,661,385337,-0.01928783382789323
2022-12-09,663,675,663,669,202553,0.012102874432677657
2022-12-12,670,686,669,678,263325,0.013452914798206317
2022-12-13,677,688,677,678,168516,0.0
2022-12-14,677,686,677,680,171685,0.002949852507374562
2022-12-15,680,701,678,682,546448,0.002941176470588225
2022-12-16,675,681,669,670,228470,-0.017595307917888547
2022-12-19,670,673,664,665,137776,-0.007462686567164201
2022-12-20,664,668,637,645,445811,-0.03007518796992481
2022-12-21,646,654,643,648,180701,0.0046511627906977715
2022-12-22,650,668,650,653,340725,0.007716049382715973
2022-12-23,653,662,635,639,443096,-0.02143950995405819
2022-12-26,635,639,619,619,316144,-0.031298904538341166
2022-12-27,613,638,612,625,383521,0.009693053311793154
2022-12-28,621,631,615,625,275035,0.0
2022-12-29,620,622,604,607,378250,-0.028800000000000048
2023-01-02,607,614,595,598,317951,-0.014827018121911006
2023-01-03,597,599,579,593,530030,-0.00836120401337792
2023-01-04,631,770,631,685,54387757,0.15514333895446875
2023-01-05,695,700,658,664,6729037,-0.03065693430656935
2023-01-06,664,680,654,662,3500460,-0.003012048192771122
2023-01-09,666,679,665,671,2343999,0.013595166163141936
2023-01-10,667,675,662,663,1500830,-0.011922503725782407
2023-01-11,669,681,666,673,1659401,0.015082956259426794
2023-01-12,679,683,668,676,846281,0.004457652303120341
2023-01-13,680,691,677,685,1389161,0.013313609467455523
2023-01-16,690,715,682,715,3054397,0.04379562043795615
2023-01-17,694,705,677,680,2976034,-0.04895104895104896
2023-01-18,678,688,676,680,771255,0.0
2023-01-19,676,683,671,671,552381,-0.013235294117647012
2023-01-20,676,697,676,690,948532,0.028315946348733245
2023-01-25,695,708,690,701,1107936,0.01594202898550723
2023-01-26,703,721,701,708,1414890,0.009985734664764712
2023-01-27,720,805,714,759,15569904,0.07203389830508478
2023-01-30,748,768,737,765,3505750,0.007905138339920903
2023-01-31,750,774,745,760,1635081,-0.006535947712418277
2023-02-01,782,798,754,756,2114069,-0.0052631578947368585
2023-02-02,758,825,758,806,7342325,0.06613756613756605
2023-02-03,815,887,782,782,18168616,-0.02977667493796521
2023-02-06,776,974,771,883,84480769,0.12915601023017897
2023-02-07,875,905,860,895,15978103,0.013590033975084959
2023-02-08,888,903,871,895,6407999,0.0
2023-02-09,881,919,872,887,6228445,-0.00893854748603351
2023-02-10,884,885,850,853,3489048,-0.03833145434047347
2023-02-13,845,938,838,857,21620358,0.004689331770222793
2023-02-14,859,883,818,821,3976576,-0.04200700116686118
2023-02-15,827,832,797,808,2297282,-0.015834348355663774
2023-02-16,808,842,806,829,2259855,0.025990099009900902
2023-02-17,815,821,804,807,1139555,-0.026537997587454787
2023-02-20,806,829,799,823,1342905,0.019826517967781898
2023-02-21,826,846,819,820,1435565,-0.0036452004860266785
2023-02-22,811,823,802,807,1276949,-0.01585365853658538
2023-02-23,812,829,808,823,1273909,0.019826517967781898
2023-02-24,840,840,805,824,2639761,0.0012150668286756705
2023-02-27,819,820,786,786,2018012,-0.04611650485436891
2023-02-28,786,812,785,810,1629097,0.03053435114503822
2023-03-02,810,812,790,800,1485485,-0.012345679012345734
2023-03-03,804,819,797,805,1078329,0.006250000000000089
2023-03-06,806,821,794,813,1175044,0.009937888198757738
2023-03-07,814,820,801,802,1044016,-0.013530135301353052
2023-03-08,796,799,769,779,1427448,-0.028678304239401542
2023-03-09,788,792,766,770,1288971,-0.011553273427471145
2023-03-10,760,766,748,759,1140635,-0.014285714285714235
2023-03-13,753,789,740,775,1576708,0.021080368906455815
2023-03-14,778,791,737,743,1617236,-0.041290322580645133
2023-03-15,750,761,738,746,3151321,0.004037685060565233
2023-03-16,759,761,728,740,1177172,-0.008042895442359255
2023-03-17,746,767,741,758,1157355,0.024324324324324298
2023-03-20,761,786,759,771,1233301,0.01715039577836408
2023-03-21,772,779,750,754,854181,-0.022049286640726362
2023-03-22,762,778,755,772,928480,0.023872679045092937
2023-03-23,758,770,743,748,1002240,-0.031088082901554404
2023-03-24,740,815,723,734,8524160,-0.018716577540106916
2023-03-27,738,744,717,733,916164,-0.0013623978201634523
2023-03-28,728,759,728,754,1064296,0.028649386084584005
2023-03-29,754,780,748,770,1331581,0.021220159151193574
2023-03-30,791,800,769,784,1128415,0.018181818181818077
2023-03-31,788,791,771,783,683472,-0.0012755102040816757
2023-04-03,783,805,770,798,1162759,0.019157088122605304
2023-04-04,798,808,792,800,1026842,0.0025062656641603454
