Date,Open,High,Low,Close,Volume,Change
2023-03-15,9370,9680,9330,9410,651563,
2023-03-16,9430,9560,9400,9510,136714,0.010626992561105109
2023-03-17,9540,9630,9510,9630,24174,0.012618296529968376
2023-03-20,9670,9690,9570,9640,39850,0.0010384215991692258
2023-03-21,9640,9640,9540,9560,35560,-0.008298755186721962
2023-03-22,9560,9560,9450,9450,103044,-0.011506276150627603
2023-03-23,9510,9550,9450,9480,16991,0.0031746031746031633
2023-03-24,9480,9500,9450,9480,13924,0.0
2023-03-27,9520,9520,9460,9470,7752,-0.0010548523206751481
2023-03-28,9470,9500,9460,9460,32934,-0.001055966209081327
2023-03-29,9460,9460,9440,9460,46919,0.0
2023-03-30,9450,9500,9450,9480,6904,0.0021141649048626032
2023-03-31,9470,9500,9470,9490,9698,0.001054852320675037
2023-04-03,9520,9520,9430,9440,37131,-0.005268703898840932
2023-04-04,9460,9510,9420,9430,44973,-0.0010593220338983578
2023-04-05,9440,9480,9410,9450,22623,0.0021208907741250282
2023-04-06,9450,9480,9430,9450,16947,0.0
2023-04-07,9450,9490,9440,9480,13748,0.0031746031746031633
2023-04-10,9480,9480,9420,9440,47154,-0.00421940928270037
2023-04-11,9440,9440,9420,9430,59707,-0.0010593220338983578
2023-04-12,9430,9470,9410,9430,30675,0.0
2023-04-13,9440,9480,9430,9460,8104,0.0031813361611876534
2023-04-14,9440,9530,9440,9470,22325,0.0010570824524311906
2023-04-17,9470,9500,9450,9470,8848,0.0
2023-04-18,9470,9470,9440,9450,18031,-0.002111932418162654
2023-04-19,9450,9470,9440,9450,14654,0.0
2023-04-20,9450,9500,9440,9440,26833,-0.0010582010582010914
2023-04-21,9490,9490,9430,9440,36322,0.0
2023-04-24,9430,9480,9430,9440,44707,0.0
2023-04-25,9440,9480,9440,9450,36635,0.0010593220338983578
2023-04-26,9450,9500,9440,9470,92023,0.002116402116402183
2023-04-27,9480,9490,9450,9460,8907,-0.001055966209081327
2023-04-28,9480,9500,9440,9490,11693,0.003171247357293794
2023-05-02,9490,9490,9440,9470,22952,-0.0021074815595363283
2023-05-03,9480,9490,9420,9460,128145,-0.001055966209081327
2023-05-04,9430,9520,9430,9470,16875,0.0010570824524311906
2023-05-08,9470,9500,9470,9490,9286,0.002111932418162654
2023-05-09,9500,9510,9480,9510,23523,0.0021074815595363283
2023-05-10,9480,9530,9470,9530,16806,0.002103049421661396
2023-05-11,9550,9570,9480,9540,15305,0.0010493179433368471
2023-05-12,9540,9550,9450,9500,43264,-0.004192872117400381
2023-05-15,9500,9520,9460,9510,7562,0.001052631578947416
2023-05-16,9510,9520,9490,9510,16669,0.0
