Date,Open,High,Low,Close,Volume,Change
2022-01-03,15500,15500,15450,15450,53,0.009803921568627416
2022-01-04,15450,15500,15300,15500,395,0.003236245954692629
2022-01-05,15550,15650,15200,15650,754,0.00967741935483879
2022-01-06,15550,15550,15000,15000,1723,-0.04153354632587858
2022-01-07,15250,15250,15000,15200,204,0.01333333333333342
2022-01-10,15250,15250,15050,15050,90,-0.009868421052631526
2022-01-11,15250,15250,14850,15000,701,-0.0033222591362126463
2022-01-12,15150,15150,14800,14900,679,-0.00666666666666671
2022-01-13,14800,14850,14750,14800,1178,-0.006711409395973145
2022-01-14,14750,15100,14750,15000,290,0.013513513513513598
2022-01-17,15100,15100,14900,14950,2602,-0.0033333333333332993
2022-01-18,15100,15100,14900,14950,555,0.0
2022-01-19,15050,15050,14750,14750,684,-0.013377926421404673
2022-01-20,14800,14800,14750,14800,245,0.003389830508474523
2022-01-21,14800,14900,14700,14800,3459,0.0
2022-01-24,14950,14950,14600,14750,542,-0.0033783783783783994
2022-01-25,14900,14900,14500,14550,1053,-0.013559322033898313
2022-01-26,14700,14700,14450,14450,885,-0.0068728522336769515
2022-01-27,14400,14600,14150,14550,288,0.006920415224913601
2022-01-28,14650,14650,14550,14600,832,0.0034364261168384758
2022-02-03,14800,14800,14600,14650,357,0.003424657534246478
2022-02-04,14600,15100,14500,14950,1442,0.020477815699658786
2022-02-07,15050,16200,15050,15750,3695,0.05351170568561869
2022-02-08,15750,16500,15750,16300,4556,0.03492063492063502
2022-02-09,16300,16500,16300,16300,509,0.0
2022-02-10,16500,17300,16400,17300,6074,0.06134969325153383
2022-02-11,17200,17400,16900,16950,3099,-0.020231213872832332
2022-02-14,17100,17100,16800,16800,1354,-0.008849557522123908
2022-02-15,16700,16750,16450,16450,1167,-0.02083333333333337
2022-02-16,16650,16900,16650,16900,276,0.02735562310030404
2022-02-17,16750,16900,16750,16900,615,0.0
2022-02-18,16800,17000,16800,16900,1150,0.0
2022-02-21,17400,17400,16750,16950,1398,0.002958579881656709
2022-02-22,16900,16900,16700,16750,1407,-0.01179941002949858
2022-02-23,16750,16800,16700,16700,655,-0.0029850746268657025
2022-02-24,16750,16950,16300,16300,1535,-0.0239520958083832
2022-02-25,17000,17000,16500,16500,504,0.012269938650306678
2022-02-28,16650,16650,16250,16300,2167,-0.012121212121212088
2022-03-02,16500,16950,16500,16950,466,0.039877300613496924
2022-03-03,17100,17150,16700,16700,1174,-0.014749262536873142
